#Wave,#Intensity1,#Intensity2,#Intensity4
352.8078093,9011,9013,7948
353.9410787,9049,9186,8065
355.0741405,8967,9089,7907
356.2069948,9012,9002,8056
357.3396415,9044,9008,7894
358.4720807,9088,9130,7993
359.6043126,9136,9112,7956
360.736337,9113,9038,8090
361.8681541,9126,9099,8154
362.999764,9226,9182,8027
364.1311666,9107,9161,8189
365.2623621,9223,9211,8164
366.3933504,9191,9118,8210
367.5241317,9119,9260,8061
368.654706,9226,9148,8147
369.7850733,9415,9195,8186
370.9152337,9259,9210,8227
372.0451872,9190,9321,8244
373.1749339,9324,9254,8102
374.3044739,9270,9273,8112
375.4338072,9222,9381,8176
376.5629338,9271,9315,8261
377.6918537,9399,9469,8297
378.8205672,9331,9387,8319
379.9490741,9390,9354,8389
381.0773746,9403,9439,8251
382.2054687,9434,9428,8381
383.3333564,9496,9453,8422
384.4610378,9460,9358,8339
385.588513,9363,9554,8254
386.7157819,9518,9365,8454
387.8428447,9554,9434,8269
388.9697015,9454,9447,8389
390.0963521,9513,9552,8352
391.2227968,9488,9405,8264
392.3490355,9482,9465,8417
393.4750684,9419,9438,8382
394.6008954,9444,9529,8369
395.7265166,9557,9458,8513
396.851932,9545,9367,8207
397.9771418,9487,9324,8354
399.1021459,9456,9423,8344
400.2269444,9513,9423,8370
401.3515374,9551,9522,8265
402.4759249,9513,9427,8308
403.6001069,9457,9387,8359
404.7240836,9515,9375,8313
405.8478549,9547,9462,8374
406.9714209,9569,9438,8288
408.0947817,9579,9451,8289
409.2179373,9436,9452,8423
410.3408878,9398,9515,8390
411.4636332,9451,9501,8366
412.5861735,9521,9504,8280
413.7085089,9499,9441,8318
414.8306393,9431,9481,8331
415.9525649,9634,9343,8414
417.0742856,9473,9441,8444
418.1958015,9521,9560,8414
419.3171127,9587,9537,8479
420.4382192,9583,9598,8293
421.559121,9655,9607,8384
422.6798183,9669,9603,8410
423.8003111,9667,9662,8380
424.9205993,9481,9532,8416
426.0406832,9696,9624,8427
427.1605626,9556,9629,8484
428.2802377,9595,9574,8488
429.3997085,9716,9699,8484
430.5189751,9811,9713,8639
431.6380376,9730,9652,8449
432.7568959,9736,9740,8560
433.8755501,9745,9721,8554
434.9940002,9762,9688,8497
436.1122464,9636,9692,8661
437.2302887,9653,9629,8634
438.348127,9810,9704,8568
439.4657616,9818,9655,8665
440.5831923,10000,9702,8639
441.7004194,9834,9897,8527
442.8174427,9869,9877,8649
443.9342624,9829,9720,8671
445.0508786,10033,9785,8687
446.1672912,9965,9815,8634
447.2835003,9988,9734,8756
448.399506,9882,9773,8594
449.5153083,9995,9773,8670
450.6309072,9941,9772,8686
451.7463029,10034,9818,8618
452.8614954,9997,9946,8606
453.9764846,10029,9787,8799
455.0912707,9819,9723,8517
456.2058538,9819.500228,9787,8729
457.3202338,9820.000364,9752,8718
458.4344108,9820.50041,9943,8762
459.5483849,9821.000364,9823,8741
460.6621561,9821.500228,9879,8765
461.7757245,9822,9797,8701
462.8890901,10013,10034,8666
464.0022529,9906,9805,8800
465.1152131,9989,9931,8730
466.2279706,9972,9961,8759
467.3405255,9961,9945,8725
468.4528779,9956,9788,8711
469.5650278,9971,9837,8728
470.6769753,9998,9899,8803
471.7887204,10042,9967,8852
472.9002631,10000,9749,8844
474.0116036,9962,9863,8849
475.1227418,9941,9930,8766
476.2336778,10116,9953,8832
477.3444117,10075,9976,8784
478.4549434,9983,9970,8748
479.5652732,10066,9931,8723
480.6754009,10141,9945,8957
481.7853267,10128,10038,8937
482.8950506,10098,9966,8843
484.0045727,10239,10004,8996
485.1138929,10190,10037,8806
486.2230114,10120,10119,8815.001637
487.3319282,10205,10190,8824.001637
488.4406434,10229,10210,8833
489.549157,10077,10061,8881
490.657469,10227,10035,8901
491.7655795,10259,10181,8858
492.8734885,10365,10161,8837
493.9811962,10280,10151,8978
495.0887025,10283,10141,8933
496.1960075,10200,10157,8923
497.3031112,10247,10108,8965
498.4100137,10259,10142,8973
499.5167151,10285,10314,8999
500.6232154,10332,10296,9070
501.7295146,10276,10289,9039
502.8356128,10217,10139,8955
503.94151,10368,10264,9042
505.0472063,10398,10323,9069
506.1527018,10308,10217,9076
507.2579964,10459,10268,8969
508.3630903,10212,10263,8967
509.4679835,10407,10187,9103
510.572676,10423,10315,9149
511.6771678,10441,10386,9137
512.7814591,10456,10362,9057
513.8855499,10453,10191,9142
514.9894402,10538,10370,9140
516.0931301,10413,10420,9113
517.1966197,10427,10269,9169
518.2999088,10423,10184,9035
519.4029978,10454,10275,9059
520.5058864,10462,10296,8993
