#Wave,#Intensity1,#Intensity2,#Intensity1,#Intensity2,#Intensity3,#Intensity1,#Intensity2,#Intensity3,#Intensity2,#Intensity3,#Intensity2
2261.862186,6116,5567,6540,5562,5133,5794,5219,4960,6780,5810,6954
2261.060512,6037,5415,6649,5622,5166,5756,5204,4974,6705,5716,7016
2260.258706,6158,5514,6635,5627,5219,5749,5192,4891,6786,5847,6911
2259.456768,6140,5576,6627,5646,5200,5627,5198,4956,6827,5799,6860
2258.654698,6160,5567,6594,5720,5268,5812,5148,4940,6745,5788,6911
2257.852495,6215,5546,6680,5664,5237,5753,5241,4973,6772,5718,7025
2257.050161,6130,5528,6565,5600,5286,5698,5148,5005,6726,5862,6964
2256.247694,6126,5498,6593,5699,5271,5767,5163,4932,6803,5807,7009
2255.445094,6074,5547,6490,5588,5149,5728,5221,5047,6719,5722,6889
2254.642363,6157,5613,6703,5678,5207,5751,5258,4939,6730,5823,7064
2253.839499,5979,5565,6568,5578,5150,5678,5218,4878,6730,5807,6841
2253.036502,6044,5503,6621,5601,5107,5758,5194,4973,6643,5723,6951
2252.233374,6142,5494,6614,5596,5105,5647,5141,4953,6735,5778,6984
2251.430112,6046,5436,6646,5631,5245,5687,5147,4987,6691,5853,6924
2250.626719,6055,5561,6564,5554,5235,5724,5184,5003,6715,5766,6961
2249.823192,6119,5549,6505,5542,5134,5672,5170,4941,6817,5730,6972
2249.019534,6011,5465,6627,5628,5154,5669,5205,4948,6639,5819,6983
2248.215742,6161,5533,6613,5660,5221,5736,5212,4968,6823,5712,6924
2247.411818,6109,5484,6581,5598,5203,5709,5256,5022,6728,5796,6967
2246.607762,6059,5515,6600,5610,5228,5712,5186,4960,6746,5774,6995
2245.803573,6129,5576,6623,5674,5216,5738,5191,4944,6729,5844,6970
2244.999251,6115,5537,6554,5597,5219,5710,5280,4933,6743,5844,6963
2244.194796,6101,5525,6669,5658,5218.400198,5693,5149,4961,6782,5825,7059
2243.390209,6086,5523,6551,5622,5217.800297,5724,5161,4920,6695,5819,6908
2242.585489,6128,5574,6585,5717,5217.200297,5744,5162,5021,6765,5779,6913
2241.780636,6079,5562,6622,5616,5216.600198,5753,5194,5045,6834,5853,7014
2240.97565,6144,5570,6656,5711,5216,5696,5296,5037,6810,5840,7130
2240.170532,6123,5626,6726,5680,5292,5873,5208,5050,6864,5867,7100
2239.365281,6081,5601,6552,5710,5178,5746,5206,4977,6854,5854,7021
2238.559896,6099,5543,6643,5661,5213,5734,5193,5059,6829,5796,6907
2237.754379,6126,5522,6654,5678,5189,5795,5222,4927,6739,5749,7046
2236.948729,6200,5596,6567,5615,5256,5782,5252,4944,6793,5814,6951
2236.142946,6129,5586,6621,5638,5209,5730,5162,4996,6857,5823,6979
2235.33703,6136,5559,6632,5738,5201,5757,5194,5014,6928,5875,7021
2234.530981,6155,5589,6648,5702,5298,5859,5190,4957,6799,5791,7090
2233.724799,6212,5576,6665,5609,5373,5638,5191.310875,5007,6851,5798,7009
2232.918484,6104,5574,6650,5641,5206,5698,5192.621967,4962,6739,5769,7005
2232.112035,6048,5575,6561,5669,5183,5805,5193.933276,4974,6770,5805,6934
2231.305454,6093,5568,6639,5658,5235,5724,5195.2448,4944,6818,5852,6999
2230.498739,6111,5573,6701,5690,5279,5726,5196.556542,4973,6893,5922,7045
2229.691891,6319,5642,6605,5717,5263,5740,5197.868499,4959,6783,5818,7071
