#Wave,#Intensity2
2261.862186,6954
2261.060512,7016
2260.258706,6911
2259.456768,6860
2258.654698,6911
2257.852495,7025
2257.050161,6964
2256.247694,7009
2255.445094,6889
2254.642363,7064
2253.839499,6841
2253.036502,6951
2252.233374,6984
2251.430112,6924
2250.626719,6961
2249.823192,6972
2249.019534,6983
2248.215742,6924
2247.411818,6967
2246.607762,6995
2245.803573,6970
2244.999251,6963
2244.194796,7059
2243.390209,6908
2242.585489,6913
2241.780636,7014
2240.97565,7130
2240.170532,7100
2239.365281,7021
2238.559896,6907
2237.754379,7046
2236.948729,6951
2236.142946,6979
2235.33703,7021
2234.530981,7090
2233.724799,7009
2232.918484,7005
2232.112035,6934
2231.305454,6999
2230.498739,7045
2229.691891,7071
2228.88491,7141
2228.077796,7086
2227.270548,7069
2226.463167,7000
2225.655653,7045
2224.848005,7018
2224.040224,7068
2223.23231,7052
2222.424262,7069
2221.616081,7076
2220.807766,7053
2219.999318,7095
2219.190736,7101
2218.38202,7015
2217.573171,7109
2216.764188,7036
2215.955072,7126
2215.145822,7123
2214.336438,7027
2213.52692,7038
2212.717269,7126
2211.907484,7095
2211.097565,7054
2210.287512,7152
2209.477325,7020
2208.667005,7149
2207.85655,7090
2207.045961,7153
2206.235239,7110
2205.424382,7128
2204.613392,7121
2203.802267,7196
2202.991008,7110
2202.179615,7204
2201.368088,7169
2200.556426,7162
2199.744631,7145
2198.932701,7273
2198.120637,7012
2197.308438,7220
2196.496105,7079
2195.683638,7196
2194.871037,7169
2194.058301,7142
2193.24543,7126
2192.432425,7187
2191.619286,7193
2190.806012,7012
2189.992604,7053
2189.179061,7135
2188.365383,7115
2187.55157,7231
2186.737623,7215
2185.923542,7121
2185.109325,7134
2184.294974,7192
2183.480488,7162
2182.665867,7136
2181.851112,7266
2181.036221,7104
2180.221196,7175
2179.406035,7112
2178.59074,7126
2177.77531,6978
2176.959744,7167
2176.144044,7116
2175.328208,7186
2174.512238,7112
2173.696132,7089
2172.879892,7114
2172.063516,7120
2171.247004,7133
2170.430358,7106
2169.613576,7237
2168.796659,7157
2167.979607,7146
2167.162419,7033
2166.345096,7223
2165.527638,7189
2164.710044,7181
2163.892314,7265
2163.07445,7109
2162.256449,7076
2161.438313,7142
2160.620042,7271
2159.801635,7149
2158.983092,7189
2158.164414,7182
2157.345599,7166
2156.52665,7228
2155.707564,7096
2154.888343,7211
2154.068986,7104
2153.249493,7164
2152.429864,7175
2151.610099,7208
2150.790198,7229
2149.970162,7194
2149.149989,7158
2148.329681,7189
2147.509236,7152
2146.688655,7211
2145.867938,7237
2145.047086,7246
2144.226097,7181
2143.404971,7202
2142.58371,7147
2141.762312,7199
2140.940778,7214
2140.119108,7214
2139.297302,7275
2138.475359,7179
2137.653279,7229
2136.831064,7115
2136.008712,7121
2135.186223,7233
2134.363598,7360
2133.540837,7254
2132.717938,7299
2131.894904,7150
2131.071732,7368
2130.248425,7213
2129.42498,7253
2128.601399,7229
2127.777681,7269
2126.953826,7341
2126.129834,7235
2125.305706,7225
2124.481441,7290
2123.657039,7304
2122.8325,7244
2122.007824,7254
2121.183011,7213
2120.358061,7257
2119.532975,7293
2118.707751,7262
2117.88239,7259
2117.056892,7298
2116.231257,7200
2115.405484,7295
2114.579575,7278
2113.753528,7336
2112.927344,7342
2112.101023,7409
2111.274565,7240
2110.447969,7281
2109.621236,7427
2108.794365,7353
2107.967357,7326
2107.140212,7321
2106.312929,7331
2105.485509,7330
2104.657951,7343
2103.830255,7325
2103.002422,7307
2102.174452,7270
2101.346344,7257
2100.518098,7413
2099.689714,7392
2098.861193,7314
2098.032533,7317
2097.203736,7373
2096.374802,7356
2095.545729,7464
2094.716519,7283
2093.88717,7351
2093.057684,7446
2092.22806,7262
2091.398297,7429
2090.568397,7408
2089.738359,7408
2088.908182,7211
2088.077868,7310
2087.247415,7320
2086.416824,7340
2085.586095,7445
2084.755228,7361
2083.924222,7336
2083.093078,7370
2082.261796,7429
2081.430376,7454
2080.598817,7442
2079.76712,7329
2078.935284,7322
2078.10331,7448
2077.271197,7392
2076.438946,7384
2075.606556,7504
2074.774028,7226
2073.941361,7341
2073.108556,7300
2072.275612,7465
2071.442529,7394
2070.609307,7436
2069.775947,7441
2068.942448,7341
2068.10881,7331
2067.275033,7457
2066.441117,7464
2065.607063,7417
2064.772869,7441
