#Wave,#Intensity1,#Intensity2,#Intensity1
352.8078093,4858,4500,4962
353.9410787,4858,4443,4997
355.0741405,4806,4435,5085
356.2069948,4893,4500,5062
357.3396415,4883,4507,5014
358.4720807,4966,4588,5109
359.6043126,4927,4475,5032
360.736337,4946,4526,5112
361.8681541,4900,4468,5027
362.999764,4883,4473,5026
364.1311666,4900,4570,5147
365.2623621,4880,4587,5117
366.3933504,4975,4509,5096
367.5241317,4901,4538,5152
368.654706,4982,4512,5111
369.7850733,4924,4553,5153
370.9152337,4943,4588,5187
372.0451872,4883,4490,5193
373.1749339,4960,4598,5089
374.3044739,4893,4548,5174
375.4338072,5036,4532,5225
376.5629338,5020,4528,5175
377.6918537,5009,4561,5166
378.8205672,5021,4597,5213
379.9490741,5016,4575,5273
381.0773746,4968,4489,5270
382.2054687,5002,4557,5160
383.3333564,5049,4679,5343
384.4610378,5012,4558,5257
385.588513,4996,4565,5245
386.7157819,4964,4560,5235
387.8428447,5043,4566,5157
388.9697015,4958,4518,5251
390.0963521,5046,4549,5204
391.2227968,4956,4562,5123
392.3490355,4891,4526,5286
393.4750684,5080,4578,5205
394.6008954,4999,4594,5188
395.7265166,5025,4611,5265
396.851932,5002,4560,5194
397.9771418,5001,4557,5195
399.1021459,4928,4577,5142
400.2269444,5011,4574,5204
401.3515374,4993,4617,5131
402.4759249,4984,4600,5168
403.6001069,4988,4560,5177
404.7240836,5010,4508,5184
405.8478549,4972,4582,5234
406.9714209,5005,4637,5208
408.0947817,5007,4577,5271
409.2179373,5045,4616,5215
410.3408878,5022,4589,5198
411.4636332,4996,4535,5224
412.5861735,4978,4554,5272
413.7085089,4927,4562,5258
414.8306393,4981,4666,5280
415.9525649,5023,4560,5209
417.0742856,5057,4627,5261
418.1958015,5056,4616,5223
419.3171127,5050,4624,5265
420.4382192,5058,4633,5256
421.559121,5042,4591,5254
422.6798183,5081,4608,5235
423.8003111,5123,4645,5218
424.9205993,5010,4653,5305
426.0406832,5018,4662,5235
427.1605626,5043,4594,5289
428.2802377,5011,4679,5307
429.3997085,5043,4668,5310
430.5189751,5096,4697,5328
431.6380376,5166,4635,5359
432.7568959,5167,4668,5360
433.8755501,5127,4681,5370
434.9940002,5107,4692,5275
436.1122464,5092,4728,5341
437.2302887,5133,4714,5362
438.348127,5105,4656,5259
439.4657616,5170,4709,5324
440.5831923,5116,4708,5363
441.7004194,5162,4729,5387
442.8174427,5170,4778,5405
443.9342624,5151,4715,5340
445.0508786,5192,4657,5421
446.1672912,5208,4619,5450
447.2835003,5235,4693,5429
448.399506,5163,4708,5345
449.5153083,5128,4613,5320
450.6309072,5148,4722,5367
451.7463029,5239,4676,5377
452.8614954,5179,4727,5368
453.9764846,5164,4688,5404
455.0912707,5261,4777,5381
456.2058538,5190,4694,5463
457.3202338,5145,4777,5321
458.4344108,5161,4736,5453
459.5483849,5225,4755,5412
460.6621561,5170,4636,5387
461.7757245,5138,4709,5373
462.8890901,5200,4754,5430
464.0022529,5267,4772,5436
465.1152131,5144,4736,5520
466.2279706,5202,4693,5276
