#Wave,#Intensity1,#Intensity2,#Intensity3
2261.862186,6540,5562,5133
2261.060512,6649,5622,5166
2260.258706,6635,5627,5219
2259.456768,6627,5646,5200
2258.654698,6594,5720,5268
2257.852495,6680,5664,5237
2257.050161,6565,5600,5286
2256.247694,6593,5699,5271
2255.445094,6490,5588,5149
2254.642363,6703,5678,5207
2253.839499,6568,5578,5150
2253.036502,6621,5601,5107
2252.233374,6614,5596,5105
2251.430112,6646,5631,5245
2250.626719,6564,5554,5235
2249.823192,6505,5542,5134
2249.019534,6627,5628,5154
2248.215742,6613,5660,5221
2247.411818,6581,5598,5203
2246.607762,6600,5610,5228
2245.803573,6623,5674,5216
2244.999251,6554,5597,5219
2244.194796,6669,5658,5218.400198
2243.390209,6551,5622,5217.800297
2242.585489,6585,5717,5217.200297
2241.780636,6622,5616,5216.600198
2240.97565,6656,5711,5216
2240.170532,6726,5680,5292
2239.365281,6552,5710,5178
2238.559896,6643,5661,5213
2237.754379,6654,5678,5189
2236.948729,6567,5615,5256
2236.142946,6621,5638,5209
2235.33703,6632,5738,5201
2234.530981,6648,5702,5298
2233.724799,6665,5609,5373
2232.918484,6650,5641,5206
2232.112035,6561,5669,5183
2231.305454,6639,5658,5235
2230.498739,6701,5690,5279
2229.691891,6605,5717,5263
2228.88491,6655,5634,5241
2228.077796,6631,5745,5231
2227.270548,6718,5668,5189
2226.463167,6704,5752,5255
2225.655653,6698,5739,5215
2224.848005,6619,5736,5309
2224.040224,6771,5689,5217
2223.23231,6664,5694,5226
2222.424262,6821,5704,5251
2221.616081,6667,5716,5236
2220.807766,6791,5710,5255
2219.999318,6713,5739,5247
2219.190736,6655,5711,5285
2218.38202,6672,5672,5307
2217.573171,6712,5817,5225
2216.764188,6786,5791,5208
2215.955072,6730,5797,5226
2215.145822,6687,5693,5268
2214.336438,6716,5676,5262
2213.52692,6701,5701,5299
2212.717269,6623,5694,5265
2211.907484,6822,5729,5254
2211.097565,6798,5702,5283
2210.287512,6786,5721,5320
2209.477325,6792,5706,5237
2208.667005,6827,5765,5277
2207.85655,6697,5655,5332
2207.045961,6736,5750,5289
2206.235239,6670,5762,5313
2205.424382,6775,5731,5246
2204.613392,6730,5807,5400
2203.802267,6842,5762,5339
2202.991008,6780,5751,5310
2202.179615,6809,5809,5303
2201.368088,6832,5728,5227
2200.556426,6844,5783,5314
2199.744631,6723,5727,5306
2198.932701,6813,5680,5360
2198.120637,6735,5761,5400
2197.308438,6913,5661,5362
2196.496105,6818,5746,5294
2195.683638,6786,5791,5299
2194.871037,6691,5773,5286
2194.058301,6782,5693,5314
2193.24543,6797,5760,5343
2192.432425,6744,5804,5342
2191.619286,6808,5777,5353
2190.806012,6758,5794,5299
2189.992604,6746,5794,5210
2189.179061,6819,5783,5331
2188.365383,6770,5744,5321
2187.55157,6757,5757,5326
2186.737623,6787,5831,5287
2185.923542,6713,5738,5283
2185.109325,6740,5728,5345
2184.294974,6751,5709,5309
2183.480488,6737,5713,5213
2182.665867,6690,5784,5340
2181.851112,6745,5648,5280
2181.036221,6741,5713,5281
2180.221196,6800,5777,5285
2179.406035,6746,5684,5366
2178.59074,6761,5720,5238
2177.77531,6731,5674,5285
2176.959744,6716,5754,5348
2176.144044,6764,5724,5287
2175.328208,6768,5705,5381
2174.512238,6568,5745,5384
2173.696132,6773,5707,5274
2172.879892,6656,5749,5249
2172.063516,6774,5709,5323
2171.247004,6821,5660,5218
2170.430358,6778,5714,5316
2169.613576,6701,5844,5306
2168.796659,6737,5796,5322
2167.979607,6774,5693,5338
2167.162419,6871,5661,5411
2166.345096,6893,5696,5308
2165.527638,6764,5744,5274
2164.710044,6726,5761,5300
2163.892314,6691,5818,5292
2163.07445,6850,5753,5345
2162.256449,6757,5773,5335
2161.438313,6736,5739,5307
2160.620042,6794,5752.324496,5286
2159.801635,6744,5765.651201,5297
2158.983092,6790,5778.980114,5313
2158.164414,6821,5792.311236,5237
2157.345599,6875,5805.644568,5310
2156.52665,6868,5818.98011,5297
2155.707564,6854,5832.317862,5285
2154.888343,6863,5845.657825,5311
2154.068986,6846,5859,5291
2153.249493,6730,5721,5303
2152.429864,6804,5750,5353
2151.610099,6830,5833,5415
2150.790198,6832,5815,5290
2149.970162,6819.604112,5900,5289.000332
2149.149989,6807.206168,5797,5288.000497
2148.329681,6794.806169,5813,5287.000497
2147.509236,6782.404113,5760,5286.000332
2146.688655,6770,5762,5285
2145.867938,6868,5773,5356
2145.047086,6789,5876,5284
2144.226097,6826,5633,5312
2143.404971,6732,5724,5316
2142.58371,6776,5814,5275
2141.762312,6823,5823,5339
2140.940778,6876,5763,5329
2140.119108,6904,5827,5281
2139.297302,6946,5779,5308
2138.475359,6762,5715,5410
2137.653279,6749,5783,5314
2136.831064,6858,5779,5371
2136.008712,6861,5727,5322
2135.186223,6838,5774,5328
2134.363598,6838,5822,5363
2133.540837,6839,5810,5424
2132.717938,6875,5770,5317
2131.894904,6900,5751,5324
2131.071732,6873,5817,5360
2130.248425,6762,5793,5429
2129.42498,6890,5780,5374
2128.601399,6856,5796,5333
2127.777681,6864,5851,5383
2126.953826,6885,5861,5326
2126.129834,6923,5870,5316
2125.305706,6900,5780,5281
2124.481441,6930,5740,5350
2123.657039,6955,5727,5300
2122.8325,6865,5752,5347
2122.007824,6878,5777,5381
2121.183011,6865,5814,5433
2120.358061,6857,5808,5375
2119.532975,6863,5744,5335
2118.707751,6827,5662,5395
2117.88239,6914,5726,5390
2117.056892,6921,5831,5371
2116.231257,6885,5947,5335
2115.405484,6898,5882,5373
2114.579575,6887,5775,5419
2113.753528,6883,5834,5358
2112.927344,6903,5885,5292
2112.101023,6941,5786,5415
2111.274565,6841,5840,5312
2110.447969,6989,5780,5370
2109.621236,6942,5868,5396
2108.794365,6922,5841,5343
2107.967357,6861,5876,5415
2107.140212,6872,5768,5316
2106.312929,6958,5849,5400
2105.485509,6959,5854,5407
2104.657951,6969,5882,5395
2103.830255,7024,5931,5442
2103.002422,7004,5888,5494
2102.174452,6844,5860,5412
2101.346344,6924,5768,5384
2100.518098,6891,5792,5420
2099.689714,7085,5853,5417
2098.861193,6949,5881,5482
2098.032533,6902,5927,5433
2097.203736,6910,5905,5461
2096.374802,7067,5880,5464
2095.545729,6999,5846,5466
2094.716519,6997,5837,5489
2093.88717,6957,5841,5467
2093.057684,7040,5860,5394
2092.22806,6918,5881,5410
2091.398297,6999,5806,5431
2090.568397,7025,5883,5414
2089.738359,6926,5872,5489
2088.908182,6891,5858,5388
2088.077868,7011,5889,5392
2087.247415,7067,5837,5424
2086.416824,6952,5808,5402
2085.586095,7036,5977,5416
2084.755228,7089,5881,5405
2083.924222,6957,5928,5402
2083.093078,6977,5812,5423
2082.261796,7042,5876,5415
2081.430376,7101,5948,5390
2080.598817,7032,5906,5445
2079.76712,6924,5891,5417
2078.935284,7000,5856,5476
2078.10331,6928,5832,5429
2077.271197,6988,5950,5408
2076.438946,7055,5943,5471
2075.606556,6920,5914,5469
2074.774028,7026,5864,5465
2073.941361,6961,5885,5340
2073.108556,6946,5795,5428
2072.275612,6958,5939,5455
2071.442529,7001,5840,5435
2070.609307,7034,5844,5449
2069.775947,6982,5912,5443
2068.942448,7023,5957,5317
2068.10881,7042,5848,5367
2067.275033,6916,5921,5428
2066.441117,7063,5836,5471
2065.607063,7120,5823,5421
2064.772869,6992,5921,5497
2063.938537,6945,5939,5393
2063.104066,7051,5957,5431
2062.269455,7157,5864,5449
2061.434706,6998,5872,5416
2060.599817,7032,5952,5330
2059.764789,6942,5911,5412
2058.929623,7012,5968,5471
2058.094317,7054,5857,5535
2057.258872,7013,5982,5397
2056.423287,6990,5857,5463
2055.587564,6931,5898,5446
2054.751701,6982,5924,5382
2053.915698,6947,5869,5424
2053.079557,6972,5894,5463
2052.243276,6921,5902,5484
2051.406856,6986,5987,5456
2050.570296,7007,5917,5438
2049.733597,6980,5906,5375
2048.896758,7063,5963,5425
2048.05978,7083,5973,5462
2047.222662,7117,5965,5363
2046.385405,6988,5873,5414
2045.548008,6867,5896,5499
2044.710471,6977,5887,5425
2043.872795,7078,5855,5438
2043.034979,7048,5961,5413
2042.197023,7069,5909,5522
2041.358928,7142,6006,5385
2040.520692,7046,5891,5543
2039.682317,6954,5951,5389
2038.843802,7033,5872,5488
2038.005148,7093,5821,5422
2037.166353,7023,5869,5560
2036.327418,7065,5933,5421
2035.488344,7001,5987,5325
2034.649129,7085,5881,5415
2033.809775,7100,6023,5392
2032.97028,7087,5893,5491
2032.130646,7005,5849,5507
2031.290871,6951,5954,5493
2030.450956,7109,5930,5477
