#Wave,#Intensity1,#Intensity2
2261.862186,5236,4717
2261.060512,5259,4711
2260.258706,5270,4807
2259.456768,5283,4718
2258.654698,5327,4670
2257.852495,5248,4683
2257.050161,5324,4687
2256.247694,5317.502679,4702
2255.445094,5311.004287,4736
2254.642363,5304.504823,4808
2253.839499,5298.004287,4713
2253.036502,5291.50268,4657
2252.233374,5285,4661
2251.430112,5339,4726
2250.626719,5240,4690
2249.823192,5243.913114,4687
2249.019534,5247.826874,4597
2248.215742,5251.74128,4735
2247.411818,5255.656331,4729
2246.607762,5259.572027,4769
2245.803573,5263.48837,4628
2244.999251,5267.405359,4680
2244.194796,5271.322994,4711
2243.390209,5275.241276,4757
2242.585489,5279.160204,4701
2241.780636,5283.079779,4689
2240.97565,5287,4720
2240.170532,5323,4805
2239.365281,5354,4692
2238.559896,5282,4763
2237.754379,5334,4714
2236.948729,5306,4656
2236.142946,5316,4664
2235.33703,5331,4751
2234.530981,5289,4752
2233.724799,5259,4743
2232.918484,5247,4743
2232.112035,5268,4689
2231.305454,5303,4728
2230.498739,5324,4742
2229.691891,5330,4669
2228.88491,5345,4727
2228.077796,5292,4749
2227.270548,5330,4699
2226.463167,5243,4703
2225.655653,5280,4692
2224.848005,5323,4733
2224.040224,5305,4784
2223.23231,5388,4752
2222.424262,5331,4729
2221.616081,5394,4736
2220.807766,5386,4748
2219.999318,5345,4753
2219.190736,5402,4770
2218.38202,5344,4757
2217.573171,5339,4749
2216.764188,5381,4748
2215.955072,5328,4700
2215.145822,5382,4778
2214.336438,5399,4739
2213.52692,5347,4762
2212.717269,5361,4764
2211.907484,5332,4724
2211.097565,5269,4772
2210.287512,5245,4758
2209.477325,5358,4745
2208.667005,5358,4763
2207.85655,5364,4751
2207.045961,5320,4766
2206.235239,5374,4721
2205.424382,5374,4762
2204.613392,5303,4785
2203.802267,5358,4720
2202.991008,5379,4757
2202.179615,5368,4762
2201.368088,5337,4791
2200.556426,5277,4758
2199.744631,5378,4773
2198.932701,5295,4742
2198.120637,5282,4756
2197.308438,5382,4734
2196.496105,5371,4752
2195.683638,5337,4835
2194.871037,5376,4744
2194.058301,5317,4767
2193.24543,5383,4728
2192.432425,5335,4710
2191.619286,5377,4858
2190.806012,5286,4798
2189.992604,5305,4780
2189.179061,5320,4780
2188.365383,5331,4870
2187.55157,5394,4804
2186.737623,5316,4768
2185.923542,5394,4723
2185.109325,5306,4725
2184.294974,5331,4837
2183.480488,5380,4787
2182.665867,5331,4771
2181.851112,5363,4775
2181.036221,5373,4816
2180.221196,5469,4798
2179.406035,5336,4818
2178.59074,5381,4746
2177.77531,5442,4802
2176.959744,5325,4815
2176.144044,5330,4774
2175.328208,5395,4721
2174.512238,5403,4718
2173.696132,5380,4795
2172.879892,5391,4797
2172.063516,5406,4711
2171.247004,5341,4692
2170.430358,5300,4699
2169.613576,5347,4754
2168.796659,5328,4689
2167.979607,5309,4723
2167.162419,5385,4676
2166.345096,5394,4766
2165.527638,5312,4731
2164.710044,5268,4726
2163.892314,5318,4791
2163.07445,5402,4770
2162.256449,5330,4718
2161.438313,5408,4745
2160.620042,5289,4782
2159.801635,5400,4731
2158.983092,5263,4891
2158.164414,5365,4784
2157.345599,5289,4802
2156.52665,5395,4798
2155.707564,5347,4798
2154.888343,5398,4857
2154.068986,5427,4776
2153.249493,5318,4865
2152.429864,5431,4805
2151.610099,5396,4772
2150.790198,5414,4749
2149.970162,5368,4780
2149.149989,5358,4806
2148.329681,5420,4814
2147.509236,5384,4777
2146.688655,5410,4817
2145.867938,5356,4709
2145.047086,5272,4806
2144.226097,5409,4808
2143.404971,5352,4743
2142.58371,5400,4811
2141.762312,5401,4807
