#Wave,#Intensity1
352.8078093,4962
353.9410787,4997
355.0741405,5085
356.2069948,5062
357.3396415,5014
358.4720807,5109
359.6043126,5032
360.736337,5112
361.8681541,5027
362.999764,5026
364.1311666,5147
365.2623621,5117
366.3933504,5096
367.5241317,5152
368.654706,5111
369.7850733,5153
370.9152337,5187
372.0451872,5193
373.1749339,5089
374.3044739,5174
375.4338072,5225
376.5629338,5175
377.6918537,5166
378.8205672,5213
379.9490741,5273
381.0773746,5270
382.2054687,5160
383.3333564,5343
384.4610378,5257
385.588513,5245
386.7157819,5235
387.8428447,5157
388.9697015,5251
390.0963521,5204
391.2227968,5123
392.3490355,5286
393.4750684,5205
394.6008954,5188
395.7265166,5265
396.851932,5194
397.9771418,5195
399.1021459,5142
400.2269444,5204
401.3515374,5131
402.4759249,5168
403.6001069,5177
404.7240836,5184
405.8478549,5234
406.9714209,5208
408.0947817,5271
409.2179373,5215
410.3408878,5198
411.4636332,5224
412.5861735,5272
413.7085089,5258
414.8306393,5280
415.9525649,5209
417.0742856,5261
418.1958015,5223
419.3171127,5265
420.4382192,5256
421.559121,5254
422.6798183,5235
423.8003111,5218
424.9205993,5305
426.0406832,5235
427.1605626,5289
428.2802377,5307
429.3997085,5310
430.5189751,5328
431.6380376,5359
432.7568959,5360
433.8755501,5370
434.9940002,5275
436.1122464,5341
437.2302887,5362
438.348127,5259
439.4657616,5324
440.5831923,5363
441.7004194,5387
442.8174427,5405
443.9342624,5340
445.0508786,5421
446.1672912,5450
447.2835003,5429
448.399506,5345
449.5153083,5320
450.6309072,5367
451.7463029,5377
452.8614954,5368
453.9764846,5404
455.0912707,5381
456.2058538,5463
457.3202338,5321
458.4344108,5453
459.5483849,5412
460.6621561,5387
461.7757245,5373
462.8890901,5430
464.0022529,5436
465.1152131,5520
466.2279706,5276
467.3405255,5379
468.4528779,5404
469.5650278,5457
470.6769753,5474
471.7887204,5374
472.9002631,5389
474.0116036,5427
475.1227418,5466
476.2336778,5480
477.3444117,5509
478.4549434,5370
479.5652732,5485
480.6754009,5497
481.7853267,5399
482.8950506,5528
484.0045727,5515
485.1138929,5534
486.2230114,5573
487.3319282,5520
488.4406434,5567
489.549157,5558
490.657469,5430
491.7655795,5524
492.8734885,5491
493.9811962,5539
495.0887025,5547
496.1960075,5472
497.3031112,5517
498.4100137,5587
499.5167151,5601
500.6232154,5436
501.7295146,5635
502.8356128,5577
503.94151,5546
505.0472063,5424
506.1527018,5499
507.2579964,5593
508.3630903,5634
509.4679835,5548
510.572676,5565
511.6771678,5602
512.7814591,5510
513.8855499,5506
514.9894402,5593
516.0931301,5522
517.1966197,5528
518.2999088,5605
519.4029978,5585
520.5058864,5619
521.6085749,5604
522.7110633,5593
523.8133516,5588
524.9154399,5661
526.0173282,5630
527.1190165,5578
528.2205049,5575
529.3217936,5636
530.4228824,5562
531.5237715,5613
532.6244609,5550
533.7249506,5586
534.8252408,5478
535.9253314,5690
537.0252225,5627
538.1249141,5687
539.2244064,5625
540.3236993,5640
541.4227929,5603
542.5216873,5501
543.6203824,5636
544.7188784,5665
545.8171752,5625
546.915273,5643
548.0131718,5629
549.1108717,5538
550.2083726,5560
551.3056746,5591
552.4027778,5599
553.4996823,5667
554.596388,5636
555.6928951,5638
556.7892035,5644
557.8853133,5658
558.9812246,5634
560.0769375,5744
561.1724519,5589
562.2677679,5679
563.3628856,5593
