#Wave,#Intensity1,#Intensity2
2260.823624,7071,6752
2260.02195,7055,6809
2259.220144,7081,6691
2258.418206,7054,6716
2257.616136,7032,6830
2256.813934,7140,6852
2256.011599,7060,6870
2255.209132,7112,6803
2254.406533,6950,6751
2253.603801,6971,6840
2252.800937,6936,6705
2251.997941,7041,6758
2251.194812,7006,6762
2250.391551,7088,6843
2249.588157,7026,6768
2248.784631,7019,6774
2247.980972,7012,6750
2247.177181,6894,6705
2246.373257,7036,6822
2245.5692,6997,6860
2244.765011,6996,6799
2243.960689,7094,6837
2243.156234,6997,6799
2242.351647,7060,6683
2241.546927,7028,6861
2240.742074,7021,6779
2239.937089,7224,6855
2239.13197,7032,6874
2238.326719,7051,6801
2237.521335,7031,6891
2236.715818,7103,6798
2235.910167,7084,6699
2235.104384,7074,6834
2234.298468,7065,6674
2233.492419,7147,6874
2232.686237,7101,6715
2231.879922,7018,6781
2231.073473,7067,6757
2230.266892,7133,6759
2229.460177,7078,6783
2228.653329,7083,6847
2227.846348,7059,6746
2227.039234,7080,6788
2226.231986,7012,6947
2225.424606,7092,6814
2224.617091,7102,6761
2223.809444,7140,6751
2223.001663,6999,6758
2222.193748,7066,6801
2221.3857,7088,6864
2220.577519,7046,6866
2219.769204,7149,6883
2218.960756,7099,6753
2218.152174,7144,6868
2217.343459,7128,6734
2216.534609,7150,6802
2215.725627,7095,6876
2214.91651,7116,6807
2214.10726,7052,6863
2213.297876,7155,6843
2212.488359,7235,6760
2211.678707,7234,6841
2210.868922,7168,6849
2210.059003,7155,6845
2209.24895,7052,6963
2208.438764,7131,6870
2207.628443,7177,6821
2206.817988,7024,6792
2206.0074,7122,6836
2205.196677,7071,6814
2204.385821,7061,6925
2203.57483,7125,6936
2202.763705,7116,6794
2201.952446,7175,6866
2201.141053,7185,6735
2200.329526,7095,6790
2199.517865,7115,6828
2198.706069,7122,6831
2197.894139,7164,6764
2197.082075,7166,6898
2196.269877,7060,6921
2195.457544,7105,6873
2194.645077,7169,6783
2193.832475,7046,6758
2193.019739,7074,6956
2192.206869,7126,6759
2191.393864,7126,6929
2190.580724,7043,6777
2189.76745,7055,6890
2188.954042,7070,6767
2188.140499,7133,6784
2187.326821,7193,6840
2186.513009,7197,6913
2185.699062,7081,6921
2184.88498,7106,6807
2184.070764,7085,6839
2183.256412,7112,6767
2182.441926,7103,6840
2181.627306,7123,6770
2180.81255,7102,6705
2179.997659,7047,6802
2179.182634,7066,6713
2178.367474,7047,6871
2177.552178,6995,6750
2176.736748,7065,6684
2175.921183,6977,6925
2175.105482,7114,6859
2174.289647,7141,6810
2173.473676,7052,6774
2172.657571,7078,6765
2171.84133,7078,6760
2171.024954,7083,6795
2170.208443,7032,6760
2169.391796,7080,6731
2168.575015,7115,6881
2167.758098,6991,6931
2166.941045,7099,6792
2166.123858,7069,6691
2165.306534,7045,6748
2164.489076,7100,6734
2163.671482,7060,6763
2162.853753,7060,6687
2162.035888,6980,6704
2161.217888,7129,6782
2160.399752,7161,6707
2159.58148,7083,6776
2158.763073,6994,6761
2157.94453,7117,6774
2157.125852,7108.602784,6819
2156.307038,7100.204177,6912
2155.488088,7091.804177,6765
2154.669002,7083.402785,6707
2153.849781,7075,6776
2153.030424,7114,6803
2152.210931,7179,6831
2151.391302,7083,6846
2150.571537,7040,6788
2149.751637,7144,6644
2148.9316,6991,6871
2148.111427,6999,6718
