#Wave,#Intensity1,#Intensity2,#Intensity3
351.7692476,5582,5172,5085
352.902517,5626,5125,5076
354.0355789,5561,5151,5061
355.1684331,5646,5198,5069
356.3010798,5679,5197,5050
357.4335191,5670,5185,5139
358.5657509,5572,5166,5063
359.6977753,5751,5150,5028
360.8295924,5614,5205,5104
361.9612023,5682,5297,5116
363.0926049,5655,5231,5147
364.2238004,5786,5103,5109
365.3547887,5725,5185,5132
366.48557,5645,5221,5116
367.6161443,5677,5160,5078
368.7465116,5683,5271,5190
369.876672,5746,5256,5071
371.0066255,5747,5213,5123
372.1363723,5701,5201,5197
373.2659122,5638,5283,5106
374.3952455,5751,5288,5094
375.5243721,5771,5261,5222
376.6532921,5753,5302,5143
377.7820055,5773,5357,5246
378.9105124,5795,5262,5157
380.0388129,5816,5267,5190
381.166907,5750,5297,5257
382.2947947,5821,5329,5224
383.4224761,5733,5286,5207
384.5499513,5767,5364,5149
385.6772202,5697,5304,5174
386.8042831,5827,5336,5274
387.9311398,5755,5242,5240
389.0577904,5760,5235,5138
390.1842351,5700,5296,5181
391.3104739,5847,5332,5270
392.4365067,5727,5307,5212
393.5623337,5773,5311,5193
394.6879549,5775,5278,5219
395.8133703,5802,5323,5156
396.9385801,5729,5264,5223
398.0635842,5742,5341,5159
399.1883827,5747,5263,5194
400.3129757,5740,5306,5215
401.4373632,5759,5313,5187
402.5615452,5838,5269,5270
403.6855219,5738,5430,5269
404.8092932,5834,5257,5194
405.9328592,5772,5330,5250
407.05622,5807,5354,5231
408.1793756,5741,5326,5289
409.3023261,5813,5300,5322
410.4250715,5748,5368,5251
411.5476118,5775,5321,5298
412.6699472,5694,5335,5229
413.7920776,5759,5333,5246
414.9140032,5986,5312,5329
416.0357239,5761,5368,5278
417.1572398,5792,5295,5206
418.278551,5893,5298,5314
419.3996575,5877,5317,5275
420.5205593,5771,5296,5271
421.6412566,5766,5368,5294
422.7617494,5745,5368,5193
423.8820376,5762,5361,5224
425.0021215,5864,5297,5292
426.1220009,5873,5487,5237
427.241676,5825,5452,5371
428.3611469,5897,5373,5349
429.4804135,5838,5391,5300
430.5994759,5917,5391,5242
431.7183342,5860,5512,5344
432.8369884,5960,5430,5384
433.9554385,5798,5484,5352
435.0736847,5933,5395,5309
436.191727,5939,5440,5306
437.3095654,5886,5447,5417
438.4271999,5975,5461,5432
439.5446307,5884,5532,5403
440.6618577,5880,5523,5314
441.778881,5969,5313,5331
442.8957007,5882,5424,5468
444.0123169,5959,5475,5383
445.1287295,5916,5527,5415
446.2449386,5870,5480,5369
447.3609443,5926,5470,5372
