Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4,AAB_AS_S1_I17
352.8078093,11.21409512,32.18890283,9.17,16.83159241
353.9410787,10.79239587,25.13086157,10.7318552,26.22535172
355.0741405,10.58051076,18.85782747,12.14651295,34.67952602
356.2069948,10.5784398,13.36980054,13.41,42.19411531
357.3396415,10.78618298,8.666780762,14.52616152,48.76911958
358.4720807,11.20374031,4.74876815,15.49115234,54.40453885
359.6043126,11.83111178,1.6157627,16.30625419,59.10037311
360.736337,12.6682974,-0.73,16.97146707,62.85662235
361.8681541,13.71529717,-2.3,17.48679097,65.67328658
362.999764,14.97211108,-3.07,17.8522259,67.55036581
364.1311666,16.43873914,-3.07,18.06777185,68.48786002
365.2623621,18.11518135,-2.27,18.13342884,68.48576922
366.3933504,20.0014377,-0.7,18.04919684,67.54409341
367.5241317,20.93958294,-0.22,18.77639069,61.65035016
368.654706,22.06605783,0.870673723,21.89377345,50.97195063
369.7850733,23.65765074,3.38411452,8.633849992,43.68754919
370.9152337,26.02304372,8.437176236,5.705356686,43.23224929
372.0451872,29.44829631,16.91,9.17,41.91942481
373.1749339,34.14491171,28.26411678,13.36190596,43.4133464
374.3044739,40.21157175,40.83638599,9.928417273,46.58880331
375.4338072,47.61287792,53.52813055,7.303055669,42.7699482
376.5629338,56.17392132,66.59,18.00768291,48.24817504
377.6918537,65.58988459,80.42864458,19.64249822,61.99878637
378.8205672,75.44939961,94.5025883,20.4,60.00701538
379.9490741,85.26760453,107.8207871,26.3413873,55.24511768
381.0773746,94.52286983,120.1288173,26.23256931,64.95622323
382.2054687,102.6914676,131.932328,23.08502591,71.65296884
383.3333564,109.2777991,143.2554326,24.16569765,68.32594826
384.4610378,113.8440698,152.6404058,33.93128341,68.78055428
385.588513,116.0464933,157.6763777,46.68386555,73.34688958
386.7157819,115.6782659,156.8070707,49.61693424,74.20769335
387.8428447,112.7080906,150.6117855,47.31898695,73.3527376
