Wavelength,AAB_AS_S1_I17
2261.862186,35.9603459
2261.060512,40.88023422
2260.258706,45.29430081
2259.456768,49.20254568
2258.654698,52.60496883
2257.852495,55.50157026
2257.050161,57.89234997
2256.247694,59.77730795
2255.445094,61.15644421
2254.642363,62.02975875
2253.839499,62.39725157
2253.036502,62.25892266
2252.233374,61.61477204
2251.430112,59.35586593
2250.626719,50.87802915
2249.823192,43.91743644
2249.019534,37.65986391
2248.215742,34.18732724
2247.411818,42.63196459
2246.607762,53.01001802
2245.803573,54.28334506
2244.999251,52.45798667
2244.194796,53.51190479
2243.390209,53.05129589
2242.585489,51.32631816
2241.780636,58.58105674
2240.97565,62.6586161
2240.170532,48.2995684
2239.365281,37.98583361
2238.559896,44.45977518
2237.754379,47.99492662
2236.948729,44.57603752
2236.142946,47.07517832
2235.33703,53.20454031
2234.530981,55.67456916
2233.724799,59.14056974
2232.918484,61.39848301
2232.112035,56.53565163
2231.305454,54.7503666
2230.498739,58.93168192
2229.691891,58.38833938
2228.88491,54.0024641
2228.077796,51.14401997
2227.270548,47.35804232
2226.463167,42.79673319
2225.655653,42.24961453
2224.848005,39.55494185
2224.040224,29.52492869
2223.23231,25.81808046
2222.424262,27.78143547
2221.616081,21.26872032
2220.807766,14.2468553
2219.999318,19.97548111
2219.190736,39.77784083
2218.38202,59.42072191
2217.573171,63.44306176
2216.764188,64.0170239
2215.955072,73.5645442
2215.145822,87.2422268
2214.336438,103.0860426
2213.52692,116.4109787
2212.717269,123.6295705
2211.907484,130.6046976
2211.097565,140.3845363
2210.287512,145.4032432
2209.477325,137.5978048
2208.667005,129.3496609
2207.85655,132.1773068
2207.045961,131.4579412
2206.235239,122.9225304
2205.424382,115.8180482
2204.613392,108.0785939
2203.802267,103.2956109
2202.991008,100.7172957
2202.179615,89.34863972
2201.368088,75.21648212
2200.556426,70.74311984
2199.744631,74.28460688
2198.932701,71.22005347
2198.120637,56.50401722
2197.308438,45.34465741
2196.496105,41.66273945
2195.683638,37.42098764
2194.871037,33.7288273
2194.058301,30.06778849
2193.24543,26.1059594
2192.432425,24.33089023
2191.619286,17.08437676
2190.806012,4.976810797
2189.992604,1.202843829
2189.179061,7.139599598
2188.365383,15.72082688
2187.55157,17.24930759
2186.737623,9.872014597
2185.923542,5.322684297
2185.109325,9.861657429
2184.294974,22.36065189
2183.480488,31.55712053
2182.665867,29.10127891
2181.851112,30.23002647
2181.036221,40.49552725
2180.221196,46.14892509
2179.406035,49.1747493
2178.59074,61.44998953
2177.77531,78.88997797
2176.959744,89.87255269
2176.144044,94.02955695
2175.328208,98.05990022
2174.512238,104.471328
2173.696132,111.3633985
2172.879892,115.6128226
2172.063516,120.9944333
2171.247004,135.6026545
2170.430358,148.086531
2169.613576,146.2903214
2168.796659,141.2890462
2167.979607,136.0963752
2167.162419,130.0177364
2166.345096,131.1681162
2165.527638,132.0840932
2164.710044,124.3545439
2163.892314,112.3683992
2163.07445,96.16869949
2162.256449,80.82285511
2161.438313,75.7606373
2160.620042,69.99643935
2159.801635,61.62552028
2158.983092,65.53246075
2158.164414,66.12739833
2157.345599,52.61963373
2156.52665,43.95380995
2155.707564,41.88894729
2154.888343,41.85638898
2154.068986,46.53140633
2153.249493,49.08365171
2152.429864,47.67638444
2151.610099,46.35110104
2150.790198,43.23939475
2149.970162,39.89243463
2149.149989,38.98163177
2148.329681,41.17033159
2147.509236,46.02180787
2146.688655,46.94228079
2145.867938,45.3716211
2145.047086,45.37025747
2144.226097,40.51954252
2143.404971,34.4627389
2142.58371,42.22896585
2141.762312,62.18169791
2140.940778,69.82947388
2140.119108,63.28537416
2139.297302,66.16280085
2138.475359,74.01422665
2137.653279,79.9680314
2136.831064,92.05073972
2136.008712,100.9602899
2135.186223,103.1472199
2134.363598,102.5235509
2133.540837,99.71637031
2132.717938,104.0665058
2131.894904,108.6227362
2131.071732,103.9489145
2130.248425,102.8349648
2129.42498,105.8541239
2128.601399,105.3077856
2127.777681,103.5057247
2126.953826,98.26969179
2126.129834,91.24380858
2125.305706,87.33908335
2124.481441,84.07679106
2123.657039,86.25306974
