Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4
352.8078093,11.21409512,32.18890283,9.17
353.9410787,10.79239587,25.13086157,10.7318552
355.0741405,10.58051076,18.85782747,12.14651295
356.2069948,10.5784398,13.36980054,13.41
357.3396415,10.78618298,8.666780762,14.52616152
358.4720807,11.20374031,4.74876815,15.49115234
359.6043126,11.83111178,1.6157627,16.30625419
360.736337,12.6682974,-0.73,16.97146707
361.8681541,13.71529717,-2.30,17.48679097
362.999764,14.97211108,-3.07,17.8522259
364.1311666,16.43873914,-3.07,18.06777185
365.2623621,18.11518135,-2.27,18.13342884
366.3933504,20.0014377,-0.70,18.04919684
367.5241317,20.93958294,-0.22,18.77639069
368.654706,22.06605783,0.870673723,21.89377345
369.7850733,23.65765074,3.38411452,8.633849992
370.9152337,26.02304372,8.437176236,5.705356686
372.0451872,29.44829631,16.91,9.17
373.1749339,34.14491171,28.26411678,13.36190596
374.3044739,40.21157175,40.83638599,9.928417273
375.4338072,47.61287792,53.52813055,7.303055669
376.5629338,56.17392132,66.59,18.00768291
377.6918537,65.58988459,80.42864458,19.64249822
378.8205672,75.44939961,94.5025883,20.40
379.9490741,85.26760453,107.8207871,26.3413873
381.0773746,94.52286983,120.1288173,26.23256931
382.2054687,102.6914676,131.932328,23.08502591
383.3333564,109.2777991,143.2554326,24.16569765
384.4610378,113.8440698,152.6404058,33.93128341
385.588513,116.0464933,157.6763777,46.68386555
386.7157819,115.6782659,156.8070707,49.61693424
387.8428447,112.7080906,150.6117855,47.31898695
388.9697015,107.3000189,141.0869657,37.29791922
390.0963521,99.80722671,129.7781558,28.13220145
391.2227968,90.73947023,117.0044316,21.94597223
392.3490355,80.7075448,102.7290995,5.459289161
393.4750684,70.35179014,87.54604174,3.549367247
394.6008954,60.26674655,72.71578281,6.156460632
395.7265166,50.93691792,59.65588799,-6.50
396.851932,42.69600226,49.49216693,-11.45
397.9771418,35.71462073,42.78109172,1.649500016
399.1021459,30.01306266,39.43337473,6.028473127
400.2269444,25.48990041,38.94096781,8.208724041
401.3515374,21.95727109,40.72662805,13.63695641
402.4759249,19.17797439,44.07683387,2.31933597
403.6001069,16.90376507,47.65564241,9.932878765
404.7240836,14.91479177,49.67198252,17.12003668
405.8478549,13.05647847,49.20645388,8.03
406.9714209,11.26532302,47.26772006,17.21934616
408.0947817,9.575272305,46.01899004,17.83939694
409.2179373,8.103475623,46.8726562,20.27419357
410.3408878,7.023128155,49.47107616,31.36834143
411.4636332,6.535279243,52.40356064,27.61448214
412.5861735,6.847691297,54.67192563,31.47827494
413.7085089,8.159897044,56.41257848,29.69731032
414.8306393,10.64751867,58.33642671,25.35634075
415.9525649,14.44035356,60.74703548,24.4472613
417.0742856,19.59426092,63.38340758,14.84873075
418.1958015,26.06176196,66.23659373,18.91562852
419.3171127,33.66975305,70.18471505,18.46903552
420.4382192,42.11442094,76.56016204,20.14077338
421.559121,50.98117553,86.04,22.31460822
422.6798183,59.79078521,97.89870935,12.85047557
423.8003111,68.06382107,110.3186712,23.76406326
424.9205993,75.38677812,121.3824688,24.02660589
426.0406832,81.46089048,129.81,15.36777524
427.1605626,86.12395272,134.9544094,25.33213117
428.2802377,89.34982556,136.6084277,23.59414565
429.3997085,91.23660595,134.8796391,22.94724255
430.5189751,91.9903181,130.03,30.42950504
431.6380376,91.90364633,122.6009873,26.66080641
432.7568959,91.32491108,113.6535186,26.57312261
433.8755501,90.61528122,104.586891,28.6317893
434.9940002,90.10046838,96.48,23.4110884
436.1122464,90.02793998,89.57,20.55737548
437.2302887,90.5381911,83.06821037,19.85324168
438.348127,91.65306653,75.66,25.85973349
439.4657616,93.27868636,66.50525194,27.52478239
440.5831923,95.21715723,55.98305205,14.60563483
441.7004194,97.18272248,45.36825217,12.22942364
442.8174427,98.82314913,35.91212311,5.797688626
443.9342624,99.75096309,28.2787338,2.029944903
445.0508786,99.58809735,22.66342169,8.096977425
446.1672912,98.02157772,19.01177689,-3.86
447.2835003,94.86079932,16.79447951,-0.29
448.399506,90.08353615,14.89171481,2.269928642
449.5153083,83.85875067,12.22775119,-8.56
450.6309072,76.53828287,8.60080529,-3.61
451.7463029,68.61708906,5.022554452,-9.17
452.8614954,60.67130152,3.499382776,-7.21
453.9764846,53.29001323,6.162887393,1.754047858
455.0912707,47.01617312,13.87058243,-1.55
456.2058538,42.30462083,25.290992,1.480949438
457.3202338,39.49636268,37.62047898,-2.54
458.4344108,38.80334238,48.46869389,-6.05
459.5483849,40.29924599,56.95307446,-10.92
460.6621561,43.91689471,63.25087174,-12.31
461.7757245,49.45544064,67.69259554,-2.57
462.8890901,56.59783066,70.31186829,1.977795036
464.0022529,64.93526497,71.03264171,13.85988361
465.1152131,73.9949964,70.27708721,20.49389607
466.2279706,83.26915283,69.15582185,13.18715317
467.3405255,92.24353094,68.61291957,0.293779271
468.4528779,100.4274511,68.36482005,2.768539187
469.5650278,107.386717,66.90648828,8.54199007
470.6769753,112.7780099,62.68508145,5.94
471.7887204,116.3779371,55.45927167,21.44421634
472.9002631,118.0999047,46.86277288,33.21268642
474.0116036,117.9962543,39.67507434,43.35688827
475.1227418,116.2465995,35.98153129,55.54270927
476.2336778,113.1352707,35.52681071,64.80291705
477.3444117,109.0215951,36.17118907,70.7447539
478.4549434,104.3044725,36.36154231,67.43806598
479.5652732,99.38024568,36.61889599,70.11
480.6754009,94.59648288,38.19848396,66.21611897
481.7853267,90.21123287,41.09840773,61.83073539
482.8950506,86.36832215,44.02924878,59.25719207
484.0045727,83.09318657,45.81147615,46.95794532
485.1138929,80.30728242,46.30058519,41.77874736
486.2230114,77.85659546,46.22,37.55271634
487.3319282,75.54993743,46.39,38.93
488.4406434,73.20209631,46.93644612,45.30549065
489.549157,70.67421693,47.17716009,40.46
490.657469,67.90200081,46.47063839,32.22936572
491.7655795,64.90512825,44.97932612,22.62892984
492.8734885,61.77790378,43.42383613,8.719255452
493.9811962,58.66732079,42.06159533,-3.61
495.0887025,55.74817374,40.06827731,8.10
496.1960075,53.2040356,36.25049329,8.005177023
497.3031112,51.21702449,30.62039066,-6.50
498.4100137,49.96375584,24.95047457,11.43689307
499.5167151,49.61500009,21.33026575,17.13491518
500.6232154,50.33740606,20.24056486,13.47713371
501.7295146,52.29316701,20.29779605,19.87989076
502.8356128,55.63243597,19.83461196,15.47196699
503.94151,60.47552851,18.43157468,9.237693682
505.0472063,66.88535744,16.80046912,10.32447064
506.1527018,74.83576571,15.65939223,17.12982731
507.2579964,84.18624447,15.34809453,15.37015456
508.3630903,94.67226385,16.39241396,12.58689451
509.4679835,105.9141707,19.58253229,10.01718881
510.572676,117.4428379,25.05622091,8.488640381
511.6771678,128.7386628,31.57209239,16.21190223
512.7814591,139.2789833,36.93,16.97676207
513.8855499,148.5866804,39.24623844,19.315682
514.9894402,156.271531,38.40975514,18.29497377
516.0931301,162.0566855,36.49012649,3.81
517.1966197,165.786485,36.23830273,5.423271433
518.2999088,167.4191435,38.66232934,11.52108354
519.4029978,167.0129338,42.19239646,5.783667688
