Wavelength,HS_V2S1_AAB_C4_S2_I2,HS_V2S1_AAB_C4_S5_I2,HS_V2S1_AAB_C4_S5_I3,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3,HS_V2S2_AAB_C2_I1,HS_V2S2_AAB_C2_I2,HS_V2S2_AAB_C2_I3,HS_V2S3_AAB_C1_S4_I1,HS_V2S3_AAB_C1_S4_I2
351.7692476,23.7653945,15.39140597,2.178282793,18.18243333,59.48711973,-3.365035657,37.25930588,39.94362629,3.593207552,64.69347844,-1.966157014
352.902517,29.35172884,15.73363644,5.904438011,15.58890679,49.5674903,5.755007064,34.02531815,36.38981812,8.541067102,58.2789429,7.913067527
354.0355789,34.25322436,16.37825184,9.747925594,13.20316753,40.40893183,14.14038641,31.02485519,33.14763709,13.34697817,52.23805045,17.49123861
355.1684331,38.46988105,17.32525217,13.70874554,11.02521557,32.01144432,21.79110239,28.257917,30.2170832,18.01094076,46.57080108,26.76835623
356.3010798,42.00169891,18.57463743,17.78689786,9.0550509,24.37502776,28.70715499,25.72450357,27.59815645,22.53295486,41.2771948,35.74442038
357.4335191,44.84867795,20.12640764,21.98238254,7.292673525,17.49968215,34.88854423,23.42461491,25.29085685,26.91302049,36.35723161,44.41943108
358.5657509,47.01081816,21.98056277,26.29519959,5.738083442,11.3854075,40.33527009,21.35825102,23.29518438,31.15113763,31.81091151,52.79338831
359.6977753,48.48811954,24.13710284,30.725349,4.391280653,6.03220381,45.04733258,19.5254119,21.61113906,35.24730629,27.6382345,60.86629208
360.8295924,49.2805821,26.59602784,35.27283078,3.252265157,1.440071072,49.02473169,17.92609754,20.23872087,39.20152647,23.83920057,68.63814239
361.9612023,49.38820583,29.35733778,39.93764493,2.321036954,-2.390990712,52.26746744,16.56030795,19.17792983,43.01379816,20.41380973,76.10893924
363.0926049,48.81099073,32.42103265,44.71979144,1.597596044,-5.46098154,54.77553981,15.42804313,18.42876592,46.68412138,17.36206197,83.27868263
364.2238004,47.54893681,35.78711246,49.61927032,1.081942427,-7.769901413,56.54894881,14.52930308,17.99122916,50.21249611,14.68395731,90.14737256
365.3547887,45.60204406,39.45557719,54.63608156,0.774076104,-9.31775033,57.58769444,13.8640878,17.86531954,53.59892237,12.37949573,96.71500902
366.48557,44.78300221,41.31233168,58.30567591,0.201808912,-7.907300417,60.11688297,14.5357967,15.0822955,57.53189499,13.84157284,102.9207303
367.6161443,43.88939236,44.00869399,61.88694683,0.252382595,-6.961963865,56.97891757,12.65131014,11.3590466,60.90671504,11.25296744,108.1316167
368.7465116,38.74521083,47.86930673,66.08748441,-7.760266934,-9.291318658,54.38743811,7.62526052,10.70700227,63.91165105,6.370542934,113.1622191
369.876672,30.03244758,53.08830097,71.78674078,-16.08146888,-10.90135502,43.38481028,6.014944462,15.97165576,66.85770339,2.348425143,119.0514956
371.0066255,22.28642262,59.68392955,79.48162019,-11.78057403,-4.899659079,40.92731581,12.61955838,25.86169093,70.07518658,1.629215508,126.4868778
372.1363723,16.39065617,67.49312327,88.9543509,-1.266749493,7.041686033,51.51995117,22.06263448,34.95202948,73.81770772,4.555451355,135.4349287
373.2659122,10.86242718,76.21085047,99.42902743,3.412085591,17.61882008,44.34526991,27.56776768,39.78975715,78.20962398,9.88494119,145.2076091
374.3952455,7.112177599,85.45079229,109.9871281,7.010726785,25.13335631,36.28041001,30.18897378,43.18105259,83.23300219,16.52302492,154.8450711
375.5243721,6.53460839,94.79929074,119.8479251,17.02084063,33.32753646,40.15308244,33.15311574,49.66013698,88.73479707,24.39329041,163.5213153
376.6532921,6.385272169,103.8558581,128.4225175,28.30563678,43.91981804,33.29498166,36.13228122,59.40282516,94.4482733,33.70884892,170.7900748
377.7820055,3.535763968,112.2653111,135.3055913,35.58942758,54.75302932,31.59048196,38.67725439,68.94368873,100.0338199,43.98711355,176.6382823
378.9105124,-1.415062214,119.7371608,140.3125276,40.72089452,62.78664134,23.10229984,41.47385751,75.62341733,105.1336893,54.12470752,181.3680329
380.0388129,-5.9838253,126.0392781,143.5128109,43.98503721,66.36673275,13.9842465,43.33986259,79.48536308,109.4187284,63.29708293,185.3566027
381.166907,-7.473680297,130.9630229,145.1553988,44.21657558,66.46424458,12.5104628,42.7574407,82.13981905,112.6015837,71.56453832,188.7813623
382.2947947,-2.607215298,134.2791708,145.456444,45.86369146,67.64210675,0.673025791,41.30611762,85.12334803,114.4096652,79.44443599,191.3994037
383.4224761,8.829249685,135.7150008,144.3772542,53.47475757,74.14650495,7.750864622,40.59465974,88.5069496,114.5464995,86.78764496,192.4529266
384.5499513,20.73223345,134.9725273,141.6050224,62.01948922,82.95569238,16.55106837,38.61305205,90.4571514,112.6912885,92.19236197,190.7787664
385.6772202,27.17979534,131.7869862,136.7926834,63.97941119,86.88027614,13.6294653,34.89164698,89.48066777,108.5629222,93.86659591,185.1630535
386.8042831,29.66225227,126.0052933,129.844396,61.5710009,84.58263559,13.74298872,34.36035723,86.47284304,102.0228974,91.13851257,174.8267914
387.9311398,32.27135322,117.6561987,120.9886447,61.21835463,80.11042859,4.972057478,38.3269483,82.42701642,93.16495797,84.85168793,159.7951887
389.0577904,33.9008948,106.9899573,110.6238548,61.00914757,74.47295272,1.56396795,38.0986413,75.77462487,82.35598244,76.36684562,140.9883403
390.1842351,31.0991081,94.48551578,99.14915634,54.10908087,65.2306281,2.287222527,27.42249399,64.72074422,70.21264976,66.70932774,120.0307307
391.3104739,25.31256393,80.82274089,86.95126328,42.04684321,53.0289158,0.789146775,13.69060563,51.23702562,57.51883143,56.78023427,98.88825358
392.4365067,21.43508599,66.82109425,74.50368939,32.89219398,41.63764685,0.807831454,6.50884009,40.51275988,45.10534809,47.71859977,79.44259474
393.5623337,20.63372138,53.35204399,62.41958381,26.90477491,32.04991091,3.88537658,4.369468594,36.26083861,33.72931448,40.56640563,63.11288794
394.6879549,19.7746965,41.24198576,51.36287943,18.52845025,23.09154523,5.372904846,2.437410428,37.59317223,23.98663942,35.68868818,50.63901793
395.8133703,17.21800907,31.18398408,41.85467845,10.44431105,16.56244537,2.808466699,2.58810313,40.77123876,16.26618367,32.68518972,42.07111208
396.9385801,14.7900598,23.67210086,34.12390261,9.397422279,14.80805217,9.632234759,6.862885417,43.100511,10.73386524,30.90979986,36.91333259
398.0635842,13.74346331,18.96553893,28.14801314,11.94216554,15.0563992,10.59635659,11.08479008,44.70209499,7.337584902,30.23979201,34.34587682
399.1883827,11.98871406,17.0806143,23.84465198,8.865628268,12.37301686,14.78893784,11.12121564,47.39012245,5.831812688,31.51343988,33.46064384
400.3129757,8.082956859,17.80367948,21.17935017,1.614369556,7.069357711,14.01563149,8.515708066,53.04713198,5.817387286,36.15995766,33.44607702
401.4373632,5.710502829,20.72214853,20.02246942,1.321430761,4.398359672,8.391229698,7.586158603,62.4076453,6.789335479,44.96213694,33.68185382
402.5615452,8.712272235,25.27550299,19.89304788,9.925254242,6.49561218,26.39192332,10.33419282,73.31303663,8.195690407,56.67520472,33.7629159
403.6855219,13.6028283,30.82662964,19.91855275,16.42087497,9.092213293,36.10166914,14.37308111,81.04293263,9.519309345,68.02690905,33.51147565
404.8092932,13.49058999,36.74470774,19.1675699,14.81747871,8.159493495,34.43873772,15.32939569,82.7818774,10.3743363,75.7437539,32.98652296
405.9328592,7.483277955,42.48020107,17.15191706,10.60720858,4.963453737,33.0946945,11.40587527,80.34241776,10.57760213,78.83175676,32.42750479
407.05622,1.317974185,47.61454707,14.12974267,8.827690247,2.08089987,33.52586973,5.070575346,76.87163745,10.15732129,78.84755402,32.08210547
408.1793756,0.388983919,51.88221303,10.99579602,9.160713489,-0.007509352,31.66089546,-0.016391766,73.49077014,9.303702605,78.07008643,31.98633977
409.3023261,4.736288023,55.17334432,8.839037545,11.53454932,-0.326444695,29.76303887,-2.707908193,70.22885842,8.301145167,77.44944197,31.84305901
410.4250715,10.00546995,57.52362705,8.454735612,16.54380683,1.972600098,34.40749506,-3.340233901,67.03296044,7.478918654,76.06381848,31.09201315
411.5476118,12.35991523,59.09395082,10.08872212,21.51102018,3.489765044,35.88168752,-0.841571459,62.73182186,7.191192355,72.33898585,29.16426201
