Wavelength,HS_V2S1_AAB_C4_S2_I2
351.7692476,23.7653945
352.902517,29.35172884
354.0355789,34.25322436
355.1684331,38.46988105
356.3010798,42.00169891
357.4335191,44.84867795
358.5657509,47.01081816
359.6977753,48.48811954
360.8295924,49.2805821
361.9612023,49.38820583
363.0926049,48.81099073
364.2238004,47.54893681
365.3547887,45.60204406
366.48557,44.78300221
367.6161443,43.88939236
368.7465116,38.74521083
369.876672,30.03244758
371.0066255,22.28642262
372.1363723,16.39065617
373.2659122,10.86242718
374.3952455,7.112177599
375.5243721,6.53460839
376.6532921,6.385272169
377.7820055,3.535763968
378.9105124,-1.415062214
380.0388129,-5.9838253
381.166907,-7.473680297
382.2947947,-2.607215298
383.4224761,8.829249685
384.5499513,20.73223345
385.6772202,27.17979534
386.8042831,29.66225227
387.9311398,32.27135322
389.0577904,33.9008948
390.1842351,31.0991081
391.3104739,25.31256393
392.4365067,21.43508599
393.5623337,20.63372138
394.6879549,19.7746965
395.8133703,17.21800907
396.9385801,14.7900598
398.0635842,13.74346331
399.1883827,11.98871406
400.3129757,8.082956859
401.4373632,5.710502829
402.5615452,8.712272235
403.6855219,13.6028283
404.8092932,13.49058999
405.9328592,7.483277955
407.05622,1.317974185
408.1793756,0.388983919
409.3023261,4.736288023
410.4250715,10.00546995
411.5476118,12.35991523
412.6699472,12.09685305
413.7920776,11.7177123
414.9140032,11.44361065
416.0357239,9.371547956
417.1572398,5.586902303
418.278551,2.473084278
419.3996575,1.416828056
420.5205593,1.936919509
421.6412566,2.456772733
422.7617494,1.101265135
423.8820376,-1.673787784
425.0021215,-2.702750674
426.1220009,-0.3526933
427.241676,4.138761336
428.3611469,8.765313722
429.4804135,10.56975198
430.5994759,7.36529881
431.7183342,1.731550926
432.8369884,-1.432930774
433.9554385,-0.692538652
435.0736847,2.020726406
436.191727,5.189954026
437.3095654,8.892860065
438.4271999,12.70355465
439.5446307,14.36214855
440.6618577,12.31712985
441.778881,8.240019861
442.8957007,5.309273365
444.0123169,5.306557779
445.1287295,7.258579183
446.2449386,7.922409552
447.3609443,5.387057275
448.4767466,1.808825028
449.5923455,0.432391209
450.7077412,1.997802431
451.8229337,5.393494747
