Wavelength,HS_V2S1_AAB_C4_S5_I2,HS_V2S1_AAB_C4_S5_I3
351.7692476,15.39140597,2.178282793
352.902517,15.73363644,5.904438011
354.0355789,16.37825184,9.747925594
355.1684331,17.32525217,13.70874554
356.3010798,18.57463743,17.78689786
357.4335191,20.12640764,21.98238254
358.5657509,21.98056277,26.29519959
359.6977753,24.13710284,30.725349
360.8295924,26.59602784,35.27283078
361.9612023,29.35733778,39.93764493
363.0926049,32.42103265,44.71979144
364.2238004,35.78711246,49.61927032
365.3547887,39.45557719,54.63608156
366.48557,41.31233168,58.30567591
367.6161443,44.00869399,61.88694683
368.7465116,47.86930673,66.08748441
369.876672,53.08830097,71.78674078
371.0066255,59.68392955,79.48162019
372.1363723,67.49312327,88.9543509
373.2659122,76.21085047,99.42902743
374.3952455,85.45079229,109.9871281
375.5243721,94.79929074,119.8479251
376.6532921,103.8558581,128.4225175
377.7820055,112.2653111,135.3055913
378.9105124,119.7371608,140.3125276
380.0388129,126.0392781,143.5128109
381.166907,130.9630229,145.1553988
382.2947947,134.2791708,145.456444
383.4224761,135.7150008,144.3772542
384.5499513,134.9725273,141.6050224
385.6772202,131.7869862,136.7926834
386.8042831,126.0052933,129.844396
387.9311398,117.6561987,120.9886447
389.0577904,106.9899573,110.6238548
390.1842351,94.48551578,99.14915634
391.3104739,80.82274089,86.95126328
392.4365067,66.82109425,74.50368939
393.5623337,53.35204399,62.41958381
394.6879549,41.24198576,51.36287943
395.8133703,31.18398408,41.85467845
396.9385801,23.67210086,34.12390261
398.0635842,18.96553893,28.14801314
399.1883827,17.0806143,23.84465198
400.3129757,17.80367948,21.17935017
401.4373632,20.72214853,20.02246942
402.5615452,25.27550299,19.89304788
403.6855219,30.82662964,19.91855275
404.8092932,36.74470774,19.1675699
405.9328592,42.48020107,17.15191706
407.05622,47.61454707,14.12974267
408.1793756,51.88221303,10.99579602
409.3023261,55.17334432,8.839037545
410.4250715,57.52362705,8.454735612
411.5476118,59.09395082,10.08872212
412.6699472,60.14192214,13.50077128
413.7920776,60.9863034,18.22500887
414.9140032,61.96517078,23.82596242
416.0357239,63.39184822,30.03035836
417.1572398,65.51698319,36.74527533
418.278551,68.49342855,44.01779174
419.3996575,72.34355585,51.95025565
420.5205593,76.93388076,60.56730173
421.6412566,81.97357318,69.69733383
422.7617494,87.04949446,78.98159999
423.8820376,91.68707363,88.00683998
425.0021215,95.40891084,96.37861216
426.1220009,97.77554487,103.6203383
427.241676,98.41624878,109.0574509
428.3611469,97.05831656,111.9058339
429.4804135,93.55448713,111.5527228
430.5994759,87.90489634,107.8397205
431.7183342,80.27452702,101.1755643
432.8369884,70.99944927,92.41946434
433.9554385,60.57040906,82.59579324
435.0736847,49.5876004,72.57138052
436.191727,38.69268077,62.84467073
437.3095654,28.49497199,53.55925872
438.4271999,19.50747849,44.7279708
439.5446307,12.09801595,36.49409532
440.6618577,6.456301336,29.20758072
441.778881,2.579621802,23.24817618
442.8957007,0.28711022,18.78270161
444.0123169,-0.732518828,15.70285466
445.1287295,-0.851959856,13.75173868
446.2449386,-0.433448944,12.64919483
447.3609443,0.234448362,12.1286856
448.4767466,0.985718414,11.97330751
449.5923455,1.79786412,12.10847899
450.7077412,2.769871213,12.66867233
451.8229337,4.063384626,13.93778217
452.9379229,5.834760213,16.19280698
454.0527091,8.180996424,19.57042853
455.1672921,11.10646459,24.02878056
456.2816721,14.51653895,29.41284191
457.3958491,18.24346352,35.59703494
458.5098232,22.09931802,42.61027077
459.6235944,25.93097406,50.61452676
460.7371628,29.65296779,59.71207203
461.8505284,33.25365222,69.74729609
462.9636912,36.78726391,80.32948457
464.0766514,40.3606548,91.07885153
465.1894089,44.10733624,101.8290869
466.3019639,48.14268003,112.5753736
467.4143163,52.5159587,123.2490201
468.5264662,57.18458778,133.5517714
469.6384136,62.02112467,142.9729521
470.7501587,66.83724869,150.91114
471.8617014,71.40332508,156.7525631
472.9730419,75.45730688,159.8743981
474.0841801,78.71059408,159.6774879
475.1951161,80.86814653,155.7596306
476.30585,81.67484405,148.2050595
477.4163818,80.97632726,137.7833606
