Wavelength,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3
351.7692476,18.18243333,59.48711973,-3.365035657
352.902517,15.58890679,49.5674903,5.755007064
354.0355789,13.20316753,40.40893183,14.14038641
355.1684331,11.02521557,32.01144432,21.79110239
356.3010798,9.0550509,24.37502776,28.70715499
357.4335191,7.292673525,17.49968215,34.88854423
358.5657509,5.738083442,11.3854075,40.33527009
359.6977753,4.391280653,6.03220381,45.04733258
360.8295924,3.252265157,1.440071072,49.02473169
361.9612023,2.321036954,-2.390990712,52.26746744
363.0926049,1.597596044,-5.46098154,54.77553981
364.2238004,1.081942427,-7.769901413,56.54894881
365.3547887,0.774076104,-9.31775033,57.58769444
366.48557,0.201808912,-7.907300417,60.11688297
367.6161443,0.252382595,-6.961963865,56.97891757
368.7465116,-7.760266934,-9.291318658,54.38743811
369.876672,-16.08146888,-10.90135502,43.38481028
371.0066255,-11.78057403,-4.899659079,40.92731581
372.1363723,-1.266749493,7.041686033,51.51995117
373.2659122,3.412085591,17.61882008,44.34526991
374.3952455,7.010726785,25.13335631,36.28041001
375.5243721,17.02084063,33.32753646,40.15308244
376.6532921,28.30563678,43.91981804,33.29498166
377.7820055,35.58942758,54.75302932,31.59048196
378.9105124,40.72089452,62.78664134,23.10229984
380.0388129,43.98503721,66.36673275,13.9842465
381.166907,44.21657558,66.46424458,12.5104628
382.2947947,45.86369146,67.64210675,0.673025791
383.4224761,53.47475757,74.14650495,7.750864622
384.5499513,62.01948922,82.95569238,16.55106837
385.6772202,63.97941119,86.88027614,13.6294653
386.8042831,61.5710009,84.58263559,13.74298872
387.9311398,61.21835463,80.11042859,4.972057478
389.0577904,61.00914757,74.47295272,1.56396795
390.1842351,54.10908087,65.2306281,2.287222527
391.3104739,42.04684321,53.0289158,0.789146775
392.4365067,32.89219398,41.63764685,0.807831454
393.5623337,26.90477491,32.04991091,3.88537658
394.6879549,18.52845025,23.09154523,5.372904846
395.8133703,10.44431105,16.56244537,2.808466699
396.9385801,9.397422279,14.80805217,9.632234759
398.0635842,11.94216554,15.0563992,10.59635659
399.1883827,8.865628268,12.37301686,14.78893784
400.3129757,1.614369556,7.069357711,14.01563149
401.4373632,1.321430761,4.398359672,8.391229698
402.5615452,9.925254242,6.49561218,26.39192332
403.6855219,16.42087497,9.092213293,36.10166914
404.8092932,14.81747871,8.159493495,34.43873772
405.9328592,10.60720858,4.963453737,33.0946945
407.05622,8.827690247,2.08089987,33.52586973
408.1793756,9.160713489,-0.007509352,31.66089546
409.3023261,11.53454932,-0.326444695,29.76303887
410.4250715,16.54380683,1.972600098,34.40749506
411.5476118,21.51102018,3.489765044,35.88168752
412.6699472,23.05862626,0.591253903,34.1349367
413.7920776,21.98199605,-3.702962829,24.39706343
414.9140032,21.08922163,-4.332217926,21.65767098
416.0357239,21.15325658,-2.404007042,17.12977497
417.1572398,21.28591402,-2.688562279,12.19406925
418.278551,20.74515683,-6.094998195,14.14483549
419.3996575,20.77290257,-8.05104255,8.220799078
420.5205593,24.78765306,-3.480099239,8.038160823
421.6412566,32.87499435,6.303832014,7.210902218
422.7617494,38.24754169,13.45375489,11.71710584
423.8820376,36.63106022,14.00189355,4.42825363
425.0021215,33.34382322,13.93979125,-6.898491145
426.1220009,33.20559627,19.68569952,3.408149139
427.241676,35.49200972,29.64941673,-2.137722927
428.3611469,40.4541956,38.91665426,8.282434378
429.4804135,45.91129656,44.93361103,28.6295222
430.5994759,45.24600922,48.07172032,21.58276178
431.7183342,37.91489198,50.19302716,20.32699034
432.8369884,29.29530002,51.03388536,26.36085825
433.9554385,21.4014134,47.93588358,27.60798616
435.0736847,15.34220153,41.95382762,26.95520001
436.191727,15.4505866,39.00330646,35.57787518
437.3095654,21.43948736,40.8965881,47.2060751
438.4271999,23.80868887,41.04872929,52.72156354
439.5446307,16.29931386,34.42418639,45.78128626
440.6618577,7.510680121,25.57192585,36.63860035
441.778881,8.93157779,20.42662353,38.20330107
442.8957007,17.12923548,17.91305982,44.20885033
444.0123169,21.83102776,16.34156175,53.11016912
445.1287295,23.47591879,18.80091295,48.31312068
446.2449386,27.53094897,25.66112873,52.45020012
447.3609443,32.0528859,30.87367372,55.13561321
448.4767466,32.89301739,30.37941435,45.54685895
449.5923455,31.43630535,27.04054263,47.26820467
450.7077412,31.97373511,25.85096197,37.7611888
451.8229337,35.26562801,28.56377174,38.21768106
452.9379229,36.80900547,33.75027617,37.45142532
454.0527091,34.65239319,41.0576083,29.15932197
455.1672921,32.90430195,51.54888167,39.54702266
456.2816721,32.8530263,62.70530396,38.74183113
457.3958491,30.75902714,69.30131633,35.10222577
458.5098232,25.35412976,70.25093502,32.27896605
459.6235944,19.17936023,69.66466926,30.35196856
460.7371628,15.79542322,71.97711413,30.88456099
461.8505284,17.99080777,77.99458364,32.5954166
462.9636912,22.63463112,83.2637268,46.07786598
464.0766514,20.64969226,81.58192768,37.50382516
465.1894089,9.840869939,73.0961521,20.50979945
466.3019639,0.798650615,65.54826008,11.09426553
467.4143163,1.545543952,64.76746166,11.92718776
468.5264662,5.723074925,68.21877287,22.52186998
469.6384136,5.129758247,70.39796836,20.45269924
470.7501587,1.424590803,68.86198272,18.34339378
471.8617014,-2.362483433,62.82803433,14.4800562
472.9730419,-6.067880398,53.35830166,16.22507945
474.0841801,-6.118831088,45.46036526,17.910321
475.1951161,-1.569939799,41.67267776,20.9237579
476.30585,0.163133319,36.67366821,20.16541733
477.4163818,-4.081452894,26.39223048,4.452154542
478.5267115,-8.338900881,16.13370284,-0.851684395
479.6368392,-9.200380326,13.06243175,-5.865728994
480.746765,-8.070706877,16.86050272,-3.89557199
481.8564889,-4.99017429,21.55493708,-0.436628823
482.966011,1.4141764,23.00115324,-3.506820471
484.0753312,11.94364733,22.85720924,1.640108741
485.1844497,25.57902413,25.52530502,5.990029435
486.2933665,38.78955829,31.98019786,17.31380696
487.4020817,49.06330381,38.60546156,27.14020917
488.5105953,57.62930173,42.1186261,30.13440681
489.6189073,64.80688483,42.07077677,31.4727983
490.7270178,67.79464849,39.03988861,24.22235052
491.8349268,67.84553728,35.29048193,18.72589839
492.9426345,69.78845681,35.03398414,16.14039324
494.0501408,71.5726459,39.01456666,22.13934808
495.1574458,68.64795488,42.93796846,23.42425709
496.2645495,64.66536123,43.70650419,17.40915393
497.3714521,62.7921363,41.70050416,27.47109752
498.4781534,58.78438265,38.28966871,27.99722543
499.5846537,51.17317707,35.46599439,23.04585003
500.6909529,42.07261396,33.48777048,26.14480881
501.7970511,30.1746534,28.52064786,14.88069723
502.9029483,16.75358623,18.90477193,-3.105199896
504.0086446,8.542043353,10.01053008,-7.313008593
505.1141401,6.161464755,6.645978943,-1.560035747
