Wavelength,HS_V3S1_AAB_C2_S1_I1,HS_V3S1_AAB_C2_S1_I2,HS_V3S1_AAB_C2_S1_I1
351.7692476,26.70638678,37.28041965,64.58724072
352.902517,23.24197913,36.09606631,59.20325015
354.0355789,20.14909425,34.94278669,54.31937894
355.1684331,17.42773213,33.82058078,49.93562707
356.3010798,15.07789277,32.72944857,46.05199455
357.4335191,13.09957617,31.66939008,42.66848138
358.5657509,11.49278233,30.6404053,39.78508757
359.6977753,10.25751125,29.64249423,37.4018131
360.8295924,9.39376294,28.67565686,35.51865799
361.9612023,8.901537388,27.73989321,34.13562223
363.0926049,8.780834598,26.83520327,33.25270581
364.2238004,9.031654569,25.96158704,32.86990875
365.3547887,9.653997302,25.11904452,32.98723104
366.48557,12.41555162,27.75323878,33.92712684
367.6161443,12.03112552,24.19138332,30.02247409
368.7465116,7.902751058,17.17727679,22.58769886
369.876672,6.788603012,13.69250319,19.46073428
371.0066255,10.40763044,15.82639219,27.26797993
372.1363723,15.19556055,20.21581778,42.24998114
373.2659122,20.49899143,23.54879857,56.24084838
374.3952455,24.70156424,24.30765613,67.6506324
375.5243721,27.16001971,22.62652689,79.85100682
376.6532921,31.06395129,21.02321239,93.08312217
377.7820055,33.0140362,21.54870949,103.8402036
378.9105124,29.77315752,22.25919914,110.1137742
380.0388129,27.37120677,20.48928047,113.3402744
381.166907,27.5873313,17.59749964,116.5171489
382.2947947,28.04632165,16.74512162,122.6956398
383.4224761,29.72045797,18.01115671,132.0664972
384.5499513,30.27911289,18.74122402,139.0097328
385.6772202,26.51915146,17.79177967,137.1775874
386.8042831,20.47185754,16.83859535,127.6386021
387.9311398,15.57682393,17.45501369,116.5544357
389.0577904,13.39508488,19.01255829,106.2533014
390.1842351,12.70374495,20.14152654,94.3679865
391.3104739,12.18845669,20.73421573,80.19812061
392.4365067,12.10236368,20.85868928,65.70637107
393.5623337,10.29132231,19.54108736,51.49228934
394.6879549,5.916164721,17.91664325,37.87747165
395.8133703,4.08213996,20.19810242,28.1886963
396.9385801,7.270143358,27.1429558,25.23198927
398.0635842,11.48448873,33.55017309,26.03197195
399.1883827,14.08903349,35.76825305,24.40750667
400.3129757,14.57591851,35.78879059,18.69042237
401.4373632,12.16619448,36.11736788,13.82933125
402.5615452,10.49237261,36.27532991,13.78922323
403.6855219,11.31253052,35.18240066,15.05604277
404.8092932,9.134572695,33.23776798,12.14707171
405.9328592,6.776970553,31.94197796,5.824386571
407.05622,10.42686024,32.41964947,0.651899637
408.1793756,14.26939702,33.74298312,-1.05960805
409.3023261,17.92052103,33.76312485,1.017330101
410.4250715,27.11605573,32.09867924,6.029984403
411.5476118,35.30171092,30.23670423,10.75688715
412.6699472,38.75964467,28.84492553,12.64936016
413.7920776,43.71240525,27.63925472,12.86850827
414.9140032,48.10544518,26.92210347,12.81775192
416.0357239,46.66937508,26.46248448,11.58031389
417.1572398,42.90186523,24.7101929,9.146588111
418.278551,41.12487313,21.35684736,8.050076735
419.3996575,41.39020714,18.0814139,10.98040058
420.5205593,43.0759239,16.01116848,19.0547029
421.6412566,45.96315149,15.35895014,30.70033529
422.7617494,49.05706715,16.20434713,41.54798814
423.8820376,50.67765811,17.07051959,48.63565942
425.0021215,50.34326064,15.58691457,53.4116636
426.1220009,47.21725318,11.84979338,57.91189582
427.241676,40.09437767,8.370410166,62.21740142
428.3611469,32.33583301,7.358548036,66.32833287
429.4804135,27.71712853,9.812977742,69.32428346
430.5994759,23.97833441,15.10821321,68.83523524
431.7183342,18.91718401,20.77284437,64.73364643
432.8369884,15.23111527,24.78767156,59.80198082
433.9554385,15.24773548,27.13240077,56.5690079
435.0736847,17.50472149,28.17243466,56.43227065
436.191727,19.41056835,28.22731581,59.761874
437.3095654,20.04092959,28.31716525,63.94396989
438.4271999,19.821061,28.50181045,63.40312018
439.5446307,17.78990487,27.4211319,55.1050906
440.6618577,13.26206706,25.1946099,43.29195666
441.778881,9.677157126,23.65725482,35.00523578
442.8957007,9.233602952,23.42671111,32.00605946
444.0123169,9.385075341,24.04770085,31.77291608
445.1287295,10.9963745,25.77020996,33.76748062
446.2449386,17.36783417,28.08599539,37.95799575
447.3609443,23.29301008,29.02788633,40.65188458
448.4767466,22.62384401,28.41008804,38.86152673
449.5923455,20.60196226,28.52492529,35.51767139
450.7077412,22.11152752,30.14446835,35.26952456
451.8229337,23.67158016,31.40444116,38.12975852
452.9379229,23.51531971,31.5118598,41.07287585
454.0527091,22.84548708,32.32862159,43.68138877
455.1672921,22.04223645,35.25788562,47.5513189
456.2816721,21.17196516,38.64305566,51.30884019
457.3958491,19.16244234,39.5822911,51.76102749
458.5098232,15.96429229,37.65535899,49.68400537
459.6235944,14.68544447,35.3493399,50.13301846
460.7371628,17.45703126,34.14163096,56.5526267
461.8505284,20.21718717,32.41614922,66.38079687
462.9636912,18.5125277,29.04895628,73.26551127
464.0766514,17.72279195,25.52892818,73.42258199
465.1894089,21.62454819,22.70250543,68.64400874
466.3019639,22.15155848,19.70196945,63.48453456
467.4143163,17.64095958,16.45514006,61.0737569
468.5264662,15.69475618,13.86343473,61.00572842
469.6384136,15.72338064,12.68516184,60.44394905
470.7501587,14.45056677,13.31567802,57.35408851
471.8617014,15.35881353,14.67288557,52.02478184
472.9730419,18.72414858,13.93878514,46.33528774
474.0841801,19.26850777,9.978907037,42.70630814
475.1951161,19.27016203,6.017926232,41.70841343
476.30585,25.50770618,5.434413973,40.18686016
477.4163818,33.56212223,6.267539181,34.7749551
478.5267115,36.56048117,4.397148416,26.97624857
479.6368392,37.9141187,-0.071010912,21.52907309
480.746765,41.37901305,-4.014142497,20.61144622
481.8564889,45.62453101,-5.804655338,22.10496957
482.966011,48.90126611,-5.302121167,23.11282228
484.0753312,50.66267132,-2.32485246,24.10427153
485.1844497,50.80159462,2.553677153,28.7273053
486.2933665,49.68123625,7.399678634,38.74538354
487.4020817,50.79297877,10.79493294,50.40319064
488.5105953,53.54324826,13.73095901,57.8611694
489.6189073,51.06062173,18.12137738,59.19409305
490.7270178,45.49877838,23.74348284,56.83572157
491.8349268,40.91333341,28.76539064,53.51810007
492.9426345,32.17808709,33.19075869,50.33843323
494.0501408,21.30868384,38.75394388,47.69179912
495.1574458,15.53459071,45.51269979,46.59616868
496.2645495,14.45349764,52.0574846,48.78838888
497.3714521,15.70478728,58.36105889,54.28030148
498.4781534,16.57253595,64.96430414,60.4385942
499.5846537,16.59397684,70.26227321,65.1408125
500.6909529,19.06636396,71.53610553,67.4084395
501.7970511,22.40523973,68.46315113,65.69993694
502.9029483,24.10040388,63.50676879,60.12069845
504.0086446,25.01718593,58.97289394,53.49472141
505.1141401,23.35677331,55.8698894,47.74708222
506.2194347,20.01229446,54.95118816,43.31251133
507.3245286,20.87838289,56.29877245,41.66962201
508.4294218,25.0955731,58.36300572,43.5798497
509.5341143,26.14877638,58.70989205,46.37434278
510.6386062,22.82538892,55.7029937,46.76749308
511.7428975,18.19642358,49.93421421,44.14762526
512.8469882,15.63380063,43.95724095,38.55851709
513.9508786,17.53822344,39.94379183,29.29117385
515.0545684,19.33727498,37.82188093,18.25067497
516.158058,15.53730126,35.89899665,10.20536999
517.2613472,12.87413399,32.91261129,7.442573124
518.3644361,16.79943789,29.57060275,7.610416029
519.4673248,20.29466524,28.07017082,7.191361075
520.5700133,20.42061998,29.19790734,5.512514228
521.6725016,21.66020765,30.62655915,5.758110958
522.7747899,25.18917953,29.96162221,10.77019576
523.8768782,28.54910409,27.95904609,18.06802858
524.9787665,30.48232591,26.46959216,22.60999325
526.0804548,32.76476361,24.90379218,23.47208883
527.1819433,34.48854175,21.16844721,23.89976614
528.2832319,32.99715101,15.81991561,25.68414072
529.3843207,29.88896901,12.63035023,26.68615845
530.4852098,25.09213284,13.7347212,24.54694781
531.5858992,19.17884777,17.3219649,20.44136733
532.6863889,17.40465751,20.89284482,16.84507503
533.7866791,18.06969963,23.62550883,13.64211801
534.8867697,16.33885965,25.98097309,9.194621129
535.9866608,13.13457294,28.3035973,3.638501478
537.0863525,8.225887333,29.59686069,-1.126234633
538.1858447,3.748658857,29.35304774,-4.219605515
539.2851376,4.705168159,29.35884926,-6.322145054
540.3842312,7.517525436,30.65634292,-6.152941373
541.4831256,6.582297643,31.43940067,0.228452338
542.5818207,4.749696956,30.47633339,14.06988053
543.6803167,6.655914293,29.6941049,31.38836754
544.7786136,10.42790311,31.86626111,46.5647148
545.8767114,10.92475257,37.12538071,56.00797498
546.9746102,7.710458158,42.43137826,60.51198551
548.07231,5.427965197,44.69466919,64.79703559
549.1698109,7.339979491,44.29673721,71.25547769
550.2671129,11.11298136,44.90372146,76.4907057
551.3642162,12.99489162,49.00962861,77.31441813
552.4611206,12.92729238,53.87308169,75.13815815
553.5578263,11.74924017,54.50169896,72.23176673
554.6543334,9.456751099,50.74008628,68.63905569
555.7506418,6.978027188,47.22085016,63.86195606
556.8467516,5.287302787,46.93526567,57.97326948
557.942663,3.983354299,49.05935145,50.70170073
559.0383758,1.759177862,51.39822766,42.28517976
560.1338902,-0.120147534,52.16479655,35.01792497
561.2292062,1.433998576,50.65354847,31.25185026
562.3243239,4.904212039,47.01951524,31.2067584
563.4192432,6.763023473,42.07497145,34.39355862
564.5139644,8.712881446,37.6222926,40.09292568
565.6084873,12.70729222,34.66317286,45.93066145
566.7028121,14.31604679,31.77383903,49.92947903
567.7969388,12.17171246,28.05701854,54.36772979
568.8908675,11.97163359,25.26142398,64.01537625
569.9845981,14.14165513,24.69465436,79.38449419
571.0781308,16.8681042,25.44881541,94.54443216
572.1714656,21.9855295,26.1545225,103.3359823
573.2646026,25.97056158,25.34376411,105.8395774
574.3575417,27.11982077,21.72287622,106.5739927
575.4502831,30.45197446,16.90086173,107.6155983
576.5428267,32.73757644,14.88790263,107.4173265
577.6351727,29.73069322,16.58384283,105.4455652
578.7273211,27.54873816,18.52049595,102.2066209
579.8192719,26.86174247,18.1294621,96.79073427
580.9110251,23.35615088,16.21345329,89.54741508
582.0025809,21.12218439,14.63108002,82.74561203
583.0939393,19.85260364,14.49097986,75.71237943
584.1851003,13.65089368,15.35751435,65.65499732
585.276064,9.058701306,15.7561922,53.90405574
586.3668304,11.3677305,15.70791829,44.9182555
587.4573995,12.59719893,16.96895359,40.07665665
588.5477715,11.98566975,20.19283022,37.02259027
589.6379463,12.81070391,24.335184,32.55124151
