Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2,HS_V4S3_AAB_C2_02_I3
351.7692476,10.73890962,-2.968477962,4.656782877
352.902517,12.4432522,-0.024576122,5.065418096
354.0355789,13.96553695,2.806747938,5.551460084
355.1684331,15.30576389,5.525494217,6.114908839
356.3010798,16.46393302,8.131662716,6.755764363
357.4335191,17.44004432,10.62525344,7.474026655
358.5657509,18.23409781,13.00626637,8.269695715
359.6977753,18.84609348,15.27470153,9.142771543
360.8295924,19.27603133,17.43055891,10.09325414
361.9612023,19.52391136,19.47383851,11.1211435
363.0926049,19.58973358,21.40454033,12.22643964
364.2238004,19.47349797,23.22266436,13.40914254
365.3547887,19.17520455,24.92821062,14.66925221
366.48557,16.01940846,30.55920669,17.92775569
367.6161443,15.60691758,28.71986101,16.39040457
368.7465116,10.84739425,27.46660146,18.15673915
369.876672,9.182484817,29.09585079,20.39363198
371.0066255,13.98670139,28.39256973,24.6163326
372.1363723,13.3588074,28.70060412,31.15669057
373.2659122,7.324472767,27.50192457,27.99724319
374.3952455,5.824964358,27.19317312,24.52803172
375.5243721,6.955393662,30.25249171,29.89008723
376.6532921,2.989695904,33.26608792,32.46336814
377.7820055,-1.65555985,34.08377532,31.48728121
378.9105124,2.084454105,25.78698318,33.18656161
380.0388129,6.079714851,23.19815735,36.32111262
381.166907,2.25849358,21.3723965,37.02948294
382.2947947,-0.801972423,14.88781518,37.45605124
383.4224761,0.558141506,15.35557653,39.86488018
384.5499513,3.123706229,12.99193862,38.56264351
385.6772202,6.768840643,10.80227855,35.42419653
386.8042831,6.55623719,4.52047928,36.6270569
387.9311398,-0.496660369,2.373849534,32.01215704
389.0577904,-5.056049259,2.493487114,22.1161317
390.1842351,-4.582502165,-6.365282032,18.70248795
391.3104739,-7.143554722,-3.174141774,17.17650954
392.4365067,-9.287673572,1.327646786,16.42591396
393.5623337,-6.170103686,-1.707659508,13.67984636
394.6879549,-3.92148911,-1.814243416,7.732872989
395.8133703,-2.398260833,0.393403253,7.394285285
396.9385801,0.143374201,0.738012219,9.947877853
398.0635842,2.45800654,2.804980577,10.70555756
399.1883827,5.739871699,7.74192698,10.72218376
400.3129757,1.385374709,12.10198193,10.71705112
401.4373632,-6.345296413,17.70347689,12.02318289
402.5615452,-2.431602391,16.65821294,17.45816491
403.6855219,-0.365139823,15.81739912,19.55472752
404.8092932,-5.422333638,18.73097116,16.96687616
405.9328592,-1.548605736,20.64274857,22.93654944
407.05622,6.792593202,23.40653318,26.54844208
408.1793756,13.2754424,21.34459432,27.95430983
409.3023261,23.58641665,18.41065766,36.08142224
410.4250715,31.3680034,18.91006423,36.75788144
411.5476118,30.40357538,19.01610083,36.66146459
412.6699472,29.56874223,13.4997665,34.99821023
413.7920776,30.84655129,7.439737697,27.63822919
414.9140032,28.46463673,9.690508893,23.3885692
416.0357239,27.87220105,10.52130767,21.2890823
417.1572398,30.01100306,8.872632449,26.05055482
418.278551,27.11863993,10.97971423,25.47374712
419.3996575,26.64624583,10.24100649,18.60415786
420.5205593,30.55867582,10.46915846,17.33582227
421.6412566,27.09885602,18.2616376,17.17968526
422.7617494,22.96114866,21.87206115,19.86225735
423.8820376,20.56249865,22.44403107,19.17502206
425.0021215,15.42306911,27.92082409,16.20154841
426.1220009,12.79755724,25.92127609,18.55555316
427.241676,3.587963128,29.33786385,23.30413601
428.3611469,-4.032631418,41.73509614,24.59181654
429.4804135,1.709364989,46.84160873,25.59820331
430.5994759,-0.596596671,49.49445439,28.86475475
431.7183342,-4.430975001,48.21745394,27.11316293
432.8369884,4.560602523,47.77508835,33.15818943
433.9554385,9.525273953,49.55911794,37.57538303
435.0736847,9.119840519,49.47076288,39.14292834
436.191727,6.842729022,45.52132048,47.85339848
437.3095654,-1.292138405,45.67913469,42.33292124
438.4271999,-6.639129205,48.31447195,40.40504378
439.5446307,-6.098448862,46.43562253,39.47269615
440.6618577,-5.800743878,52.81453523,29.62412922
441.778881,-6.170562807,54.08488471,29.17747168
442.8957007,-4.013252891,51.33717284,29.37889961
444.0123169,-1.118690952,47.58796748,26.35929264
445.1287295,-0.571714862,41.00436769,19.98853326
446.2449386,4.226997065,43.84142913,22.74967491
447.3609443,9.866213893,44.91222797,29.41603
448.4767466,5.076925607,43.45440856,27.64845866
449.5923455,0.630713677,37.55393193,24.91560332
450.7077412,2.320731135,29.03713749,20.15374337
451.8229337,3.622790231,25.20481615,24.90465215
452.9379229,7.500641422,25.53072602,34.94954919
454.0527091,9.685849321,35.86038992,38.76144049
455.1672921,7.60603063,40.79828327,38.7138117
456.2816721,7.068100679,34.49003308,43.86935831
457.3958491,10.70607304,30.48230999,52.49893819
458.5098232,18.85278903,28.85231371,55.45574964
459.6235944,18.24734734,28.0730465,59.99478114
460.7371628,6.826556055,26.87549311,60.36394887
461.8505284,2.566457791,22.14212775,59.4261123
462.9636912,4.78694562,18.59559325,55.9413719
464.0766514,7.776138172,27.24906201,51.06782636
465.1894089,11.85286847,36.15363046,52.51483101
466.3019639,14.73946319,35.23873416,43.35350955
467.4143163,21.35057905,31.82178493,35.49600356
468.5264662,28.73694012,25.21851859,32.83623893
469.6384136,32.67828761,24.86409905,30.27291725
470.7501587,37.56456633,20.80996162,30.26383021
471.8617014,39.17866168,12.35308152,23.48964875
472.9730419,36.62496785,16.17862589,20.09945996
474.0841801,33.00404695,17.26158521,14.19299143
475.1951161,28.920281,18.11787802,9.918662498
476.30585,29.75024438,20.06040583,17.14309733
477.4163818,33.40310559,19.78983222,24.04630632
478.5267115,34.71250962,27.34374659,32.80375323
479.6368392,35.2803978,36.90145972,35.61132832
480.746765,34.69803335,40.96471273,34.10724432
481.8564889,32.30185756,39.0706566,41.3791182
482.966011,30.49707839,42.16008478,46.14518848
484.0753312,32.02490166,41.92112299,40.556687
485.1844497,30.0465322,34.27602634,37.27093157
486.2933665,17.97122467,32.25441019,38.23006888
487.4020817,10.1067311,28.55916085,37.05300329
488.5105953,10.69797341,25.17607148,34.37197472
489.6189073,7.114997605,25.55494348,34.19029718
490.7270178,4.583910631,26.17548432,40.9095581
491.8349268,5.828737062,22.25041547,38.86706579
492.9426345,7.812931958,17.87345227,32.57727587
494.0501408,15.79805673,13.92469191,29.72681644
495.1574458,18.26312332,6.51699948,21.00574415
496.2645495,12.51915206,4.406744326,16.89993997
497.3714521,12.30613709,-0.934325732,8.18734634
498.4781534,11.3653837,-0.725145533,-0.651844541
499.5846537,7.798366976,3.862129079,1.228904763
500.6909529,10.4310078,3.80771106,4.357732335
501.7970511,17.59902987,9.26261344,12.5379963
502.9029483,22.97561128,4.494794193,16.92057442
504.0086446,22.86697157,3.548256766,17.19285497
505.1141401,21.30637351,9.404587997,16.82915801
506.2194347,20.87217944,8.636634333,11.84803354
507.3245286,20.22781099,11.36745963,8.827845342
508.4294218,19.11070424,14.23559567,9.073546546
509.5341143,18.5762139,18.05514012,10.49604558
510.6386062,21.36340205,12.7216123,9.904867977
511.7428975,20.7080932,7.946112036,12.55673932
512.8469882,14.07389523,12.17422546,14.93719108
513.9508786,10.26720063,12.79843113,11.19206344
515.0545684,7.357804869,17.40421572,12.69544557
516.158058,5.620067417,21.69377013,17.29754442
517.2613472,10.02875119,20.52878763,16.33286159
518.3644361,12.56202459,23.04746296,12.49447268
519.4673248,11.20849096,26.70050281,8.33537785
520.5700133,10.00730499,23.19689124,3.134691869
521.6725016,4.960908919,23.09214155,4.051273184
522.7747899,1.876678365,24.17607914,8.599963159
523.8768782,5.784033889,24.46776063,8.89653487
524.9787665,6.027111719,25.89574105,11.22749555
526.0804548,2.690021268,17.4767884,13.40182357
527.1819433,3.915779774,18.35139468,12.29651883
528.2832319,5.45140293,20.31429076,12.44887182
529.3843207,1.7557521,14.09241861,13.76230895
530.4852098,-3.226579914,14.88406284,14.17546202
531.5858992,-3.620397466,12.52310735,11.179485
532.6863889,0.10547882,15.69071178,8.961190843
533.7866791,3.769918217,19.67769943,12.4105735
534.8867697,6.438172792,19.71576241,14.67570734
535.9866608,11.02207918,19.90568529,15.63863243
537.0863525,14.31535526,15.15563803,15.37252851
538.1858447,10.7470005,18.50815161,11.12509015
539.2851376,6.952738563,24.02531521,9.006178057
540.3842312,9.844229211,26.70741929,8.464111492
541.4831256,14.4953546,25.41943248,11.47129518
542.5818207,12.9545848,17.10845852,11.3115123
543.6803167,8.351843859,14.49329687,2.727751738
544.7786136,7.286539461,19.03637454,-0.084674807
545.8767114,2.971289758,19.79265194,-0.983354704
546.9746102,-0.370473176,22.85002659,2.343268808
548.07231,4.317631606,29.88926722,10.89254187
549.1698109,4.346008986,29.11029265,10.10232838
550.2671129,5.555365422,30.15408485,11.4940554
551.3642162,12.97522538,29.76362499,9.075363269
552.4611206,13.12298353,25.42385245,2.00946115
553.5578263,14.74773808,27.8772535,5.319063548
554.6543334,21.48113336,26.71901419,6.929836354
555.7506418,25.97697235,21.63152648,10.20021701
556.8467516,34.95300382,20.26071817,10.53071821
557.942663,44.12062422,24.45815498,9.566667296
559.0383758,46.33699317,28.89395776,20.66033498
560.1338902,45.59771009,24.46043949,29.53985562
561.2292062,45.65829916,22.00466459,32.53697487
562.3243239,48.87919313,19.12108629,39.03937593
563.4192432,49.92131515,13.13048807,45.59561781
564.5139644,46.9665216,11.37774802,43.61504999
565.6084873,48.12361775,7.139311309,43.37564489
566.7028121,51.09854773,6.354793365,43.62023551
567.7969388,49.02587917,3.052898158,42.36592342
568.8908675,43.31567198,0.369797335,43.50633438
569.9845981,38.48180862,10.16117277,38.03498893
571.0781308,33.72756798,11.59589598,37.21857735
572.1714656,24.74770932,9.442536053,35.59872901
573.2646026,18.1858335,14.99480247,29.325262
574.3575417,13.81229673,13.59940209,28.61246051
575.4502831,8.020826884,10.42791354,24.19629351
576.5428267,11.87882471,11.53896666,19.31039747
577.6351727,13.21061719,11.52499241,12.86518878
578.7273211,3.646225541,10.46718822,8.195018638
579.8192719,3.255103857,9.583288056,9.084251242
580.9110251,7.142729711,9.776108561,6.683326127
582.0025809,5.075840006,11.18623249,7.117387118
583.0939393,1.059064191,13.87597229,5.763284943
584.1851003,-6.018491825,12.31935563,8.35233619
585.276064,-11.83417294,7.717483434,16.14417674
586.3668304,-13.26246063,5.277404027,17.76232105
587.4573995,-11.66841433,4.662838657,21.13232864
588.5477715,-6.785220023,2.95876678,21.7047437
589.6379463,-1.556943599,-1.087625369,18.99418007
590.727924,3.274948279,-0.276825169,14.6963366
591.8177047,9.900852448,5.597440665,13.43884922
592.9072884,16.29924392,10.93534329,17.5591318
593.9966751,21.13922752,9.797699787,18.42129287
595.085865,23.15349337,8.651987989,18.03485064
596.1748579,22.05036414,10.12383599,11.30686008
597.2636541,23.58349943,5.901778517,5.650345237
598.3522535,23.74917478,4.394036939,5.319444686
599.4406563,18.43537368,4.68624568,2.42218637
600.5288623,17.82839365,6.80946397,3.9510189
601.6168717,24.73625914,12.39304697,3.041762486
602.7046846,29.03141788,14.52857454,-3.28116313
603.7923009,25.1278962,12.91237359,-3.786614387
604.8797208,22.17190718,10.33235371,-2.592024485
605.9669443,24.95261478,8.147064626,0.066664182
607.0539713,24.385634,6.927775735,3.207896876
608.1408021,18.21455888,8.219757561,1.698656599
609.2274365,14.39883348,2.923862753,4.218934737
610.3138748,16.13886645,0.806556453,8.839161985
611.4001168,15.53713001,1.465900744,7.49580351
612.4861627,12.8630708,-0.359955764,7.147869465
613.5720125,13.74409349,3.686856218,12.01329781
614.6576662,14.27962813,3.613186762,13.24475917
615.743124,20.56369982,6.908297161,13.02076709
616.8283858,34.35406133,9.037472786,16.23386305
617.9134517,42.96978761,6.627921278,17.35554187
618.9983217,46.63054373,5.012880936,19.26424411
620.082996,49.70692796,1.432419305,21.14638098
621.1674744,52.44793561,2.001192861,20.71767546
622.2517572,59.2606621,0.998976001,17.63758056
623.3358443,66.59183769,3.693969766,15.65509323
624.4197358,64.1942033,6.361168958,17.24017394
625.5034317,57.8973156,12.73393718,12.77830758
626.586932,59.19330457,30.23044499,9.649842798
627.6702369,61.05148844,37.54855279,6.203716172
628.7533464,57.20304813,37.53010807,3.210390579
629.8362605,52.49970086,36.22059493,10.52802078
630.9189792,47.26085181,39.79383849,10.51162882
632.0015027,42.94509239,47.19322341,5.108883984
633.0838309,39.53065336,53.27393488,-0.987675033
634.1659639,32.77231824,60.68331998,-2.502429514
635.2479018,24.84937501,63.63108349,4.871587733
636.3296446,15.15228083,74.63240811,6.49507956
637.4111923,3.871563291,76.29676373,6.950452097
638.492545,-1.905258042,77.28904762,9.177746006
639.5737027,-4.937225363,90.13724307,14.54610232
640.6546656,-6.416151769,87.87069655,15.686193
641.7354335,1.379872413,88.84067748,13.20696868
642.8160067,5.241616535,86.17286519,15.37965282
643.8963851,-4.554602428,80.35076032,13.91944445
644.9765687,-6.853407961,81.57264046,16.43653554
646.0565577,0.728272232,79.62366428,19.63091188
647.136352,2.346633612,78.03227874,16.64581683
648.2159518,-1.405293973,71.83447692,13.70107622
649.295357,-3.77374993,71.25590396,13.17523575
650.3745677,-0.86782398,69.46742091,14.20807773
651.453584,1.982359727,67.19767864,13.6127957
652.5324059,3.45839036,63.67435331,14.17214959
653.6110335,9.427678769,47.82003067,15.43049793
654.6894667,13.43997093,39.79876946,14.32036169
655.7677057,13.26915537,36.02164743,6.572261599
656.8457504,18.9784911,33.50937563,-3.260527542
657.923601,30.03866741,31.04741861,-5.240862926
659.0012575,36.7444156,25.30981716,-2.593853636
660.07872,39.04721092,21.01321862,5.553717966
661.1559884,40.30861747,16.69170289,13.14381503
662.2330628,43.46935758,14.86541589,12.68229514
663.3099433,51.75632858,7.687896163,11.91217192
664.3866299,55.31908478,8.98918584,12.48693115
665.4631227,52.56438253,12.54256853,12.15035138
666.5394216,55.39771351,3.986551006,10.59860636
667.6155269,57.94597066,4.905125635,10.07663446
668.6914384,52.37087394,5.939025813,9.077098869
669.7671563,46.54716886,3.773727492,10.70456666
670.8426806,43.76420773,4.238673056,11.64923635
671.9180114,38.37770574,1.3769898,5.659413541
672.9931486,28.3915504,-2.715935118,5.529852047
674.0680924,18.4660047,-3.311705428,7.154535928
675.1428427,16.11706285,6.123431896,7.565242449
676.2173997,17.63333116,8.914624994,10.82204996
677.2917633,12.12250808,12.01123258,10.89725125
678.3659337,6.182156342,22.86082873,9.273567172
679.4399109,6.949531839,27.03947811,8.269564361
680.5136948,8.040818357,35.63400045,2.930002526
681.5872856,9.668337719,41.01466741,-0.669246336
682.6606834,11.57745564,43.42185526,6.979831208
683.7338881,9.346446207,45.61970645,8.093791275
684.8068997,7.455408316,44.2265507,9.449221399
685.8797185,6.528779693,46.24781379,13.68226183
686.9523443,3.863064752,43.75455581,4.278471561
688.0247773,4.962237453,42.6694128,0.900202933
689.0970174,7.166464185,42.2856236,4.07016187
690.1690648,6.200181112,39.02790559,8.399125433
691.2409195,9.550909181,35.37501719,13.49297366
692.3125815,15.65458735,29.9464198,16.4989187
693.3840508,13.74862454,25.14248326,22.97837003
694.4553276,5.863138183,15.65105175,20.9213977
695.5264119,1.171959439,6.974427008,16.06261854
696.5973036,-2.037936734,3.399715981,16.68958509
697.6680029,-3.960090727,0.028804452,19.70563331
698.7385099,-2.344777067,0.689368011,28.35968573
699.8088244,-4.949053586,7.147517039,30.82715406
700.8789467,-7.237581921,11.67888057,25.13204601
701.9488767,-3.413074609,11.1344798,25.79582572
703.0186145,-3.155788141,14.12892245,32.06406764
704.0881601,-4.312325427,17.10857648,33.78965799
705.1575136,-0.926758543,11.62216136,34.61282377
706.226675,0.928983007,8.967987812,38.4751934
707.2956444,-4.266902931,13.91794214,43.19842285
708.3644218,-9.099139659,15.86063839,45.46389458
709.4330073,-3.38851478,13.58563114,44.24179719
710.5014009,1.820471737,11.43168979,42.73110383
711.5696026,1.026843894,13.34733414,36.23238091
712.6376126,4.842725817,11.85425445,34.35106672
713.7054308,6.370707708,6.905285587,39.28100375
714.7730573,5.982145264,9.388220715,43.2936302
715.8404921,14.66546344,12.22004885,50.49285571
716.9077353,20.68124473,16.27406088,50.4571867
