Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2,HS_V4S3_AAB_C2_02_I3,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
351.7692476,10.73890962,-2.968477962,4.656782877,24.05463121,44.92476422
352.902517,12.4432522,-0.024576122,5.065418096,23.29269306,40.72271471
354.0355789,13.96553695,2.806747938,5.551460084,22.58122544,36.77726313
355.1684331,15.30576389,5.525494217,6.114908839,21.92022837,33.08840948
356.3010798,16.46393302,8.131662716,6.755764363,21.30970185,29.65615375
357.4335191,17.44004432,10.62525344,7.474026655,20.74964586,26.48049595
358.5657509,18.23409781,13.00626637,8.269695715,20.24006042,23.56143607
359.6977753,18.84609348,15.27470153,9.142771543,19.78094552,20.89897411
360.8295924,19.27603133,17.43055891,10.09325414,19.37230116,18.49311008
361.9612023,19.52391136,19.47383851,11.1211435,19.01412735,16.34384398
363.0926049,19.58973358,21.40454033,12.22643964,18.70642408,14.4511758
364.2238004,19.47349797,23.22266436,13.40914254,18.44919135,12.81510554
365.3547887,19.17520455,24.92821062,14.66925221,18.24242917,11.43563321
366.48557,16.01940846,30.55920669,17.92775569,14.01004316,12.08189045
367.6161443,15.60691758,28.71986101,16.39040457,12.83582236,7.465435446
368.7465116,10.84739425,27.46660146,18.15673915,4.412535733,0.288511824
369.876672,9.182484817,29.09585079,20.39363198,-1.221945991,-3.365134815
371.0066255,13.98670139,28.39256973,24.6163326,9.403402384,-0.136374122
372.1363723,13.3588074,28.70060412,31.15669057,22.23223659,7.098800874
373.2659122,7.324472767,27.50192457,27.99724319,24.25650794,14.27350082
374.3952455,5.824964358,27.19317312,24.52803172,27.39012756,21.82102651
375.5243721,6.955393662,30.25249171,29.89008723,37.24814029,31.88952008
376.6532921,2.989695904,33.26608792,32.46336814,43.49824475,42.95516339
377.7820055,-1.65555985,34.08377532,31.48728121,46.81982041,51.02364273
378.9105124,2.084454105,25.78698318,33.18656161,55.25924973,54.39346286
380.0388129,6.079714851,23.19815735,36.32111262,63.57211714,54.68812569
381.166907,2.25849358,21.3723965,37.02948294,63.08999744,54.8958167
382.2947947,-0.801972423,14.88781518,37.45605124,60.25549078,57.8792595
383.4224761,0.558141506,15.35557653,39.86488018,66.59224129,64.15321539
384.5499513,3.123706229,12.99193862,38.56264351,78.30904975,69.99472617
385.6772202,6.768840643,10.80227855,35.42419653,82.093971,70.85693377
386.8042831,6.55623719,4.52047928,36.6270569,74.43342236,66.51362727
387.9311398,-0.496660369,2.373849534,32.01215704,63.63987357,59.70849445
389.0577904,-5.056049259,2.493487114,22.1161317,55.62420245,51.56795423
390.1842351,-4.582502165,-6.365282032,18.70248795,45.6424845,41.9784419
391.3104739,-7.143554722,-3.174141774,17.17650954,31.14858146,32.17266903
392.4365067,-9.287673572,1.327646786,16.42591396,20.36577539,23.53997179
393.5623337,-6.170103686,-1.707659508,13.67984636,16.69229521,15.89557768
394.6879549,-3.92148911,-1.814243416,7.732872989,14.02122037,9.096160346
395.8133703,-2.398260833,0.393403253,7.394285285,11.0483868,4.441699546
396.9385801,0.143374201,0.738012219,9.947877853,12.15349211,3.072567465
398.0635842,2.45800654,2.804980577,10.70555756,17.69341483,4.231186689
399.1883827,5.739871699,7.74192698,10.72218376,19.47875535,5.935736321
400.3129757,1.385374709,12.10198193,10.71705112,11.01617176,7.164438952
401.4373632,-6.345296413,17.70347689,12.02318289,4.043085193,8.801200442
402.5615452,-2.431602391,16.65821294,17.45816491,10.51083101,11.82053632
403.6855219,-0.365139823,15.81739912,19.55472752,17.84068436,15.28990572
404.8092932,-5.422333638,18.73097116,16.96687616,14.85721046,17.26187364
405.9328592,-1.548605736,20.64274857,22.93654944,11.87526218,16.79224125
407.05622,6.792593202,23.40653318,26.54844208,15.68496147,14.39934098
408.1793756,13.2754424,21.34459432,27.95430983,21.13201067,11.78662425
409.3023261,23.58641665,18.41065766,36.08142224,26.61534144,11.09812057
410.4250715,31.3680034,18.91006423,36.75788144,32.02116737,12.52704192
411.5476118,30.40357538,19.01610083,36.66146459,32.73891537,13.34959816
412.6699472,29.56874223,13.4997665,34.99821023,27.57728433,11.81867063
413.7920776,30.84655129,7.439737697,27.63822919,21.630108,10.51392694
414.9140032,28.46463673,9.690508893,23.3885692,18.38624994,12.95248156
416.0357239,27.87220105,10.52130767,21.2890823,16.47752466,18.879663
417.1572398,30.01100306,8.872632449,26.05055482,14.244927,25.54876554
418.278551,27.11863993,10.97971423,25.47374712,12.5644097,31.86818645
419.3996575,26.64624583,10.24100649,18.60415786,12.67871576,39.69180735
420.5205593,30.55867582,10.46915846,17.33582227,15.30456014,51.42672303
421.6412566,27.09885602,18.2616376,17.17968526,19.99786615,66.09955703
422.7617494,22.96114866,21.87206115,19.86225735,21.21669027,78.86063247
423.8820376,20.56249865,22.44403107,19.17502206,16.6261067,86.27231619
425.0021215,15.42306911,27.92082409,16.20154841,14.97920163,90.55455538
426.1220009,12.79755724,25.92127609,18.55555316,16.85069521,96.88597048
427.241676,3.587963128,29.33786385,23.30413601,15.38074695,107.9060909
428.3611469,-4.032631418,41.73509614,24.59181654,18.67858116,120.8954706
429.4804135,1.709364989,46.84160873,25.59820331,28.41827095,129.4737279
430.5994759,-0.596596671,49.49445439,28.86475475,30.03842626,129.3190352
431.7183342,-4.430975001,48.21745394,27.11316293,27.03870446,122.00158
432.8369884,4.560602523,47.77508835,33.15818943,31.23088278,111.8682455
433.9554385,9.525273953,49.55911794,37.57538303,35.57116373,101.5361814
435.0736847,9.119840519,49.47076288,39.14292834,33.27284709,92.21336776
436.191727,6.842729022,45.52132048,47.85339848,29.20623849,85.1706438
437.3095654,-1.292138405,45.67913469,42.33292124,26.29985279,80.09835617
438.4271999,-6.639129205,48.31447195,40.40504378,22.9056821,74.31704815
439.5446307,-6.098448862,46.43562253,39.47269615,16.05729068,66.13447745
440.6618577,-5.800743878,52.81453523,29.62412922,6.916895431,57.16108749
441.778881,-6.170562807,54.08488471,29.17747168,3.563503163,49.29462378
442.8957007,-4.013252891,51.33717284,29.37889961,6.983841586,41.8014618
444.0123169,-1.118690952,47.58796748,26.35929264,8.44025243,33.89234878
445.1287295,-0.571714862,41.00436769,19.98853326,9.174073687,27.65743946
446.2449386,4.226997065,43.84142913,22.74967491,15.68524459,25.01940184
447.3609443,9.866213893,44.91222797,29.41603,20.56541624,23.65378482
448.4767466,5.076925607,43.45440856,27.64845866,16.51687454,19.29006624
449.5923455,0.630713677,37.55393193,24.91560332,10.95252887,11.1858291
450.7077412,2.320731135,29.03713749,20.15374337,12.12278833,3.593914394
451.8229337,3.622790231,25.20481615,24.90465215,18.92044479,2.088262637
452.9379229,7.500641422,25.53072602,34.94954919,25.10500083,8.673124783
454.0527091,9.685849321,35.86038992,38.76144049,27.91740684,19.9767436
455.1672921,7.60603063,40.79828327,38.7138117,29.8591411,29.89590794
456.2816721,7.068100679,34.49003308,43.86935831,32.21004941,34.56639013
457.3958491,10.70607304,30.48230999,52.49893819,35.7351206,35.1218689
458.5098232,18.85278903,28.85231371,55.45574964,38.76715787,35.35074157
459.6235944,18.24734734,28.0730465,59.99478114,33.75199222,37.67762379
460.7371628,6.826556055,26.87549311,60.36394887,22.92925631,42.55723463
461.8505284,2.566457791,22.14212775,59.4261123,20.29566773,49.94643964
462.9636912,4.78694562,18.59559325,55.9413719,25.77759196,58.82230225
464.0766514,7.776138172,27.24906201,51.06782636,25.36205653,66.09586561
465.1894089,11.85286847,36.15363046,52.51483101,17.23324692,68.71766734
466.3019639,14.73946319,35.23873416,43.35350955,13.55679786,67.13861698
467.4143163,21.35057905,31.82178493,35.49600356,20.54698935,64.71817058
468.5264662,28.73694012,25.21851859,32.83623893,31.39616796,63.12567493
469.6384136,32.67828761,24.86409905,30.27291725,39.13606421,60.20146154
470.7501587,37.56456633,20.80996162,30.26383021,44.13094331,53.61762462
471.8617014,39.17866168,12.35308152,23.48964875,45.64197558,45.15810022
472.9730419,36.62496785,16.17862589,20.09945996,41.9467742,39.33475739
474.0841801,33.00404695,17.26158521,14.19299143,38.95706104,37.90876981
475.1951161,28.920281,18.11787802,9.918662498,41.90251304,37.55292528
476.30585,29.75024438,20.06040583,17.14309733,44.49418479,34.246723
477.4163818,33.40310559,19.78983222,24.04630632,41.11164316,29.05066086
478.5267115,34.71250962,27.34374659,32.80375323,37.35756893,26.77281873
479.6368392,35.2803978,36.90145972,35.61132832,37.51498007,29.20418764
480.746765,34.69803335,40.96471273,34.10724432,37.70457483,33.29354512
481.8564889,32.30185756,39.0706566,41.3791182,36.02968989,35.72769002
482.966011,30.49707839,42.16008478,46.14518848,35.71437337,36.16045375
484.0753312,32.02490166,41.92112299,40.556687,37.35742862,36.68954731
485.1844497,30.0465322,34.27602634,37.27093157,38.09115457,40.00147407
486.2933665,17.97122467,32.25441019,38.23006888,38.80075182,46.72131769
487.4020817,10.1067311,28.55916085,37.05300329,41.39515421,54.19453642
488.5105953,10.69797341,25.17607148,34.37197472,42.84261532,59.28589484
489.6189073,7.114997605,25.55494348,34.19029718,41.58668908,61.31129642
490.7270178,4.583910631,26.17548432,40.9095581,39.176988,61.2825065
491.8349268,5.828737062,22.25041547,38.86706579,37.75020123,60.31294541
492.9426345,7.812931958,17.87345227,32.57727587,43.61185342,59.01200035
494.0501408,15.79805673,13.92469191,29.72681644,54.50299826,56.72032839
495.1574458,18.26312332,6.51699948,21.00574415,56.07075905,52.40358968
496.2645495,12.51915206,4.406744326,16.89993997,50.22578969,47.21333955
497.3714521,12.30613709,-0.934325732,8.18734634,49.45920759,44.05544481
