Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
351.7692476,24.05463121,44.92476422
352.902517,23.29269306,40.72271471
354.0355789,22.58122544,36.77726313
355.1684331,21.92022837,33.08840948
356.3010798,21.30970185,29.65615375
357.4335191,20.74964586,26.48049595
358.5657509,20.24006042,23.56143607
359.6977753,19.78094552,20.89897411
360.8295924,19.37230116,18.49311008
361.9612023,19.01412735,16.34384398
363.0926049,18.70642408,14.4511758
364.2238004,18.44919135,12.81510554
365.3547887,18.24242917,11.43563321
366.48557,14.01004316,12.08189045
367.6161443,12.83582236,7.465435446
368.7465116,4.412535733,0.288511824
369.876672,-1.221945991,-3.365134815
371.0066255,9.403402384,-0.136374122
372.1363723,22.23223659,7.098800874
373.2659122,24.25650794,14.27350082
374.3952455,27.39012756,21.82102651
375.5243721,37.24814029,31.88952008
376.6532921,43.49824475,42.95516339
377.7820055,46.81982041,51.02364273
378.9105124,55.25924973,54.39346286
380.0388129,63.57211714,54.68812569
381.166907,63.08999744,54.8958167
382.2947947,60.25549078,57.8792595
383.4224761,66.59224129,64.15321539
384.5499513,78.30904975,69.99472617
385.6772202,82.093971,70.85693377
386.8042831,74.43342236,66.51362727
387.9311398,63.63987357,59.70849445
389.0577904,55.62420245,51.56795423
390.1842351,45.6424845,41.9784419
391.3104739,31.14858146,32.17266903
392.4365067,20.36577539,23.53997179
393.5623337,16.69229521,15.89557768
394.6879549,14.02122037,9.096160346
395.8133703,11.0483868,4.441699546
396.9385801,12.15349211,3.072567465
398.0635842,17.69341483,4.231186689
399.1883827,19.47875535,5.935736321
400.3129757,11.01617176,7.164438952
401.4373632,4.043085193,8.801200442
402.5615452,10.51083101,11.82053632
403.6855219,17.84068436,15.28990572
404.8092932,14.85721046,17.26187364
405.9328592,11.87526218,16.79224125
407.05622,15.68496147,14.39934098
408.1793756,21.13201067,11.78662425
409.3023261,26.61534144,11.09812057
410.4250715,32.02116737,12.52704192
411.5476118,32.73891537,13.34959816
412.6699472,27.57728433,11.81867063
413.7920776,21.630108,10.51392694
414.9140032,18.38624994,12.95248156
416.0357239,16.47752466,18.879663
417.1572398,14.244927,25.54876554
418.278551,12.5644097,31.86818645
419.3996575,12.67871576,39.69180735
420.5205593,15.30456014,51.42672303
421.6412566,19.99786615,66.09955703
422.7617494,21.21669027,78.86063247
423.8820376,16.6261067,86.27231619
425.0021215,14.97920163,90.55455538
426.1220009,16.85069521,96.88597048
427.241676,15.38074695,107.9060909
428.3611469,18.67858116,120.8954706
429.4804135,28.41827095,129.4737279
430.5994759,30.03842626,129.3190352
431.7183342,27.03870446,122.00158
432.8369884,31.23088278,111.8682455
433.9554385,35.57116373,101.5361814
435.0736847,33.27284709,92.21336776
436.191727,29.20623849,85.1706438
437.3095654,26.29985279,80.09835617
438.4271999,22.9056821,74.31704815
439.5446307,16.05729068,66.13447745
440.6618577,6.916895431,57.16108749
441.778881,3.563503163,49.29462378
442.8957007,6.983841586,41.8014618
444.0123169,8.44025243,33.89234878
445.1287295,9.174073687,27.65743946
446.2449386,15.68524459,25.01940184
447.3609443,20.56541624,23.65378482
448.4767466,16.51687454,19.29006624
449.5923455,10.95252887,11.1858291
450.7077412,12.12278833,3.593914394
451.8229337,18.92044479,2.088262637
452.9379229,25.10500083,8.673124783
454.0527091,27.91740684,19.9767436
455.1672921,29.8591411,29.89590794
456.2816721,32.21004941,34.56639013
457.3958491,35.7351206,35.1218689
458.5098232,38.76715787,35.35074157
459.6235944,33.75199222,37.67762379
460.7371628,22.92925631,42.55723463
461.8505284,20.29566773,49.94643964
462.9636912,25.77759196,58.82230225
464.0766514,25.36205653,66.09586561
465.1894089,17.23324692,68.71766734
466.3019639,13.55679786,67.13861698
467.4143163,20.54698935,64.71817058
468.5264662,31.39616796,63.12567493
469.6384136,39.13606421,60.20146154
470.7501587,44.13094331,53.61762462
471.8617014,45.64197558,45.15810022
472.9730419,41.9467742,39.33475739
474.0841801,38.95706104,37.90876981
475.1951161,41.90251304,37.55292528
476.30585,44.49418479,34.246723
477.4163818,41.11164316,29.05066086
478.5267115,37.35756893,26.77281873
479.6368392,37.51498007,29.20418764
480.746765,37.70457483,33.29354512
481.8564889,36.02968989,35.72769002
482.966011,35.71437337,36.16045375
484.0753312,37.35742862,36.68954731
485.1844497,38.09115457,40.00147407
486.2933665,38.80075182,46.72131769
487.4020817,41.39515421,54.19453642
488.5105953,42.84261532,59.28589484
489.6189073,41.58668908,61.31129642
490.7270178,39.176988,61.2825065
491.8349268,37.75020123,60.31294541
492.9426345,43.61185342,59.01200035
494.0501408,54.50299826,56.72032839
495.1574458,56.07075905,52.40358968
496.2645495,50.22578969,47.21333955
497.3714521,49.45920759,44.05544481
498.4781534,48.83619802,44.20463029
499.5846537,44.18272189,45.54072813
500.6909529,43.36176427,43.65722787
501.7970511,43.13949444,35.45264708
502.9029483,35.21539319,23.05109796
504.0086446,25.27543463,12.22462877
505.1141401,20.09045308,6.033700075
506.2194347,15.81852102,3.113255521
507.3245286,10.12364978,1.964157674
508.4294218,8.084476343,2.560122074
509.5341143,12.19550041,4.145355249
510.6386062,17.79936305,5.21349819
511.7428975,20.4446842,4.933545965
512.8469882,17.44392932,2.610148759
513.9508786,5.727318776,-1.873964744
515.0545684,-6.701611389,-6.024215498
516.158058,-6.032135004,-6.623505303
517.2613472,2.464317262,-3.985025751
518.3644361,6.502600258,-1.493733852
519.4673248,7.742474941,-1.588785266
520.5700133,6.893649255,-3.358741833
521.6725016,3.308368019,-3.32973661
522.7747899,6.377196597,0.396161056
523.8768782,16.46708776,4.764870114
524.9787665,20.41465738,5.256612926
526.0804548,16.75477234,2.192586575
527.1819433,16.3421621,0.094018794
528.2832319,21.06411098,1.307681446
529.3843207,22.40271817,3.864300715
530.4852098,18.65856286,5.556365053
531.5858992,16.93122235,6.668266111
532.6863889,17.81518611,7.879005841
533.7866791,16.29669738,8.119718992
534.8867697,13.53352434,6.07893071
535.9866608,12.52938839,2.715897959
537.0863525,11.38637454,0.594967166
538.1858447,6.346213516,0.388603336
539.2851376,-3.390272194,0.006786591
540.3842312,-9.922383987,-1.533540234
541.4831256,-4.477769166,-1.897317014
542.5818207,6.125946421,1.33328605
543.6803167,11.18999392,7.664002099
544.7786136,13.08380633,14.79865648
545.8767114,14.5666572,21.01048738
546.9746102,13.85088532,26.12633658
548.07231,14.6477594,30.45117452
549.1698109,18.42555676,32.81900542
550.2671129,19.46949273,31.4851522
551.3642162,16.13720667,27.44977776
552.4611206,12.56460621,24.10592622
553.5578263,11.5818087,22.87176377
554.6543334,11.91777047,22.1484401
555.7506418,12.28703259,21.23523483
556.8467516,14.78521265,21.81197982
557.942663,16.66846556,24.30004597
559.0383758,11.12237363,26.15869199
560.1338902,1.733606854,25.35632557
561.2292062,-3.176576809,22.94668851
