Name,AAB_AS_750_5_5_H_S1.csv
Date,2024/08/02 14:29:42
Tag,AAB_AS_750_5_5_H_S1
Comment,
Peak raman shift[cm-1],392.341015763761
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.720791569672
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.4508636951978,13000.8,13000.6,12944.8,13014.2,12946.4
-87.6734563118443,11716.8,11778.2,11708.8,11753.6,11774
-81.9050202235721,11645.2,11589.2,11621.8,11647,11652.4
-76.1455396304173,11635.6,11742.2,11650.6,11679.2,11658.4
-70.3949987762189,11710.2,11768.6,11733.4,11690.4,11676.8
-64.6533819483648,11377.4,11377.2,11389.4,11445,11431.4
-58.9206734775162,11432,11488.2,11454.8,11420.8,11485.4
-53.1968577373591,11591.6,11589.6,11705.8,11676.8,11705.4
-47.4819191443166,11781.4,11806,11793.2,11749.4,11646.6
-41.7758421573017,11695.2,11744.4,11792.4,11757,11798.8
-36.0786112774604,12216.2,12202.6,12150.6,12178.6,12297.2
-30.390211047903,12251,12336.2,12339.2,12302.6,12290.6
-24.7106260534438,11835.8,11866.6,11996,11898.4,11900.2
-19.0398409203553,11983.2,11985.4,11960.6,11988.4,11994
-13.3778403160995,11839.4,11752.6,11752.8,11731.4,11679.8
-7.72460894907999,11573.4,11536.4,11543.8,11607.6,11511
-2.08013156839115,11364.6,11368.8,11476.4,11385.2,11379.8
3.55560703644733,12033,11998.2,11997.2,11955,11984.8
9.18262203571976,11407.8,11379.8,11467.2,11423.6,11363.6
14.8009285597982,11738.6,11740,11794.8,11737.6,11705
20.4105416993571,11383,11357,11395.8,11393.8,11359.8
26.0114765056442,11473.2,11417,11526,11493.6,11495
31.60374799071,11906.4,11913.2,11924.4,11914.4,11989.4
37.1873711276767,11669.6,11713,11658,11623,11617.4
42.7623608509584,11344.4,11437.6,11369.6,11380.8,11438
48.328732056525,11479,11372.8,11443.8,11402.4,11427
53.8864996021202,11363.8,11247.8,11291,11242,11349.2
59.4356783075418,10929.8,11007.4,11016,10961,11014.4
64.9762829548326,10959.6,10960.6,10995,10967.6,11048
70.5083282885644,11371.8,11335,11346.2,11310.6,11338.4
76.0318290160485,11432.4,11425.8,11504,11441.8,11469.4
81.5467998075856,10852.6,10806,10852.6,10882.8,10857
87.0532552966924,11445,11400.4,11380.8,11393.4,11379.4
92.5512100803444,11677.8,11670.4,11673.6,11648.2,11668.6
98.0406787192078,10936.4,11011.4,10930,11013,11098
103.521675737873,11275,11369.4,11369.6,11312.4,11298.6
108.994215625084,11091,11147.4,11044.8,11151.2,11150.6
114.458312833965,11134.2,11107,11090.2,11170,11161.4
119.913981782267,11343.4,11343.2,11207.4,11255,11418.6
125.361236852576,12172.2,12186.4,12108.4,12186.6,12169.6
130.80009239255,11155,11089,11072.4,11085.2,11091.2
136.230562715145,10875.8,10914.2,10777.2,10873,10867.4
141.652662098855,10951,10954.4,10854.6,10964.4,10964.6
147.066404787902,11469,11493.2,11489.6,11496.8,11408.4
152.471804992494,11076,11104.6,11098.2,11097.6,11094.6
157.868876889032,11104.6,11022.4,11087.2,11062.8,11047.2
163.25763462033,11054.6,10897.6,10977.4,10886.6,10942.4
168.638092295849,11261.8,11269.8,11283.6,11264.6,11307
174.010263991893,11494.6,11556.2,11456.6,11445,11481.4
179.374163751856,11075,11033.2,11111.8,11080.8,11043
184.729805586421,11192.2,11179.8,11136.8,11074,11160.6
