Name,AAB_AS_750_5_5_H_S1.csv,,,,,,,,,
Date,02/08/2024 14:29,,,,,,,,,
Tag,AAB_AS_750_5_5_H_S1,,,,,,,,,
Comment,,,,,,,,,,
Peak raman shift[cm-1],392.3410158,,,,,,,,,
Integration[ms],750,,,,,,,,,
Averaging,5,,,,,,,,,
Measure data Count,5,,,,,,,,,
Source wave length,784.7207916,,,,,,,,,
Calibrate value 0,778.657113,,,,,,,,,
Calibrate value 1,0.351105861,,,,,,,,,
Calibrate value 2,-0.000114612,,,,,,,,,
Calibrate value 3,-1.40E-08,,,,,,,,,
Calibrate value 4,-6.35E-12,,,,,,,,,
Calibrate value 5,6.47E-14,,,,,,,,,
Sensor pixel num,512,,,,,,,,,
Count monitor raman shift,0,,,,,,,,,
Count monitor value,0,,,,,,,,,
Dark name,,,,,,,,,,
Ramanshift[cm-1],1,2,3,4,5,6,7,8,9,10
-93.4508637,13000.8,13000.6,12944.8,13014.2,12946.4,13000.8,13000.6,12944.8,13014.2,12946.4
-87.67345631,11716.8,11778.2,11708.8,11753.6,11774,11716.8,11778.2,11708.8,11753.6,11774
-81.90502022,11645.2,11589.2,11621.8,11647,11652.4,11645.2,11589.2,11621.8,11647,11652.4
-76.14553963,11635.6,11742.2,11650.6,11679.2,11658.4,11635.6,11742.2,11650.6,11679.2,11658.4
-70.39499878,11710.2,11768.6,11733.4,11690.4,11676.8,11710.2,11768.6,11733.4,11690.4,11676.8
-64.65338195,11377.4,11377.2,11389.4,11445,11431.4,11377.4,11377.2,11389.4,11445,11431.4
-58.92067348,11432,11488.2,11454.8,11420.8,11485.4,11432,11488.2,11454.8,11420.8,11485.4
-53.19685774,11591.6,11589.6,11705.8,11676.8,11705.4,11591.6,11589.6,11705.8,11676.8,11705.4
-47.48191914,11781.4,11806,11793.2,11749.4,11646.6,11781.4,11806,11793.2,11749.4,11646.6
-41.77584216,11695.2,11744.4,11792.4,11757,11798.8,11695.2,11744.4,11792.4,11757,11798.8
-36.07861128,12216.2,12202.6,12150.6,12178.6,12297.2,12216.2,12202.6,12150.6,12178.6,12297.2
-30.39021105,12251,12336.2,12339.2,12302.6,12290.6,12251,12336.2,12339.2,12302.6,12290.6
-24.71062605,11835.8,11866.6,11996,11898.4,11900.2,11835.8,11866.6,11996,11898.4,11900.2
-19.03984092,11983.2,11985.4,11960.6,11988.4,11994,11983.2,11985.4,11960.6,11988.4,11994
-13.37784032,11839.4,11752.6,11752.8,11731.4,11679.8,11839.4,11752.6,11752.8,11731.4,11679.8
-7.724608949,11573.4,11536.4,11543.8,11607.6,11511,11573.4,11536.4,11543.8,11607.6,11511
-2.080131568,11364.6,11368.8,11476.4,11385.2,11379.8,11364.6,11368.8,11476.4,11385.2,11379.8
3.555607036,12033,11998.2,11997.2,11955,11984.8,12033,11998.2,11997.2,11955,11984.8
9.182622036,11407.8,11379.8,11467.2,11423.6,11363.6,11407.8,11379.8,11467.2,11423.6,11363.6
14.80092856,11738.6,11740,11794.8,11737.6,11705,11738.6,11740,11794.8,11737.6,11705
20.4105417,11383,11357,11395.8,11393.8,11359.8,11383,11357,11395.8,11393.8,11359.8
26.01147651,11473.2,11417,11526,11493.6,11495,11473.2,11417,11526,11493.6,11495
31.60374799,11906.4,11913.2,11924.4,11914.4,11989.4,11906.4,11913.2,11924.4,11914.4,11989.4
37.18737113,11669.6,11713,11658,11623,11617.4,11669.6,11713,11658,11623,11617.4
42.76236085,11344.4,11437.6,11369.6,11380.8,11438,11344.4,11437.6,11369.6,11380.8,11438
48.32873206,11479,11372.8,11443.8,11402.4,11427,11479,11372.8,11443.8,11402.4,11427
53.8864996,11363.8,11247.8,11291,11242,11349.2,11363.8,11247.8,11291,11242,11349.2
59.43567831,10929.8,11007.4,11016,10961,11014.4,10929.8,11007.4,11016,10961,11014.4
64.97628295,10959.6,10960.6,10995,10967.6,11048,10959.6,10960.6,10995,10967.6,11048
70.50832829,11371.8,11335,11346.2,11310.6,11338.4,11371.8,11335,11346.2,11310.6,11338.4
76.03182902,11432.4,11425.8,11504,11441.8,11469.4,11432.4,11425.8,11504,11441.8,11469.4
81.54679981,10852.6,10806,10852.6,10882.8,10857,10852.6,10806,10852.6,10882.8,10857
87.0532553,11445,11400.4,11380.8,11393.4,11379.4,11445,11400.4,11380.8,11393.4,11379.4
92.55121008,11677.8,11670.4,11673.6,11648.2,11668.6,11677.8,11670.4,11673.6,11648.2,11668.6
98.04067872,10936.4,11011.4,10930,11013,11098,10936.4,11011.4,10930,11013,11098
103.5216757,11275,11369.4,11369.6,11312.4,11298.6,11275,11369.4,11369.6,11312.4,11298.6
108.9942156,11091,11147.4,11044.8,11151.2,11150.6,11091,11147.4,11044.8,11151.2,11150.6
114.4583128,11134.2,11107,11090.2,11170,11161.4,11134.2,11107,11090.2,11170,11161.4
119.9139818,11343.4,11343.2,11207.4,11255,11418.6,11343.4,11343.2,11207.4,11255,11418.6
125.3612369,12172.2,12186.4,12108.4,12186.6,12169.6,12172.2,12186.4,12108.4,12186.6,12169.6
130.8000924,11155,11089,11072.4,11085.2,11091.2,11155,11089,11072.4,11085.2,11091.2
136.2305627,10875.8,10914.2,10777.2,10873,10867.4,10875.8,10914.2,10777.2,10873,10867.4
141.6526621,10951,10954.4,10854.6,10964.4,10964.6,10951,10954.4,10854.6,10964.4,10964.6
147.0664048,11469,11493.2,11489.6,11496.8,11408.4,11469,11493.2,11489.6,11496.8,11408.4
152.471805,11076,11104.6,11098.2,11097.6,11094.6,11076,11104.6,11098.2,11097.6,11094.6
157.8688769,11104.6,11022.4,11087.2,11062.8,11047.2,11104.6,11022.4,11087.2,11062.8,11047.2
163.2576346,11054.6,10897.6,10977.4,10886.6,10942.4,11054.6,10897.6,10977.4,10886.6,10942.4
168.6380923,11261.8,11269.8,11283.6,11264.6,11307,11261.8,11269.8,11283.6,11264.6,11307
174.010264,11494.6,11556.2,11456.6,11445,11481.4,11494.6,11556.2,11456.6,11445,11481.4
179.3741638,11075,11033.2,11111.8,11080.8,11043,11075,11033.2,11111.8,11080.8,11043
184.7298056,11192.2,11179.8,11136.8,11074,11160.6,11192.2,11179.8,11136.8,11074,11160.6
190.0772035,11372.4,11398.2,11357.8,11361.6,11408,11372.4,11398.2,11357.8,11361.6,11408
195.4163714,11510,11485.6,11571,11544.8,11489.8,11510,11485.6,11571,11544.8,11489.8
200.7473232,11034.2,10972.4,11039,10971.2,10965.8,11034.2,10972.4,11039,10971.2,10965.8
206.0700728,11042.2,11057,11015,11014.2,11047,11042.2,11057,11015,11014.2,11047
211.384634,10740.6,10726.4,10802.8,10761.6,10679.4,10740.6,10726.4,10802.8,10761.6,10679.4
216.6910207,11116.2,11173.8,11120,11155,11200.8,11116.2,11173.8,11120,11155,11200.8
221.9892466,10685.6,10825.8,10751.4,10787.2,10790,10685.6,10825.8,10751.4,10787.2,10790
227.2793256,10951.6,10955.8,10999.2,10988.4,10953.2,10951.6,10955.8,10999.2,10988.4,10953.2
232.5612713,10965.8,10884.8,10977.8,10928.8,10891.6,10965.8,10884.8,10977.8,10928.8,10891.6
237.8350974,10824.4,10844,10827.2,10828.8,10804,10824.4,10844,10827.2,10828.8,10804
243.1008177,10958.8,10924.2,10907.4,10904.8,10942.6,10958.8,10924.2,10907.4,10904.8,10942.6
248.3584456,10884.2,10933.8,10990.2,10869.6,10968.8,10884.2,10933.8,10990.2,10869.6,10968.8
253.6079949,10805.8,10768,10822.2,10701.6,10810.2,10805.8,10768,10822.2,10701.6,10810.2
258.8494791,10958.4,10940.4,11008.8,10904.6,10943.8,10958.4,10940.4,11008.8,10904.6,10943.8
264.0829117,10882.4,10842.8,10941.6,10894,10901,10882.4,10842.8,10941.6,10894,10901
269.3083064,11167.8,11112,11137,11199,11222,11167.8,11112,11137,11199,11222
274.5256764,11299.2,11248.4,11211,11245.8,11248.4,11299.2,11248.4,11211,11245.8,11248.4
279.7350354,11018.4,10994,11066.8,10965.6,11011.2,11018.4,10994,11066.8,10965.6,11011.2
284.9363968,10811,10925.8,10872.8,10781.2,10736.6,10811,10925.8,10872.8,10781.2,10736.6
290.1297739,11135.2,11113.6,11170,11126.4,11084.6,11135.2,11113.6,11170,11126.4,11084.6
295.3151801,11926.2,12009.4,11970,12082.2,12013.6,11926.2,12009.4,11970,12082.2,12013.6
300.4926288,14150.8,14225.8,14184.2,14224.6,14288,14150.8,14225.8,14184.2,14224.6,14288
305.6621332,16046,16298.6,16151.6,16195.6,16308.2,16046,16298.6,16151.6,16195.6,16308.2
310.8237068,17812,18029.2,18068.2,18248.8,18278.4,17812,18029.2,18068.2,18248.8,18278.4
315.9773626,19540.6,19757.6,19731.2,19776,20028.8,19540.6,19757.6,19731.2,19776,20028.8
321.1231141,19701.8,20276.2,20012.4,20209.6,20313.4,19701.8,20276.2,20012.4,20209.6,20313.4
326.2609742,19879.8,20240.6,20161.2,20386.2,20413.6,19879.8,20240.6,20161.2,20386.2,20413.6
331.3909564,20065.4,20632.8,20503.8,20682.8,20695.8,20065.4,20632.8,20503.8,20682.8,20695.8
336.5130736,20250.4,20814.4,20553.4,20648.2,20879.2,20250.4,20814.4,20553.4,20648.2,20879.2
341.6273391,20556.8,20862,20894.4,20936.6,21208.6,20556.8,20862,20894.4,20936.6,21208.6
346.7337659,20383.6,20964.6,20743.6,20904,21026.2,20383.6,20964.6,20743.6,20904,21026.2
351.8323672,20728,21203.2,20962.8,21304.4,21529,20728,21203.2,20962.8,21304.4,21529
356.9231558,20417.2,20934.8,20814,21059.6,21180.6,20417.2,20934.8,20814,21059.6,21180.6
362.006145,20538.4,21009.2,20810.4,21017.8,21214.4,20538.4,21009.2,20810.4,21017.8,21214.4
367.0813476,20840.4,21254,21222.6,21259,21576.4,20840.4,21254,21222.6,21259,21576.4
372.1487766,20413,21008.4,20966.8,21146.4,21276,20413,21008.4,20966.8,21146.4,21276
377.2084451,20898.2,21307.6,21212.6,21426.4,21525.6,20898.2,21307.6,21212.6,21426.4,21525.6
382.2603658,20868.2,21351.6,21192.2,21451.4,21516.6,20868.2,21351.6,21192.2,21451.4,21516.6
387.3045517,20900,21451.8,21397,21542.2,21615.4,20900,21451.8,21397,21542.2,21615.4
392.3410158,21150,21763.2,21540.2,21714.6,21866.4,21150,21763.2,21540.2,21714.6,21866.4
397.3697707,20721.6,21069.6,20981.8,21185,21301,20721.6,21069.6,20981.8,21185,21301
402.3908294,20696.6,21216.2,21200.4,21297.8,21447.6,20696.6,21216.2,21200.4,21297.8,21447.6
407.4042046,20482,21033.8,20901.6,21039.8,21282.6,20482,21033.8,20901.6,21039.8,21282.6
412.4099091,20087.2,20549.2,20427.6,20674.4,20757.4,20087.2,20549.2,20427.6,20674.4,20757.4
417.4079557,19699.8,20251.2,20203.4,20251.6,20507.6,19699.8,20251.2,20203.4,20251.6,20507.6
422.3983571,19956.6,20383.6,20330.2,20447.8,20575.8,19956.6,20383.6,20330.2,20447.8,20575.8
427.381126,19892.2,20382.4,20305,20387.4,20754,19892.2,20382.4,20305,20387.4,20754
432.356275,20225.2,20791.4,20574.4,20764.4,20984.2,20225.2,20791.4,20574.4,20764.4,20984.2
437.3238169,20372,20797.6,20683.6,20916.2,20930.2,20372,20797.6,20683.6,20916.2,20930.2
442.2837642,20367.2,20896.4,20723.6,20882.6,21076.6,20367.2,20896.4,20723.6,20882.6,21076.6
447.2361296,19551,20127,19909.8,20195.6,20331.8,19551,20127,19909.8,20195.6,20331.8
452.1809257,19729.4,20095.6,20082,20103,20399.6,19729.4,20095.6,20082,20103,20399.6
457.118165,19977,20315.2,20103.4,20268,20475.6,19977,20315.2,20103.4,20268,20475.6
462.0478601,19260.6,19745.8,19737,19835.8,20025.2,19260.6,19745.8,19737,19835.8,20025.2
466.9700234,19854.8,20265,20281.4,20381.2,20446,19854.8,20265,20281.4,20381.2,20446
471.8846676,19180.4,19645.2,19586.8,19668.8,19955.2,19180.4,19645.2,19586.8,19668.8,19955.2
476.791805,19782,20215.6,20110,20262.4,20422.4,19782,20215.6,20110,20262.4,20422.4
481.6914482,19817.2,20252,20177.4,20175.2,20368.6,19817.2,20252,20177.4,20175.2,20368.6
486.5836095,20059,20484,20361,20415.2,20624.6,20059,20484,20361,20415.2,20624.6
491.4683014,19780.6,20223,20228.8,20310,20407.4,19780.6,20223,20228.8,20310,20407.4
496.3455362,19801,20185.8,19975.6,20153.2,20312.8,19801,20185.8,19975.6,20153.2,20312.8
