Name,AA_HS_V2S2_H.csv
Date,2024/10/24 09:38:56
Tag,AA_HS_V2S2_H
Comment,
Peak raman shift[cm-1],351.812079774847
Integration[ms],1000
Averaging,5
Measure data Count,5
Source wave length,784.722040841446
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.4711510729976,10273,10312,10188.6,10300.4,10282.6
-87.6937436896442,9208.4,9271.6,9256.6,9255.4,9298.2
-81.925307601372,9086.8,9151.4,9060.6,9187.8,9148.6
-76.1658270082171,9132.2,9116.6,9253.4,9256.6,9230.8
-70.4152861540188,9136.6,9116.4,9145,9152.4,9117.2
-64.6736693261646,8934.4,9037.4,8979.4,9005.4,9005
-58.940960855316,9000.2,8941.2,8963,8985.2,9067.6
-53.2171451151589,9208,9146.8,9201.8,9175.6,9267.4
-47.5022065221165,9249.4,9291.8,9235.6,9280.4,9218.4
-41.7961295351015,9075.2,9233.2,9174.4,9117.6,9233.8
-36.0988986552602,9537.8,9545.4,9672,9585,9625
-30.4104984257028,9633.6,9582.8,9669.4,9628.6,9723.2
-24.7309134312436,9269.8,9325.4,9289,9289,9376.4
-19.0601282981552,9417.4,9468.6,9353.2,9467.8,9396.2
-13.3981276938994,9182.8,9233.4,9126,9225.4,9214.2
-7.74489632687983,9010.8,9059,8942.4,9053.2,8952.8
-2.10041894619098,8901.4,8883.6,8856.2,8892.4,8933.4
3.5353196586475,9369.2,9383.6,9449.6,9436.8,9458.2
9.16233465791993,8937.8,8941.2,8931.6,8908.4,8929.4
14.7806411819984,9182.6,9177.8,9204,9171.8,9279.2
20.3902543215572,8891.6,8883,8959.8,8922.4,9001
25.9911891278443,8844,8926.4,8824.8,8934,8957.4
31.5834606129101,9257.4,9333.6,9341.8,9267.8,9301.8
37.1670837498768,9122.4,9104.6,9127.8,9144.6,9184
42.7420734731586,8927.6,8927.6,8929.2,8925.4,8938.2
48.3084446787252,8968.6,8867.8,8984,8951.4,9017.6
53.8662122243204,8900.6,8898.8,8867.4,8911.4,8954.6
59.415390929742,8599,8637.8,8642.4,8578.2,8659.4
64.9559955770328,8633.2,8662,8634.2,8689.6,8661.8
70.4880409107645,8880.4,8877.6,8851.2,8918,8837.2
76.0115416382487,9051,9003.2,8954.6,8979.2,9006.6
81.5265124297857,8517,8511,8479.4,8533,8611.4
87.0329679188926,8907,8920,8875.8,8936.4,8911.8
92.5309227025446,9146.8,9126.6,9131,9099.4,9082
98.020391341408,8622.4,8617.4,8586.8,8650.2,8638
103.501388360073,8764.6,8895.2,8838.8,8827.2,8842.6
108.973928247284,8708.8,8700.4,8718.2,8786.2,8765.4
114.438025456166,8691.8,8716.2,8728.4,8721.2,8773.8
119.893694404467,8811,8847.2,8839.6,8871.8,8951.2
125.340949474776,9600.4,9604.6,9639.6,9641.8,9651.2
130.77980501475,8628.8,8593.8,8556.8,8723,8631.2
136.210275337346,8499.4,8512.8,8540.4,8586,8578.4
141.632374721055,8567,8576.2,8602.8,8616.2,8597
147.046117410102,9008.4,9045,9099.6,9095.6,9081.8
152.451517614694,8662.4,8696.8,8711.6,8730.2,8679.8
157.848589511232,8651.6,8716,8710,8698.8,8718
163.23734724253,8592.2,8667.2,8593,8633.8,8575
168.617804918049,8771.8,8830.6,8802.2,8819.2,8788
