Name,HS_AAB_P2_750_5_5_H_S1.csv,,,,
Date,25/09/2024 10:54,,,,
Tag,HS_AAB_P2_750_5_5_H_S1,,,,
Comment,,,,,
Peak raman shift[cm-1],351.7585072,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7253398,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
Ramanshift[cm-1],1,2,3,4,5
-93.52472366,10363.6,10330.6,10416.2,10344.6,10435.4
-87.74731628,9400.2,9384.6,9457,9378.6,9383
-81.97888019,9222.2,9299.2,9325.6,9281.6,9323.2
-76.2193996,9257.8,9367.8,9405.2,9355.4,9392.6
-70.46885874,9360.2,9381.8,9392.8,9414.2,9359.2
-64.72724191,9190.2,9200.6,9154.2,9226.2,9256.6
-58.99453344,9176.2,9219.8,9207,9178.6,9260.4
-53.2707177,9353.4,9377,9422.4,9386.4,9414.8
-47.55577911,9500.8,9444.6,9482,9473,9512.8
-41.84970212,9349.8,9351.2,9371.8,9380.4,9460.8
-36.15247124,9729,9774.2,9743.2,9766.6,9820.4
-30.46407101,9855.2,9856.6,9892,9919.4,9843.6
-24.78448602,9534,9571.6,9580.6,9577.6,9598.4
-19.11370089,9624,9561.8,9601.8,9577.4,9627
-13.45170028,9403.2,9475.2,9450.8,9400.2,9442
-7.798468914,9269.6,9281.6,9183.6,9223.6,9238.2
-2.153991534,9073,9089.2,9140.6,9050.4,9151
3.481747071,9614.6,9595.6,9576,9616.2,9747.4
9.10876207,9081,9087.2,9118,9188.6,9102.2
14.72706859,9470,9369.6,9403.6,9443.4,9475.8
20.33668173,9169.6,9089.4,9206.4,9141.2,9206.8
25.93761654,9198.8,9113.2,9109,9151.2,9193
31.52988803,9530.2,9513.2,9494.4,9544.8,9591.2
37.11351116,9313,9362.4,9388.2,9446.2,9407.2
42.68850089,9144,9109.4,9176.2,9165.2,9157
48.25487209,9221,9197.2,9198.4,9191,9175.8
53.81263964,9079.4,9070.2,9103,9182,9144
59.36181834,8836,8815.6,8839.6,8911.2,8852.4
64.90242299,8820,8860.2,8899.2,8851.6,8862.8
70.43446832,9122.2,9120.4,9080.4,9131.8,9190.2
75.95796905,9226.6,9217.6,9192.4,9168.8,9292.8
81.47293984,8837.8,8738.4,8822.4,8811.6,8787
86.97939533,9255.8,9109.6,9132.2,9141.4,9157.4
92.47735012,9438.8,9373.2,9362.2,9340.4,9364.4
97.96681875,8856.2,8844.8,8870,8898,8885.6
103.4478158,9088.8,9076.8,9077.6,9137.4,9095.4
108.9203557,8967.2,9022.2,8960,9072.6,9031.8
114.3844529,8988.8,9011,8945.8,9022.4,9069.4
119.8401218,9064.6,9083.4,9145,9108.8,9177.8
125.2873769,9806.2,9781.6,9793.8,9781.6,9803.4
130.7262324,8917.4,8894.2,8982.4,8882.2,8949
136.1567027,8781.2,8751.6,8812,8761.8,8800.2
141.5788021,8781.4,8818.2,8846.2,8886.6,8844.2
146.9925448,9245.2,9219.8,9265,9278.2,9329
152.397945,8880.4,8970.4,8976.8,8910.8,8924.2
157.7950169,8940.2,8896.4,8884.2,8961.2,8936.8
163.1837747,8771,8818.2,8861,8887.2,8891.8
168.5642323,9092.6,9053.4,9109.6,9106,9127.4
173.936404,9238.6,9285.2,9309.4,9243.4,9352
179.3003038,8912,8837,8817.2,8929.8,8849
184.6559456,8979,8973.2,8953.2,8965.2,8993.8
190.0033435,9158,9121.6,9166.4,9138.4,9125.6
195.3425114,9308,9281,9232.6,9246.8,9277.8
200.6734632,8836.4,8864.8,8865,8885,8885
205.9962128,8817,8912.2,8889.4,8905.4,8888.6
211.310774,8699.6,8709.8,8712,8670.2,8658.8
216.6171607,8954,8954.4,8924,9039.8,8981.2
221.9153867,8583,8728.6,8704.2,8730.6,8690.4
227.2054656,8852.2,8872.6,8864,8890.2,8867.4
232.4874113,8800.8,8826.8,8809.4,8831.2,8852
237.7612375,8730.8,8723.4,8767,8791.2,8816.8
243.0269577,8810.6,8899.8,8910.8,8904,8918
248.2845856,8833,8842.8,8757.2,8849.8,8884.6
253.5341349,8717.8,8718.8,8687.4,8723.4,8715.8
258.7756191,8774.4,8829.6,8790.6,8816.2,8803.6
264.0090518,8821.6,8840.8,8883.6,8907.4,8879
269.2344464,8966,8963.2,9013.4,9010,8954.8
274.4518165,9059.2,9136.4,9092.6,9107.6,9122.6
279.6611755,8833,8851.6,8914,8866.4,8870.4
284.8625368,8743.2,8696.4,8762.8,8713.4,8795.4
290.0559139,8918.4,8975,9040,8988.8,8973.8
295.2413201,9662.8,9653.6,9702,9669.6,9694.4
300.4187688,11426.4,11391.4,11277.8,11327.2,11393.2
305.5882733,12813.4,12691.2,12655.4,12531,12623.2
310.7498468,14202,13951.2,13765.6,13805.6,13619.8
315.9035027,15205.2,15040.8,14914.6,14853,14790.6
321.0492541,15438.2,15099.4,15109.8,14934.8,14847.4
326.1871143,15389,15209.4,15035.6,15009.8,14857
331.3170964,15684.4,15362,15226.2,15060,15018.8
336.4392137,15659.2,15446,15266.4,15171.4,15086
341.5534792,15731.2,15470,15280.2,15274.4,15151.8
346.659906,15612,15372.4,15168.2,15169,14907.2
351.7585072,15783.2,15567.6,15381,15293,15143.4
356.8492959,15521.2,15240.4,15151.2,15052.2,14906
361.932285,15682.4,15362.8,15161.4,15151.6,14983.4
367.0074876,15757.6,15407.4,15324.2,15282,15195.6
372.0749167,15586.8,15301,15136,15008.6,14756.4
377.1345851,15572.6,15487.4,15285.8,15169.2,14910.8
382.1865058,15412.8,15107.2,14975.8,15081.6,14817.8
387.2306918,15267.2,15014.6,14859.8,14766.4,14638.8
392.2671558,15339.2,15085.2,14952.6,14761,14766.2
397.2959107,15096,14840,14722,14639.8,14373.4
402.3169694,15472,15085,14969.2,14896,14759.2
407.3303446,15273.4,14912.6,14845,14662.4,14623.8
412.3360492,15066.4,14844.6,14625,14702.8,14414.6
417.3340958,14726.2,14513.6,14362.2,14281.4,14154
422.3244971,14879.2,14659.8,14444.2,14469.6,14255.2
427.307266,14967.6,14648.2,14500.2,14433.6,14409.6
432.2824151,15132.2,14876.4,14774.4,14726.8,14626.2
437.2499569,15317,15090.6,14857.4,14816.8,14699.2
442.2099043,15266.8,15098.8,14835,14864,14704.4
447.1622697,14719.2,14495.4,14274.4,14182.2,14077.4
452.1070657,14618.8,14530.8,14296,14329.2,14068
457.044305,14968.4,14738.8,14521.4,14474.6,14340.8
461.9740001,14462.8,14295,14060.4,14144.2,13846.2
466.8961635,14890.8,14655,14533.2,14498,14328.4
471.8108076,14363,14108.2,13900.6,13908.6,13779.8
476.717945,14802,14473,14423.6,14303.4,14261.2
481.6175882,14832.6,14472.8,14382.6,14364.4,14111.6
486.5097495,15141.4,14768,14649,14597.6,14434.2
491.3944414,14766.4,14465.2,14455.2,14378.2,14171.4
496.2716763,14650.4,14332.4,14236.2,14242.2,14055.8
501.1414665,14569,14266.6,14336,14141,14011.2
506.0038244,14866,14560.8,14492.6,14414.2,14310.8
510.8587623,14682.2,14300.4,14209.4,14041.8,13952.6
515.7062925,14210.8,13849,13860,13705.6,13555.4
520.5464274,14612.8,14184,14104.4,14015.8,13911.4
525.3791792,14426.4,14161.2,14039.4,13961.4,13721.6
530.2045601,14397.2,14116.2,14129,13985.6,13851.4
535.0225824,14023.2,13710.8,13633,13572.2,13489.6
539.8332583,14325.2,14096.8,13954.4,13877,13786
544.6366,14503.2,14121.2,13978.2,13964.4,13781.2
549.4326196,14062,13802.6,13712.4,13602.2,13486.8
554.2213293,14765,14458.8,14425.2,14263.4,14229
559.0027413,14108.4,13884.4,13713.6,13742.8,13513.2
563.7768676,13913,13711.8,13510.4,13517.4,13405
568.5437204,14682,14383.4,14270.6,14204.8,14149
573.3033118,14424.4,14159.4,13967.8,13979.4,13773.6
578.0556537,14134,13761.8,13747,13588.2,13471.6
582.8007583,14492,14126.4,14063.8,14046.8,13899.2
587.5386375,14375,14053.6,13964,13812.6,13765.8
592.2693034,14043.8,13787.4,13678.8,13579.2,13522.2
596.9927679,14180.6,13860.8,13801.8,13772.8,13567.8
601.7090431,14372.6,14113.4,13990.8,13828.4,13795.2
606.4181409,14092.6,13731,13606.2,13541.4,13465.6
611.1200732,13912.6,13699,13510,13544.8,13412.8
615.814852,13991,13793,13643,13502.6,13471.4
620.5024891,14177.6,13842.4,13742.2,13755.6,13671
