Name,HS_AAB_P2_750_5_5_H_S3.csv
Date,2024/09/30 12:41:11
Tag,HS_AAB_P2_750_5_5_H_S3
Comment,
Peak raman shift[cm-1],367.061060192105
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.722040841446
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.4711510730049,10464.2,10445.4,10454.6,10513,10484.6
-87.6937436896515,9513.4,9592,9565.4,9539,9520.8
-81.9253076013792,9422.8,9425.2,9464,9430.6,9433.4
-76.1658270082244,9418.2,9515.4,9466.8,9464,9552.2
-70.415286154026,9417.6,9343,9449.4,9453.2,9443.8
-64.6736693261719,9259.8,9336.4,9356.2,9341.4,9340
-58.9409608553233,9243.6,9308.6,9255.8,9290.8,9347.6
-53.2171451151662,9475.8,9471.6,9478.6,9429,9528.6
-47.5022065221237,9554.8,9585,9625.4,9651.6,9655
-41.7961295351088,9527.4,9486.2,9445.8,9521.4,9502.4
-36.0988986552675,9805.4,9938.4,9877,9879.8,9887.8
-30.4104984257101,9956,10019.6,10095.4,10000.8,10013.8
-24.7309134312509,9691,9692.8,9703.8,9630.2,9723.4
-19.0601282981625,9720,9720.4,9755.6,9643.6,9723.8
-13.3981276939066,9537.2,9500.2,9597.4,9516.2,9606.2
-7.7448963268871,9341.4,9339.4,9388.8,9382.6,9324.4
-2.10041894619826,9165.4,9226.8,9233,9244.6,9285.2
3.53531965864022,9707.6,9707.8,9753.4,9800,9788.8
9.16233465791265,9204,9338.6,9229.2,9247.6,9225.4
14.7806411819911,9553.4,9586.6,9519.8,9543.8,9552.6
20.3902543215499,9224.2,9225,9310.8,9234,9302.2
25.9911891278371,9240.4,9276.8,9300.6,9295.6,9313.2
31.5834606129029,9658.4,9707.4,9615,9677.8,9636.6
37.1670837498696,9438,9455,9481,9549,9558.4
42.7420734731513,9188.6,9288.8,9267.4,9219.4,9333
48.3084446787179,9273.4,9288.2,9302.2,9279.4,9300.2
53.8662122243131,9208.6,9230.6,9198.2,9252.2,9283.2
59.4153909297347,8899,8986.2,8957.2,8967.6,8958.6
