Name,HS_AAB_P3_750_5_5_H_S1.csv,,,,
Date,30/09/2024 12:42,,,,
Tag,HS_AAB_P3_750_5_5_H_S1,,,,
Comment,,,,,
Peak raman shift[cm-1],377.1881577,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7220408,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
Ramanshift[cm-1],1,2,3,4,5
-93.47115107,10526.4,10534.8,10569.8,10677.6,10643
-87.69374369,9626.8,9610,9637.4,9679.8,9669.4
-81.9253076,9512,9491.4,9508.2,9538.8,9548
-76.16582701,9550.8,9518.8,9564.6,9575.6,9644.2
-70.41528615,9566,9602.8,9580.2,9596.2,9560.8
-64.67366933,9414,9404.8,9413.6,9435,9381.4
-58.94096086,9359.4,9420.8,9410.6,9378.4,9372.2
-53.21714512,9596.6,9626.2,9517.4,9614.4,9609.8
-47.50220652,9802,9813.6,9708.2,9669.4,9683.6
-41.79612954,9625,9576.2,9640.6,9652.2,9664
-36.09889866,9964,9980.8,10034.2,9970,10005.8
-30.41049843,10073.6,10044.4,10103.2,10036,10118.6
-24.73091343,9828.6,9767.4,9769.2,9826.8,9905.4
-19.0601283,9810.4,9844.2,9766.6,9858,9829.4
-13.39812769,9688,9619.2,9631.2,9626,9649.6
-7.744896327,9397.4,9533.4,9459.8,9449.2,9420.4
-2.100418946,9373.4,9402.2,9363.2,9367.6,9378.2
3.535319659,9870.2,9829,9885.2,9887.4,9840.8
9.162334658,9264.2,9322.4,9338.6,9313.2,9354.4
14.78064118,9632.6,9628.4,9691.8,9589.6,9577.6
20.39025432,9392,9382,9419.4,9408.8,9378.6
25.99118913,9396.6,9362.6,9389.8,9393.8,9434.4
31.58346061,9808.8,9712.2,9730.4,9778,9745.2
37.16708375,9532.4,9628.6,9542,9597.6,9576.4
42.74207347,9370.2,9373.6,9361,9422.2,9408.6
48.30844468,9369.6,9443,9408.4,9437.4,9443.8
53.86621222,9301.6,9353,9198.4,9318.6,9316.8
59.41539093,9056.4,9057.6,9098.8,9095.8,9045.6
64.95599558,9142.6,9011.8,9049,8989.6,9079.6
70.48804091,9297.4,9316.6,9295.2,9374.2,9296.4
76.01154164,9398.4,9401.4,9394.8,9391.4,9418.6
81.52651243,8952.2,8961.8,8998.6,8979.8,8993.2
87.03296792,9338.8,9351.8,9290.4,9371.8,9359.4
92.5309227,9540.8,9560,9528.2,9583.8,9594.2
98.02039134,9042.6,9117.6,9099,8995,9059.8
103.5013884,9268.4,9348.4,9274.6,9320.2,9306.2
108.9739282,9101.8,9121.8,9176.2,9160,9178.6
114.4380255,9159.4,9149.2,9120.6,9196,9139.4
119.8936944,9330.4,9288,9348.6,9283.2,9354
125.3409495,9987.8,9992.2,10000.8,9921.2,10025.6
130.779805,9138,9096.2,9118.6,9116.8,9115.8
136.2102753,8940.2,8919.4,8984.4,8995.6,9014.2
141.6323747,9011.2,9040,9020.8,8945.2,9065
147.0461174,9491.4,9481.4,9452.8,9541.6,9429.6
152.4515176,9201.8,9189.4,9188.4,9142,9105.4
157.8485895,9165.6,9166.6,9194.2,9125.6,9189.8
163.2373472,9047.2,9030.4,9078.4,9096.8,9014.6
168.6178049,9304,9287.4,9287.6,9280.2,9266.2
173.9899766,9480.8,9488,9444.4,9470.6,9456
179.3538764,9063.4,9094.8,9093.8,9076,9029.6
184.7095182,9199.4,9176.6,9181.8,9153.8,9223.4
190.0569161,9411.4,9308.8,9402.4,9387.8,9342.2
195.396084,9491.6,9478.6,9455.8,9483.4,9521.8
200.7270358,9033.8,8966.2,9044.8,8989.4,9089.4
206.0497854,9076.8,9024,9032.8,9068.6,9008.2
211.3643466,8817,8899.8,8905.2,8852.2,8847.4
216.6707333,9134.6,9163.8,9231,9133.8,9209.8
221.9689593,8858,8901.6,8922.6,8904.6,8827
227.2590382,9085,9084,9103,9046,9038.4
232.5409839,9098.4,8981.8,9022.6,9006.2,9027.6
237.8148101,8899.4,8971.4,8948.4,8939.2,8998.4
243.0805303,9066.4,9041.8,9085,9092.2,9042.2
248.3381582,9013.8,9029.4,9086.6,8926,9039.6
253.5877075,8849.6,8890.6,8888.4,8812.8,8865.2
258.8291917,8958,8989.2,8969.6,8949,9036.2
264.0626244,9169,9102.2,9068.6,8987.8,9065.6
269.288019,9197.6,9188.8,9207.4,9226.4,9220
274.5053891,9322.4,9268.2,9302.4,9329,9338.8
279.7147481,9047,9033.8,9030.8,9077.6,9058.8
284.9161094,8854.8,8853,8904.4,8932.6,8893.2
290.1094865,9106.6,9111.8,9040.2,9058,9018.6
295.2948927,9504.4,9488.2,9546.4,9476.6,9512.4
300.4723414,10768.8,10742.6,10707.4,10695,10665.2
305.6418459,11583,11526.2,11546.6,11445,11421
310.8034194,12347.4,12414.8,12257.6,12167.8,12175
315.9570752,13353,13271,13237.8,13198.4,12998.6
321.1028267,13433.2,13447.4,13286.4,13291.4,13260.8
326.2406869,13560,13576.4,13245,13300.4,13304.4
331.370669,13765.4,13755.4,13491.4,13478.6,13373.2
336.4927863,13752.6,13733,13633.8,13465,13505
341.6070517,13923.8,13793,13659,13553.4,13539.4
346.7134786,13627.2,13641.6,13511.2,13406.8,13444
351.8120798,13959.8,13920.6,13767,13718.4,13542.6
356.9028684,13678.2,13642.2,13450,13466,13360
361.9858576,13865.2,13809,13640.6,13540.2,13459.8
367.0610602,13970.8,14031,13854.4,13672.2,13721.4
372.1284892,13820,13728,13585.2,13487.8,13549.2
377.1881577,14011.2,14049.4,13844,13725.8,13639
382.2400784,13817.4,13668.8,13620.8,13472.6,13483.4
387.2842644,13632,13558.2,13463.2,13327,13300.8
392.3207284,13720.8,13722.4,13515.6,13503.6,13361.6
397.3494833,13391.6,13416.4,13276.4,13146,13060.8
402.370542,13753.4,13775.8,13451.2,13464.8,13439.2
407.3839172,13523,13477,13358.4,13283.2,13256.8
412.3896217,13405.2,13419.8,13199.2,13113.8,13060.6
417.3876683,13188.8,13052.2,12975.2,12843.8,12858.8
422.3780697,13454.6,13344.2,13235.4,13003.6,12994.8
427.3608386,13416.6,13406.6,13191.2,13088,13147.2
432.3359876,13755.8,13671.8,13507.4,13431,13365.2
437.3035295,14003.4,13833.2,13619.4,13572.4,13487.2
442.2634769,13942.6,13854.6,13664.8,13543.8,13551.4
447.2158423,13269.6,13216,13035,12964.2,13016
452.1606383,13337.8,13261,13155,13078.2,13062.6
457.0978776,13492.2,13343.2,13290.6,13235.6,13133.8
462.0275727,13114,12956,12778,12783.8,12693.6
466.9497361,13334,13389.4,13122.2,13018.2,13155.2
471.8643802,12858.6,12809.6,12636.6,12562.8,12610.4
476.7715176,13287.2,13184.6,13151.2,12965.2,13019.4
481.6711608,13211,13198.4,13141.6,12895.8,12907.8
486.5633221,13495.6,13412.2,13249,13133,13139.8
491.448014,13260,13195.4,13156.8,12927.2,13001.6
496.3252488,13232.2,13282.8,12977.4,12926.4,12982.4
501.195039,13189,13133.6,12971.8,13008.8,12957.8
506.0573969,13346.8,13396.8,13306.6,13187.6,13199.8
510.9123349,13228.8,13209,13050.8,12972.2,12868
515.7598651,12786,12695.2,12619.2,12537.4,12594.4
520.6,13151.2,13089,13029.2,12902.8,12941.4
525.4327518,13005.6,13032.8,12828.6,12747.4,12729.2
530.2581327,13197,13156,13008,12960.8,12800.6
535.076155,12693.2,12743.8,12567.4,12446,12407.6
539.8868309,13060.8,13034.4,12899.6,12831.6,12654.4
544.6901726,13114.2,13072,12919.2,12835.6,12817.2
549.4861922,12830.8,12835.8,12650.2,12611.8,12500.6
554.2749019,13456.8,13515.6,13238,13233.2,13262.2
559.0563139,12905.4,12835.2,12626.6,12559.4,12513.8
563.8304402,12624,12641.8,12489.6,12467.6,12305.8
568.597293,13385.6,13398.4,13252.6,13249.8,13182.2
573.3568844,13141.6,13093.6,12946.4,12878.4,12791.2
578.1092263,12861.4,12769.8,12668.8,12583.6,12541
582.8543308,13224.2,13156.2,13028.8,12859.2,12878.6
587.5922101,13011.4,12892,12806.4,12741.8,12755.6
592.322876,12798.4,12736.2,12579.2,12555.4,12610.6
597.0463405,12908.8,12824.4,12696.2,12625,12592
601.7626157,13043.4,13104,12856.4,12904,12807.2
606.4717135,12666.8,12661.2,12632.8,12463.4,12511.4
611.1736458,12645.2,12688.4,12545.6,12497.8,12405.8
615.8684246,12863.4,12627.2,12468.2,12584.8,12383.2
620.5560617,12923.8,12872.4,12794.4,12729.8,12654.4
625.2365691,12726.4,12699.6,12519,12490,12507.4
629.9099585,13009.6,12995.8,12874.8,12820.2,12681.6
634.5762419,13251.8,13200,13067.4,12987.6,12884.8
639.2354312,12620,12589.6,12479.8,12430.8,12475.2
643.887538,12851.8,12840.8,12721.4,12642.6,12587
648.5325743,12717.8,12745.4,12518.8,12480.6,12493.6
653.1705518,12580,12532.8,12455,12426,12373.4
657.8014823,12797.4,12774,12708.6,12540.8,12627
662.4253775,12332.2,12325.2,12141.2,12058,11959
667.0422493,12642,12578.4,12430.6,12272.6,12207
