Wavelength,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5,AAB_AS_750_5_5_H_S1_I1,AAB_AS_750_5_5_H_S1_I2,AAB_AS_750_5_5_H_S1_I3,AAB_AS_750_5_5_H_S1_I4,AAB_AS_750_5_5_H_S1_I5
341.6273391,-43.05383,-220.09703,-26.60329,-7.69296,-26.1113,-4.705421792,-132.1277666,11.23484142,2.110199602,-52.30785654
346.7337659,8.48802,56.3739,34.86489,168.60234,36.99976,-43.18125678,39.46024308,-12.03237886,134.1987068,-25.79379299
351.8323672,106.07774,72.75715,105.28277,359.18131,319.95939,-16.81915227,59.09438774,1.181457572,241.8218019,7.035931828
356.9231558,133.95895,77.10513,225.85219,430.93827,341.14354,4.455522169,10.41300343,44.08857214,259.5088378,27.25796905
362.006145,142.62454,46.71327,187.24059,251.71315,251.80558,21.35093833,-11.00138627,113.1180686,214.9169468,27.89020733
367.0813476,106.05572,-51.58192,261.53486,230.16847,353.68534,22.50717641,5.009458739,194.7243587,225.9600328,28.4050913
372.1487766,46.57055,42.73868,368.45066,370.0092,362.95677,35.78116556,55.41595396,261.3403507,337.9390062,64.8988544
377.2084451,198.00309,20.5974,316.07331,413.46524,362.89452,205.9641557,167.6073643,382.5881035,535.1678398,192.4407727
382.2603658,430.90344,320.96211,552.8224,624.93851,573.4199,486.8424519,428.7509846,648.2736887,804.2595215,422.8924443
387.3045517,612.36737,589.31934,920.67295,889.50546,871.67305,719.2265258,791.7617932,925.4466552,1038.233343,643.6363539
392.3410158,798.71901,783.85522,973.74553,957.29373,1013.92162,802.7515284,860.0564346,975.2883022,1062.260691,697.5751542
397.3697707,679.38611,524.23869,786.68916,776.22315,818.44223,636.3424132,540.4749241,790.3950568,860.5981322,560.479542
402.3908294,342.89099,211.11293,609.22721,486.36967,601.04457,350.1311225,313.0267658,554.910968,611.7613403,354.5148482
407.4042046,245.28568,301.9612,476.80998,408.71759,546.54065,181.3606767,237.9356367,387.5092524,456.7899587,190.4960398
412.4099091,182.04097,74.02711,331.58935,309.97656,420.38192,105.3169144,116.1872509,296.3114809,366.7750344,83.66995545
417.4079557,30.85017,34.68978,259.59325,120.52036,250.82005,52.15916483,40.61807126,236.1244004,256.7648421,16.4140035
422.3983571,9.03259,-54.22748,201.18463,38.18186,191.31843,-3.35378968,-14.28904277,161.1825999,137.3731026,-7.114266521
427.381126,29.38403,-28.31956,142.47732,21.32761,295.22645,-63.68335798,-43.70258267,109.4134953,108.0023475,11.25178303
432.356275,30.67655,114.65224,125.31566,84.4154,253.07692,33.75192059,63.94580773,137.1976833,196.0796412,38.99927557
437.3238169,-5.96203,-95.25432,18.10857,3.71439,-23.91581,168.4765161,186.3962887,172.9934199,273.2446495,43.87938356
442.2837642,-107.54131,-72.00447,-87.37944,-86.90971,-26.47663,24.11735025,97.75008547,125.1392588,223.0142471,26.24170428
447.2361296,-36.61946,48.52618,35.38349,55.71737,157.64909,-100.2922294,-36.88583577,41.71657621,93.453865,2.331367559
452.1809257,176.24268,35.85783,128.64888,31.55119,148.48697,35.24177016,7.246713395,-3.098611914,-7.277088286,-24.02687078
457.118165,148.72192,38.75347,-6.04241,-74.97987,68.53938,35.20538461,-50.47443507,2.155993885,-27.92505616,-45.43255012
462.0478601,-6.56617,-36.19769,30.88106,20.20905,2.12686,-81.9251454,-111.7467385,62.53314844,27.78241495,-32.21621892
466.9700234,-4.76548,-26.50941,115.49099,27.5062,-9.40199,-29.46547625,24.75343829,134.3959246,98.83881211,30.29057819
471.8846676,-0.28151,-4.11602,-12.4712,-32.99804,39.00471,35.5504714,30.49675988,164.0635063,132.5645027,117.146868
476.791805,9.30917,-10.75361,-10.35311,-11.10186,-5.26876,106.524657,88.21086968,214.8441455,167.3688073,201.4827861
481.6914482,128.25899,132.17121,76.24253,-21.84349,-15.43801,263.0046533,291.5252742,336.7730883,241.9616031,271.2661933
486.5836095,196.26019,187.11981,162.03867,89.95582,97.05098,313.4916881,291.2636598,420.1331129,306.1285148,305.1246947
491.4683014,193.80398,187.59393,195.67424,184.98809,117.4272,251.6160262,235.3289493,361.6017315,308.8898034,287.001087
496.3455362,157.17853,153.91101,18.47327,79.35079,40.75235,189.7350343,170.3476802,239.6641991,280.8341147,242.1675619
501.2153264,80.04848,-9.14031,-32.42899,115.09081,-8.40853,135.4792548,50.05561498,194.8144729,262.6562501,209.8091402
506.0776843,47.24931,55.56522,33.68282,106.62184,20.97032,104.707439,48.46162491,215.1557194,230.6328694,183.8814234
510.9326222,35.45099,-46.80093,5.43381,-15.24926,46.80314,56.98842976,20.81868887,190.2332788,168.2416604,137.132052
515.7801525,38.99035,64.39896,-21.7896,54.18,-48.60434,17.829629,-39.17420463,130.3970661,121.0287426,96.18529745
520.6202874,64.71692,10.50891,-26.38912,52.2737,-4.16363,44.04888859,18.50358888,130.5282466,113.5956765,111.253798
525.4530392,-0.52693,72.09457,34.42708,-18.56276,149.97861,8.488316162,31.85275673,170.073281,109.2443358,157.7948158
530.2784201,-32.23172,8.70444,48.19188,23.48938,103.44884,-50.06639104,-2.078894745,162.794865,75.01892615,158.4432163
535.0964424,85.50797,126.59395,15.24798,18.72256,83.76659,44.87332828,15.90133678,127.5659513,25.42018342,93.05074942
539.9071183,74.43923,-6.12943,22.06766,-53.5229,36.70867,82.96858785,-0.113255672,134.7626298,19.55368945,22.66214017
544.7104599,-69.11789,-49.13484,34.41953,-16.2706,-73.88864,-19.44994291,-1.908812697,175.4805977,105.1957137,17.86915663
549.5064796,-11.11367,159.39292,3.3344,95.22519,-1.81907,101.9217481,120.6895079,179.1810399,206.3919036,77.00143266
554.2951893,89.40135,-120.70771,-103.30813,17.82775,43.63205,248.2874309,140.1610329,101.9893411,163.7263285,113.8617936
559.0766013,-6.61936,47.49125,-45.10146,-46.09763,140.4673,-4.75108048,-81.08791116,3.644962161,-4.388903983,64.68309904
563.8507276,-25.6671,99.3736,111.08862,48.43859,182.80922,-175.1139179,-63.0488882,-2.077476211,-81.9206037,-18.43028048
568.6175804,24.55653,199.88341,62.44952,-8.6197,-26.72224,42.91971051,196.4829716,78.27934159,-7.652231071,-45.6890338
573.3771717,-3.04687,-59.94202,-36.94464,-97.21333,-22.06536,176.3826988,115.0846129,147.7932846,52.89067859,-7.353354992
578.1295137,143.4943,38.10242,120.19443,-19.07259,125.94588,155.6416614,-9.462568072,192.8044683,25.41230636,49.40146914
582.8746182,220.4274,150.35187,307.76626,43.13706,195.28245,138.5247037,118.099863,223.6037527,-2.792765412,93.34245612
587.6124974,41.35584,122.79455,204.86497,50.45265,265.33799,40.70465664,97.90542821,201.4149208,19.92028577,112.3113406
592.3431633,71.87936,113.31609,176.78677,102.70851,243.21187,-9.478358128,56.80308037,162.3730671,73.61581261,99.72497809
597.0666279,110.6852,165.36757,213.41941,120.60399,172.26915,32.20922338,124.3022685,186.7529871,116.2724041,64.00241659
601.7829031,8.44213,-3.55016,203.04156,102.56888,125.01742,12.8857609,27.62708997,232.9958819,89.68769931,26.50620767
606.4920009,179.39639,61.05863,380.51131,136.25336,222.1846,-9.967692282,-58.92042678,223.0175107,7.723327872,9.135368709
611.1939332,233.34998,208.10077,325.5257,88.37828,250.88798,5.80430754,6.119050837,209.1203867,-20.5041899,18.10094966
615.888712,-10.87341,-46.85034,144.6045,-5.84006,51.6692,2.855718291,57.23940911,248.2650782,24.95000992,28.35647992
620.5763491,21.89056,21.0479,263.34387,32.60363,76.91011,-6.822952481,30.3812525,245.1425751,34.52973532,8.990159976
625.2568564,192.36482,66.54947,246.86975,84.08733,152.96202,-7.402664479,-57.79555774,141.5418463,-7.024402176,-25.14755134
629.9302459,111.23323,6.20687,26.23907,35.28855,8.34949,14.8057237,-42.69994088,70.21372439,6.907938644,-29.68276472
634.5965293,29.04764,-15.17799,32.91624,32.00734,19.30784,43.92410491,57.9614776,106.8289927,78.46712231,-2.168115549
639.2557185,101.60911,65.18583,166.42914,101.3295,90.48808,48.58837436,61.47695231,134.1292996,96.47890642,21.43904222
643.9078254,44.0919,39.27657,15.49567,4.92933,-17.50112,17.16455456,18.12424051,102.9061622,35.70407192,31.59330042
648.5528617,-66.75226,-132.07791,-39.62987,-110.07991,-19.4718,-26.82572499,-13.99341306,113.2246502,-22.7580086,38.85679078
653.1908392,41.5647,89.2834,219.38942,-8.90742,103.48371,-0.167355275,11.68319635,165.2330972,-29.55858681,28.31749558
657.8217697,67.42153,27.87049,128.56626,7.82281,17.94533,20.54417447,29.23840891,140.5293148,-11.08189707,-12.21053175
662.4456649,-79.8054,-95.91261,-66.84079,-48.4623,-108.86984,-78.69226651,-70.92034736,41.76607706,1.022794709,-47.67017492
667.0625366,-44.37217,9.06806,19.5381,36.03108,-8.78658,-97.92189008,-76.52218789,-14.98836154,5.980206362,-39.51034716
671.6723966,88.52652,7.19292,-23.03084,4.99827,41.81093,54.34331736,32.40800897,-4.113403053,-3.193218395,-10.03401356
676.2752565,113.22322,31.47501,-60.1385,-71.49492,-21.07451,102.1215313,-10.07281211,15.48499065,-31.62575217,-5.521965042
680.8711281,89.39656,-43.32414,73.61493,34.04642,36.76513,-6.734371451,-84.24429603,32.3205802,-36.06817271,-19.84783704
685.4600229,34.51997,128.57371,60.64366,34.23113,39.16404,-41.79682122,-4.156782902,70.85938584,20.72761734,-12.96046244
690.0419528,-23.06226,-65.30183,-4.23235,4.70747,-36.48778,-2.991181848,50.49906892,115.5854313,80.67451578,16.05924394
694.6169293,-4.30647,64.13522,29.53115,47.70827,27.33189,0.433632575,17.31074023,124.4328955,60.32545694,29.4056003
699.1849641,58.14105,3.79975,40.33538,-35.78627,61.97595,-2.974955339,3.920912356,92.62354337,0.770722137,18.52534198
703.7460688,45.78022,17.87732,16.70487,-6.8704,-10.38929,7.909083536,23.57445917,84.54766484,29.37800196,27.65021265
708.300255,19.09201,49.89192,-22.31815,76.71551,-9.41461,63.22426066,88.8720063,171.0058521,165.6943894,87.49504402
712.8475343,125.18495,25.77841,144.38708,158.80632,110.32802,152.2442027,150.39418,297.6473476,278.0709901,154.7334828
717.3879184,171.66409,131.66528,261.71385,227.73611,145.64268,153.2017667,128.7649853,315.7206142,260.0480578,164.3151322
721.9214187,71.91758,-12.52295,28.3014,43.40856,22.77755,78.16218539,42.81576637,201.2574865,155.4582736,120.4336157
726.4480469,26.93083,-40.37356,-8.99817,0.52973,12.04066,12.25173122,20.06140983,96.25254163,70.78481542,81.79030816
730.9678145,-22.68677,101.47465,26.09325,22.2398,43.23134,-22.85246783,127.0030785,104.0339972,56.33746022,78.46641452
735.4807329,-22.7922,35.20722,-39.40023,-83.3047,-44.45338,53.5343003,174.1065754,173.9216647,105.9694433,92.91078266
739.9868138,112.8205,17.23678,79.04591,47.51034,-23.6781,168.4674425,111.5313678,188.5706802,165.1633614,102.7558854
744.4860687,102.74077,34.83909,43.49903,130.11045,41.53636,116.8748697,99.58560207,117.3692002,153.6838618,100.0146014
748.9785089,7.16903,20.84387,-72.1962,-5.77097,13.73007,11.53975745,40.12878229,46.08568702,73.7638644,74.44032581
753.4641461,41.4968,-53.63719,21.33801,-32.30486,36.3776,21.44994825,-60.08475973,18.67527684,7.907406721,14.98067751
