Wavelength RP,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5
341.62734,-43.05383,-220.09703,-26.60329,-7.69296,-26.1113
346.73377,8.48802,56.3739,34.86489,168.60234,36.99976
351.83237,106.07774,72.75715,105.28277,359.18131,319.95939
356.92316,133.95895,77.10513,225.85219,430.93827,341.14354
362.00614,142.62454,46.71327,187.24059,251.71315,251.80558
367.08135,106.05572,-51.58192,261.53486,230.16847,353.68534
372.14878,46.57055,42.73868,368.45066,370.0092,362.95677
377.20845,198.00309,20.5974,316.07331,413.46524,362.89452
382.26037,430.90344,320.96211,552.8224,624.93851,573.4199
387.30455,612.36737,589.31934,920.67295,889.50546,871.67305
392.34102,798.71901,783.85522,973.74553,957.29373,1013.92162
397.36977,679.38611,524.23869,786.68916,776.22315,818.44223
402.39083,342.89099,211.11293,609.22721,486.36967,601.04457
407.4042,245.28568,301.9612,476.80998,408.71759,546.54065
412.40991,182.04097,74.02711,331.58935,309.97656,420.38192
417.40796,30.85017,34.68978,259.59325,120.52036,250.82005
422.39836,9.03259,-54.22748,201.18463,38.18186,191.31843
427.38113,29.38403,-28.31956,142.47732,21.32761,295.22645
432.35628,30.67655,114.65224,125.31566,84.4154,253.07692
437.32382,-5.96203,-95.25432,18.10857,3.71439,-23.91581
442.28376,-107.54131,-72.00447,-87.37944,-86.90971,-26.47663
447.23613,-36.61946,48.52618,35.38349,55.71737,157.64909
452.18093,176.24268,35.85783,128.64888,31.55119,148.48697
457.11817,148.72192,38.75347,-6.04241,-74.97987,68.53938
462.04786,-6.56617,-36.19769,30.88106,20.20905,2.12686
466.97002,-4.76548,-26.50941,115.49099,27.5062,-9.40199
471.88467,-0.28151,-4.11602,-12.4712,-32.99804,39.00471
476.79181,9.30917,-10.75361,-10.35311,-11.10186,-5.26876
481.69145,128.25899,132.17121,76.24253,-21.84349,-15.43801
486.58361,196.26019,187.11981,162.03867,89.95582,97.05098
491.4683,193.80398,187.59393,195.67424,184.98809,117.4272
496.34554,157.17853,153.91101,18.47327,79.35079,40.75235
501.21533,80.04848,-9.14031,-32.42899,115.09081,-8.40853
506.07768,47.24931,55.56522,33.68282,106.62184,20.97032
510.93262,35.45099,-46.80093,5.43381,-15.24926,46.80314
515.78015,38.99035,64.39896,-21.7896,54.18,-48.60434
520.62029,64.71692,10.50891,-26.38912,52.2737,-4.16363
525.45304,-0.52693,72.09457,34.42708,-18.56276,149.97861
530.27842,-32.23172,8.70444,48.19188,23.48938,103.44884
535.09644,85.50797,126.59395,15.24798,18.72256,83.76659
539.90712,74.43923,-6.12943,22.06766,-53.5229,36.70867
544.71046,-69.11789,-49.13484,34.41953,-16.2706,-73.88864
549.50648,-11.11367,159.39292,3.3344,95.22519,-1.81907
554.29519,89.40135,-120.70771,-103.30813,17.82775,43.63205
559.0766,-6.61936,47.49125,-45.10146,-46.09763,140.4673
563.85073,-25.6671,99.3736,111.08862,48.43859,182.80922
568.61758,24.55653,199.88341,62.44952,-8.6197,-26.72224
573.37717,-3.04687,-59.94202,-36.94464,-97.21333,-22.06536
578.12951,143.4943,38.10242,120.19443,-19.07259,125.94588
582.87462,220.4274,150.35187,307.76626,43.13706,195.28245
587.6125,41.35584,122.79455,204.86497,50.45265,265.33799
592.34316,71.87936,113.31609,176.78677,102.70851,243.21187
