Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5
341.6070517,-67.22238168,-13.61860664,-19.51073725,-39.86908815,-7.493063136
346.7134786,23.4855014,85.91923019,16.29552209,41.24440513,65.20758579
351.8120798,14.69903406,219.1191863,173.1608404,184.3042581,159.4169123
356.9028684,85.1040741,351.1151756,226.1908641,173.0129075,136.1433892
361.9858576,140.5912163,207.4217605,-9.252534332,-29.15227685,16.0605303
367.0610602,4.659707212,255.0863267,136.9979672,3.094599977,-10.60647304
372.1284892,2.889540276,177.0579427,43.0997217,87.9833387,66.56609663
377.1881577,44.4031478,211.5361811,-24.51300489,21.9836964,140.4655925
382.2400784,10.92786746,259.4421215,132.4244266,117.5896658,167.4067844
387.2842644,-4.874183081,56.08663098,-9.758580616,181.5852515,112.407423
392.3207284,16.84863777,77.3704236,-18.16241412,98.8201043,4.664894941
397.3494833,99.40500328,-6.817579255,43.85022397,39.29601928,-29.0560237
402.370542,105.4920552,34.66518221,-62.54331662,-36.03394544,60.9554006
407.3839172,195.4055771,246.1546971,-6.898661771,30.20693546,165.0004134
412.3896217,181.4221757,169.307649,189.637738,185.5624332,162.6243998
417.3876683,147.191012,274.5704458,38.33849025,95.74561481,84.98126004
422.3780697,188.0625472,242.9446023,50.40567023,-17.22089198,23.89864668
427.3608386,77.01061777,7.965785162,84.52415585,33.2084734,6.158921333
432.3359876,131.5065514,75.74384103,53.9633929,69.60278186,32.27124582
437.3035295,192.4352572,96.01505452,-0.086775684,149.0917211,42.33887051
442.2634769,-2.333710202,26.63206985,63.34003553,85.54718315,-6.037459459
447.2158423,-86.13170773,3.8494661,-141.5341223,-58.61824187,-10.71588168
452.1606383,163.7231809,98.97996092,13.8981182,24.53334172,25.08513306
457.0978776,86.70353152,-42.14960895,-15.14537431,-12.9598763,-12.6053627
462.0275727,20.32149983,-10.44863793,-127.7192389,-32.14829396,-21.17587294
466.9497361,283.3308572,355.3731655,178.0969467,150.8380472,90.14967486
471.8643802,134.6114545,256.5519427,62.32639857,124.960755,193.0167966
476.7715176,298.5104111,292.6625067,164.0070721,188.6308447,271.7609534
481.6711608,583.0124632,548.5367465,366.4566295,501.4384126,390.2698904
486.5633221,533.8679138,731.0561514,406.0581864,604.6723275,467.6689916
491.448014,649.2504461,801.9658387,378.6151704,553.8135546,462.243983
496.3252488,492.4270178,522.9995519,314.4070457,411.7988803,407.3093764
