Wavelength,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5
341.5534792,-37.2105107,-6.233696598,-37.30937703,1.874552637,19.96592335
346.659906,9.669867596,77.96041321,13.61286132,39.73733454,-49.43063254
351.7585072,10.65520952,76.8278094,67.22805916,50.1146451,37.51282347
356.8492959,-1.032750413,25.97914489,43.8337606,43.77944664,56.02928918
361.932285,40.05163792,-0.287144964,-18.3974425,22.55103971,33.77964666
367.0074876,11.01762038,-48.39768164,-24.27412558,-15.34218877,141.5979863
372.0749167,12.37583986,7.691616468,2.354390789,-14.04636517,-109.5178147
377.1345851,-95.03715081,83.93088088,21.91632828,56.00514535,-58.66772245
382.1865058,52.3632015,22.83981674,25.57819521,92.24814227,164.6617496
387.2306918,3.43555119,-2.176019384,8.170102355,22.11407836,62.85742813
392.2671558,-12.04450639,-6.713790573,-0.164669067,-39.83397103,107.5814947
397.2959107,41.31385973,23.16403215,65.26114273,10.03054666,-14.43104887
402.3169694,244.0026123,97.61720576,160.1176617,86.66607186,200.0408579
407.3303446,191.35902,57.18674838,118.1996991,85.55487341,179.7944583
412.3360492,-7.129593979,1.159511108,-3.115675044,38.66794941,-19.45549223
417.3340958,-2.378923811,-1.040480933,-32.26038684,12.35522689,32.5143522
422.3244971,9.988790628,15.89343351,-2.210360285,3.664049268,-2.808647731
427.307266,113.2372056,2.219992199,6.63735403,-4.485442528,136.0274122
432.2824151,-19.1362145,-54.08346029,-11.31286458,13.13771148,64.80471068
437.2499569,88.10522692,73.72407576,19.94536901,55.85937556,34.67278651
442.2099043,132.3930849,187.3496013,44.47948695,56.14164275,150.0581657
447.1622697,26.77702986,20.29701347,-55.44649104,0.051564789,-56.24047204
452.1070657,-170.4647121,-12.66966337,-100.9141052,-12.71126501,-143.4063628
457.044305,123.5275183,121.6965998,-22.08879484,76.87775052,54.98063319
461.9740001,-3.172470569,114.7485947,29.75266737,181.1336783,-38.8590802
466.8961635,120.0212789,134.9732485,49.73802012,190.1319344,121.8138042
471.8108076,54.19173868,127.5474985,24.4711721,130.3982174,57.34662331
476.717945,67.2284599,12.97655339,-2.785843222,125.9774107,96.49187446
481.6175882,141.9856566,144.7754273,102.1963669,213.5767037,11.64436159
486.5097495,338.447881,262.243828,185.0213368,289.0718089,205.2229402
491.3944414,55.76156967,124.0130411,100.7301363,266.0712951,53.76968087
496.2716763,67.22666092,80.7448111,46.45775891,181.3420924,49.37854835
501.1414665,-12.66353501,25.32046845,45.87873222,107.1124698,24.03391699
506.0038244,-35.55698946,27.51028315,3.104862587,54.0561978,-11.26235127
510.8587623,177.8643074,100.6794802,-3.646071394,5.282687602,44.84603558
515.7062925,-74.13098514,-52.21098668,-46.68893908,-16.39667304,-146.9574056
520.5464274,121.7363395,-21.07852742,-77.08180018,12.2242385,17.28430227
525.3791792,35.94948937,144.6901226,29.41705737,47.11977781,-87.55022064
530.2045601,22.11918024,14.77255119,32.25769058,46.51441709,67.91405557
535.0225824,-54.38456672,-13.10485311,-35.03275533,51.38656027,-12.86873432
539.8332583,119.5802549,154.5607353,33.64485734,86.05418593,165.3344705
544.6366,196.1703131,138.7758021,49.48126161,83.87198513,45.20357957
549.4326196,7.934000865,13.14111231,13.01752644,17.69745343,15.0382093
554.2213293,-1.681049479,-20.73368236,9.919742729,-31.94686152,33.71764781
559.0027413,-50.87096559,0.839885093,-62.55908547,-15.40561642,-62.57771609
563.7768676,-42.08764251,7.110415612,-58.97081401,12.98882488,23.42283245
568.5437204,47.69958463,38.19183933,14.00539663,2.839234307,98.43565984
573.3033118,35.77845482,-3.222283245,-21.27147008,-12.55551609,-44.21310342
578.0556537,15.93833393,-68.74340057,27.38403183,7.914211759,-71.99053685
582.8007583,188.368086,42.32685878,147.4171785,29.5031185,150.7211074
587.5386375,100.5374751,42.8019814,79.98151909,15.61106873,44.38613127
592.2693034,-18.11228936,-48.59251129,21.40994917,2.633403188,-7.963628445
