Wavelength,HS_AAB_P4_750_5_5_H_S3_I1,HS_AAB_P4_750_5_5_H_S3_I2,HS_AAB_P4_750_5_5_H_S3_I3,HS_AAB_P4_750_5_5_H_S3_I4,HS_AAB_P4_750_5_5_H_S3_I5
341.6070517,-33.06247135,-1.012041969,1.02640484,3.222938825,38.91478288
346.7134786,15.84642138,43.24712558,11.29981058,-8.857912038,6.578544032
351.8120798,41.76926341,64.84807007,52.94761108,-8.982389356,-2.118166178
356.9028684,19.7484409,70.44072991,-68.24199371,-13.19981875,-1.514425018
361.9858576,120.9263878,78.6772919,121.6010511,-6.882734339,-5.77819423
367.0610602,-58.22797663,91.34906297,0.442351455,18.6208487,5.787620065
372.1284892,142.5218378,98.05402423,143.6130756,40.73126588,40.76269669
377.1881577,73.47279873,94.10488532,114.898827,74.09917465,66.77325425
382.2400784,36.94532536,78.24592508,136.7295004,97.15130141,62.18017072
387.2842644,173.2041905,51.01758873,129.8887571,25.55448129,34.64432168
392.3207284,-82.91588333,31.41728191,-72.66851912,-65.36345875,1.299725928
397.3494833,31.42376905,36.06238899,31.38456019,-43.39488317,-13.11640302
402.370542,34.31525054,39.12057907,54.61081384,1.351702614,6.589929619
407.3839172,-41.14281741,17.24385712,-85.2172262,2.499159477,39.35333198
412.3896217,-23.14047629,4.760862665,42.15658585,24.19554548,41.28040306
417.3876683,48.34459979,36.43891168,61.08870453,34.34586916,5.518140089
422.3780697,31.48625863,86.53652326,-7.181639645,10.27662185,-6.705227956
427.3608386,19.35633062,116.8966596,143.3132009,23.0832245,55.59448445
432.3359876,142.96138,135.3202278,61.14734593,111.403595,148.8581857
437.3035295,164.6536578,160.4206712,147.1434989,169.1401321,187.4210465
442.2634769,142.9837075,170.2569493,106.6037144,96.70894599,152.6179471
447.2158423,67.71201037,131.1246935,-40.40654561,25.31244493,92.46498515
452.1606383,112.4361407,52.68818207,165.0490605,-9.876093563,35.9897736
457.0978776,-45.09240702,-7.151382152,-85.70503802,-67.89467996,-5.968055428
462.0275727,-33.33754011,5.369536176,-44.47199766,12.74147391,6.815473834
466.9497361,98.56818775,78.82565764,94.77611603,189.9160983,79.55894496
471.8643802,83.57432137,150.8150996,116.3425785,235.1903151,139.5744167
476.7715176,130.7741181,179.2025295,119.7416414,217.2524689,137.6161773
481.6711608,-5.431736108,165.999436,38.68059368,215.4092435,104.7476968
486.5633221,68.95491837,131.4255818,41.96240388,131.4738735,75.00624672
491.448014,35.45719507,102.9776716,61.04792514,10.43717375,42.3342262
496.3252488,39.47458652,108.612293,-35.84978502,1.843716977,23.42871542
501.195039,117.6978806,135.129052,47.88512788,69.83577275,61.06431395
506.0573969,5.107743634,120.5648973,4.182580331,70.32707867,114.2945715
510.9123349,18.99622305,47.01536195,59.6831516,-5.521992221,82.21169269
515.7598651,-96.33163556,-6.060805812,-152.4793439,-43.28522718,-7.791541851
520.6,21.95652641,23.22081861,-10.44200882,8.142132471,-17.0227239
525.4327518,152.3157957,82.28082845,151.3256631,59.75095871,70.80051701
530.2581327,106.4082445,106.2159091,36.89222591,65.65348059,135.211195
535.076155,165.3686713,119.485116,146.0676005,88.31335936,125.2983516
539.8868309,140.0281901,150.5215468,1.639406981,89.39249636,99.98182248
544.6901726,49.41177272,155.8745165,202.5553192,15.16495624,96.42715428
549.4861922,69.93045307,105.0779636,-46.53093174,-14.50578689,84.66650144
554.2749019,88.46750068,45.04898256,129.1130453,32.27129023,31.94551349
559.0563139,-12.88218211,34.0359162,5.506119059,23.99068973,-22.58026587
563.8304402,-17.82914894,71.42836306,1.591791052,-8.122953305,14.66320467
568.597293,117.3033864,103.9348187,54.87044578,32.96358048,126.2273741
573.3568844,188.1349773,90.71573985,108.8716623,68.63001229,154.1884235
578.1092263,146.0194222,58.90765599,-13.02482773,26.49546448,63.56988012
582.8543308,70.7648641,51.96926693,-35.53756592,-25.70952491,8.519661396
587.5922101,8.48300303,56.36908679,28.74752041,-28.73711543,44.21083367
592.322876,-1.16118714,53.5299921,-13.75447815,-28.31616981,62.93292777
597.0463405,-9.674166621,64.10439242,30.43386047,-14.32119025,31.40785242
601.7626157,149.2663242,76.08722633,25.59653773,76.22025863,14.00163443
606.4717135,134.9565541,47.69083024,47.39873338,112.1311748,14.31970996
611.1736458,124.3350329,4.716232568,-58.88332728,9.267062972,-4.01770509
615.8684246,72.04880216,5.122642251,-30.58487582,-45.64254957,-24.02070169
620.5560617,-31.1140667,30.18973178,-8.928052584,12.90940105,-14.41779181
625.2365691,8.774014422,24.09331684,101.9454906,63.10349411,7.731296037
629.9099585,20.2013469,-3.021197893,-24.45562468,55.94847401,6.677281862
634.5762419,112.4157505,11.2381714,130.0454679,10.88189105,-7.334195288
639.2354312,106.1702071,94.15287168,110.799459,31.67600452,17.03089969
643.887538,279.1939094,191.6143382,253.2499744,155.5350563,90.02562597
648.5325743,124.2063863,215.3434393,198.2479161,197.1149365,142.3926935
653.1705518,99.14702704,152.0420552,153.1522925,91.79275433,106.6802476
657.8014823,78.58379235,88.69299517,16.46836352,1.908417519,19.37088421
662.4253775,-8.373281428,97.54917583,-0.256695953,29.89992,-13.18783811
667.0422493,230.1257145,149.2678033,173.4100995,131.7615477,35.66688286
671.6521092,35.41207308,177.3747993,57.24641279,184.9391648,87.5813964
676.2549691,155.0295768,165.0118059,118.8748905,161.2107077,92.87335554
680.8508407,167.9640068,120.1238778,176.2022509,129.69355,64.57533047
685.4397355,32.32280575,49.0653278,53.41101728,66.21352616,12.14725441
690.0216654,-37.58421771,-0.708848752,-76.98249954,-27.69745038,-34.98840494
694.5966419,-52.29402555,20.40657297,-40.21985695,-26.11398095,-16.25492125
699.1646767,87.56872239,74.13178024,114.1432448,80.62139745,59.45922168
703.7257814,35.63025961,95.38012198,27.22458406,134.2442241,96.20612089
708.2799676,77.1430103,95.02093739,75.26265347,68.12404474,54.6014683
712.827247,30.40817721,102.6249337,179.731494,15.73558326,9.334868263
717.367631,200.6976716,93.00044521,6.059612013,39.10575477,13.06871945
721.9011314,67.17844671,46.86729639,94.66987574,14.36576525,23.22058716
726.4277595,-74.22466537,0.692154585,-69.4020003,-44.75571642,2.642328213
730.9475271,89.97033966,-8.518747655,43.68694058,-15.63994021,-20.53461775
735.4604456,6.184093499,16.48636332,-40.95761149,64.58328051,-12.1783831
739.9665264,38.23578624,57.22367466,92.38330483,109.1898973,17.72697762
744.4657813,119.412552,89.85298252,55.75395027,82.352173,43.65209678
748.9582215,143.8278267,84.15600834,53.84342287,25.56000066,61.82051678
