Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5,HS_AAB_P2_750_5_5_H_S3_I1,HS_AAB_P2_750_5_5_H_S3_I2,HS_AAB_P2_750_5_5_H_S3_I3,HS_AAB_P2_750_5_5_H_S3_I4,HS_AAB_P2_750_5_5_H_S3_I5
341.6070517,-149.2047896,-31.8003881,-18.72178926,-40.01876736,-43.99358146,-67.22238168,-13.61860664,-19.51073725,-39.86908815,-7.493063136,-37.2105107,-6.233696598,-37.30937703,1.874552637,19.96592335,-79.66543953,-54.21635143,1.289719507,-0.240421177,-14.03238427
346.7134786,56.52536574,184.5185076,162.5526002,147.5125645,112.4558804,23.4855014,85.91923019,16.29552209,41.24440513,65.20758579,9.669867596,77.96041321,13.61286132,39.73733454,-49.43063254,2.234239512,12.75137905,50.42736562,100.4399678,-10.65578012
351.8120798,67.70773898,316.6875107,288.0964243,277.3758974,261.6601425,14.69903406,219.1191863,173.1608404,184.3042581,159.4169123,10.65520952,76.8278094,67.22805916,50.1146451,37.51282347,27.27706198,14.78729869,39.3991304,176.7107617,2.118561813
356.9028684,206.5799173,517.4041172,315.4777843,325.7186185,266.1889164,85.1040741,351.1151756,226.1908641,173.0129075,136.1433892,-1.032750413,25.97914489,43.8337606,43.77944664,56.02928918,44.3002004,4.866898064,27.92693587,214.4574225,12.44142099
361.9858576,235.3352964,342.1965791,256.1955642,81.97982835,107.4010233,140.5912163,207.4217605,-9.252534332,-29.15227685,16.0605303,40.05163792,-0.287144964,-18.3974425,22.55103971,33.77964666,41.49944114,19.19282259,80.1719591,221.984957,17.52193729
367.0610602,59.91520602,324.8270155,167.7869463,32.46513979,34.0502455,4.659707212,255.0863267,136.9979672,3.094599977,-10.60647304,11.01762038,-48.39768164,-24.27412558,-15.34218877,141.5979863,31.31879181,15.03201902,147.1771376,222.6660211,46.29183743
372.1284892,27.73267714,221.2951008,94.42276559,101.0207157,80.068411,2.889540276,177.0579427,43.0997217,87.9833387,66.56609663,12.37583986,7.691616468,2.354390789,-14.04636517,-109.5178147,177.3769618,-3.936866759,164.2784028,227.2180187,112.9515623
377.1881577,41.5046936,219.9686438,44.66563096,-43.26621904,101.2915495,44.4031478,211.5361811,-24.51300489,21.9836964,140.4655925,-95.03715081,83.93088088,21.91632828,56.00514535,-58.66772245,167.8301494,15.6890204,139.8515873,221.906964,166.9269006
382.2400784,-28.85912868,190.5726985,14.66238973,15.53750878,86.26544103,10.92786746,259.4421215,132.4244266,117.5896658,167.4067844,52.3632015,22.83981674,25.57819521,92.24814227,164.6617496,117.6512186,55.86708512,82.52989233,189.0086735,142.0355681
387.2842644,-70.32933028,29.38818219,5.266558175,46.13277745,26.69617626,-4.874183081,56.08663098,-9.758580616,181.5852515,112.407423,3.43555119,-2.176019384,8.170102355,22.11407836,62.85742813,158.3935113,44.75624268,23.16121796,132.7996902,54.61963625
392.3207284,59.54543363,46.44161477,16.52455624,30.70307446,-4.600873369,16.84863777,77.3704236,-18.16241412,98.8201043,4.664894941,-12.04450639,-6.713790573,-0.164669067,-39.83397103,107.5814947,-59.47172351,-11.01396979,60.94331554,80.72797094,-5.304046926
397.3494833,171.7777948,134.0547685,44.43335103,43.35082832,27.01504399,99.40500328,-6.817579255,43.85022397,39.29601928,-29.0560237,41.31385973,23.16403215,65.26114273,10.03054666,-14.43104887,-65.13644663,-29.07282266,148.8159529,57.58241253,9.881185086
402.370542,178.1527419,36.88692156,91.49949034,-85.83134192,110.7741453,105.4920552,34.66518221,-62.54331662,-36.03394544,60.9554006,244.0026123,97.61720576,160.1176617,86.66607186,200.0408579,67.228021,13.1929769,113.4542014,62.89000107,64.48667083
407.3839172,304.5006502,415.7883385,151.7457709,53.97262541,274.7258569,195.4055771,246.1546971,-6.898661771,30.20693546,165.0004134,191.35902,57.18674838,118.1996991,85.55487341,179.7944583,-12.26139662,52.36022647,26.47082551,79.23358863,116.8958218
412.3896217,299.6207832,279.1034153,193.547705,211.6052813,307.2796615,181.4221757,169.307649,189.637738,185.5624332,162.6243998,-7.129593979,1.159511108,-3.115675044,38.66794941,-19.45549223,33.09963071,43.17222314,63.93844223,95.23556632,147.8263005
417.3876683,206.5715915,363.0517269,204.7308352,51.20914116,164.7647095,147.191012,274.5704458,38.33849025,95.74561481,84.98126004,-2.378923811,-1.040480933,-32.26038684,12.35522689,32.5143522,19.24573278,16.05688055,148.1705336,110.7032148,134.5286004
422.3780697,219.8738103,333.7611872,207.1996796,-40.83219892,128.5592588,188.0625472,242.9446023,50.40567023,-17.22089198,23.89864668,9.988790628,15.89343351,-2.210360285,3.664049268,-2.808647731,-13.29921038,27.92376452,162.5163285,126.7256172,93.19785132
427.3608386,188.355737,146.8435128,186.6247216,55.8371004,208.8578096,77.01061777,7.965785162,84.52415585,33.2084734,6.158921333,113.2372056,2.219992199,6.63735403,-4.485442528,136.0274122,42.8931859,81.70135863,154.9765259,142.775145,88.54350006
432.3359876,176.9208206,205.6852468,103.9217398,80.05602403,166.3219816,131.5065514,75.74384103,53.9633929,69.60278186,32.27124582,-19.1362145,-54.08346029,-11.31286458,13.13771148,64.80471068,37.24661667,122.8524538,184.6033619,157.5993586,140.2954794
437.3035295,-14.15046369,-49.64876648,2.499562554,-103.0921816,-19.50388828,192.4352572,96.01505452,-0.086775684,149.0917211,42.33887051,88.10522692,73.72407576,19.94536901,55.85937556,34.67278651,82.34796961,107.6586999,234.4059027,161.8121469,194.3561972
442.2634769,-211.4011549,-93.4936827,-15.24472513,-140.2873026,-19.94604835,-2.333710202,26.63206985,63.34003553,85.54718315,-6.037459459,132.3930849,187.3496013,44.47948695,56.14164275,150.0581657,11.27368687,42.16068598,263.4439336,138.5786824,196.449401
447.2158423,-1.077788043,168.1823294,66.19396404,26.14865378,201.3802069,-86.13170773,3.8494661,-141.5341223,-58.61824187,-10.71588168,26.77702986,20.29701347,-55.44649104,0.051564789,-56.24047204,-5.950848452,-24.93739767,241.952891,85.2137748,133.7864798
452.1606383,153.6020928,199.702676,158.5620328,22.38288254,280.5827792,163.7231809,98.97996092,13.8981182,24.53334172,25.08513306,-170.4647121,-12.66966337,-100.9141052,-12.71126501,-143.4063628,40.3366258,-45.01798608,126.3012483,27.89531521,35.80361864
457.0978776,53.76401877,-11.65033365,196.4152136,4.44863687,218.6469012,86.70353152,-42.14960895,-15.14537431,-12.9598763,-12.6053627,123.5275183,121.6965998,-22.08879484,76.87775052,54.98063319,-94.820226,-18.23937829,-3.330464434,2.05394023,-26.94859217
462.0275727,48.27571679,149.4367967,194.315048,26.59658041,192.5295593,20.32149983,-10.44863793,-127.7192389,-32.14829396,-21.17587294,-3.172470569,114.7485947,29.75266737,181.1336783,-38.8590802,-54.43323983,20.6069462,54.11372335,16.73678313,-1.928858792
466.9497361,36.70651511,147.120514,189.5063384,-1.703913888,216.6478022,283.3308572,355.3731655,178.0969467,150.8380472,90.14967486,120.0212789,134.9732485,49.73802012,190.1319344,121.8138042,67.95777048,47.12454903,219.3418978,46.70929934,75.16150386
471.8643802,-52.4270026,203.6056631,205.3145959,14.03789566,270.7674445,134.6114545,256.5519427,62.32639857,124.960755,193.0167966,54.19173868,127.5474985,24.4711721,130.3982174,57.34662331,118.2720923,64.8867089,238.7413393,63.12801064,133.5607402
476.7715176,23.74914958,32.65536583,266.4689539,20.31979423,283.8668997,298.5104111,292.6625067,164.0070721,188.6308447,271.7609534,67.2284599,12.97655339,-2.785843222,125.9774107,96.49187446,184.4642365,91.04540342,151.9323337,60.85100929,159.7454328
481.6711608,150.027754,232.2673462,379.8399059,209.7007201,333.5026877,583.0124632,548.5367465,366.4566295,501.4384126,390.2698904,141.9856566,144.7754273,102.1963669,213.5767037,11.64436159,157.8753718,113.7748771,118.6347602,52.25415833,166.2775395
486.5633221,238.6914035,443.6746706,489.5643267,425.8056281,448.5715092,533.8679138,731.0561514,406.0581864,604.6723275,467.6689916,338.447881,262.243828,185.0213368,289.0718089,205.2229402,89.02227657,91.69896055,130.1763111,51.3260572,136.0025515
491.448014,320.7778335,539.4244112,509.4254535,403.152282,474.8216968,649.2504461,801.9658387,378.6151704,553.8135546,462.243983,55.76156967,124.0130411,100.7301363,266.0712951,53.76968087,37.15400348,28.05296581,130.3205828,68.84607407,74.06750197
496.3252488,199.6586632,260.8718384,425.0737956,269.643424,427.6110862,492.4270178,522.9995519,314.4070457,411.7988803,407.3093764,67.22666092,80.7448111,46.45775891,181.3420924,49.37854835,27.89173035,-3.2937489,128.7050437,103.4110009,40.4676555
501.195039,21.44478379,124.2259061,324.9832829,121.5936382,321.6630833,301.8270432,419.02064,51.16673803,226.096867,302.2790991,-12.66353501,25.32046845,45.87873222,107.1124698,24.03391699,44.23158949,41.76578771,162.0540729,128.243936,61.64480262
506.0573969,3.483772328,74.95089627,298.2918626,81.58303056,207.7752241,319.957337,328.0410982,183.6103494,213.9423113,235.0113423,-35.55698946,27.51028315,3.104862587,54.0561978,-11.26235127,74.20506305,98.42583443,188.8867506,107.2081092,81.56959757
