file,type,concentration_M,concentration_label,replicate,accumulation
blank_rep1_acc1.csv,blank,0,Blank,1,1
blank_rep1_acc2.csv,blank,0,Blank,1,2
blank_rep1_acc3.csv,blank,0,Blank,1,3
blank_rep1_acc4.csv,blank,0,Blank,1,4
blank_rep1_acc5.csv,blank,0,Blank,1,5
blank_rep2_acc1.csv,blank,0,Blank,2,1
blank_rep2_acc2.csv,blank,0,Blank,2,2
blank_rep2_acc3.csv,blank,0,Blank,2,3
blank_rep2_acc4.csv,blank,0,Blank,2,4
blank_rep2_acc5.csv,blank,0,Blank,2,5
blank_rep3_acc1.csv,blank,0,Blank,3,1
blank_rep3_acc2.csv,blank,0,Blank,3,2
blank_rep3_acc3.csv,blank,0,Blank,3,3
blank_rep3_acc4.csv,blank,0,Blank,3,4
blank_rep3_acc5.csv,blank,0,Blank,3,5
4ATP_1mM_rep2_acc1.csv,sample,0.001,1mM,2,1
4ATP_1mM_rep2_acc2.csv,sample,0.001,1mM,2,2
4ATP_1mM_rep2_acc3.csv,sample,0.001,1mM,2,3
4ATP_1mM_rep2_acc4.csv,sample,0.001,1mM,2,4
4ATP_1mM_rep2_acc5.csv,sample,0.001,1mM,2,5
4ATP_1mM_rep3_acc1.csv,sample,0.001,1mM,3,1
4ATP_1mM_rep3_acc2.csv,sample,0.001,1mM,3,2
4ATP_1mM_rep3_acc3.csv,sample,0.001,1mM,3,3
4ATP_1mM_rep3_acc4.csv,sample,0.001,1mM,3,4
4ATP_1mM_rep3_acc5.csv,sample,0.001,1mM,3,5
4ATP_100uM_rep1_acc1.csv,sample,0.0001,100µM,1,1
4ATP_100uM_rep1_acc2.csv,sample,0.0001,100µM,1,2
4ATP_100uM_rep1_acc3.csv,sample,0.0001,100µM,1,3
4ATP_100uM_rep1_acc4.csv,sample,0.0001,100µM,1,4
4ATP_100uM_rep1_acc5.csv,sample,0.0001,100µM,1,5
4ATP_100uM_rep2_acc1.csv,sample,0.0001,100µM,2,1
4ATP_100uM_rep2_acc2.csv,sample,0.0001,100µM,2,2
4ATP_100uM_rep2_acc3.csv,sample,0.0001,100µM,2,3
4ATP_100uM_rep2_acc4.csv,sample,0.0001,100µM,2,4
