Ramanshift[cm-1],Intensity
-93.47115107,22962
-87.69374369,20798
-81.9253076,20536.2
-76.16582701,20992
-70.41528615,20979.4
-64.67366933,20466.4
-58.94096086,20438.4
-53.21714512,20567.8
-47.50220652,20777
-41.79612954,21146.4
-36.09889866,21491.2
-30.41049843,21631.2
-24.73091343,21054.2
-19.0601283,21030.6
-13.39812769,20748.4
-7.744896327,20533.8
-2.100418946,20162.8
3.535319659,21029.2
9.162334658,20130.4
14.78064118,20651.6
20.39025432,20021.4
25.99118913,20243.4
31.58346061,20820.4
37.16708375,20547.8
42.74207347,19976.4
48.30844468,20043.4
53.86621222,19635.2
59.41539093,19209.4
64.95599558,19212.6
70.48804091,19874.8
76.01154164,20051.4
81.52651243,19025.6
87.03296792,19816.8
92.5309227,20393.8
98.02039134,19351.4
103.5013884,19676.4
108.9739282,19411.6
114.4380255,19539
119.8936944,19593.8
125.3409495,21051.6
130.779805,19171.2
136.2102753,18875.8
141.6323747,18954.6
147.0461174,19963
152.4515176,19123.6
157.8485895,19057.4
163.2373472,18928.2
168.6178049,19353
173.9899766,19866.6
179.3538764,19161
184.7095182,19189.2
190.0569161,19543.2
195.396084,19726.8
200.7270358,18650.2
206.0497854,18834
211.3643466,18298.2
216.6707333,18948.2
221.9689593,18534
227.2590382,18670.4
232.5409839,18583.6
237.8148101,18581.2
243.0805303,18729.8
248.3381582,18675.4
253.5877075,18472.6
258.8291917,18752
264.0626244,18761.8
269.288019,19264.4
274.5053891,19190.2
279.7147481,18825
284.9161094,18629.8
290.1094865,19508.2
295.2948927,21780.8
300.4723414,26783.2
305.6418459,32080.4
310.8034194,37257.8
315.9570752,41112.4
321.1028267,41964.6
326.2406869,41961.2
331.370669,42656
336.4927863,42909.4
341.6070517,43210.6
346.7134786,43572
351.8120798,43939.8
356.9028684,43492.8
361.9858576,43560.4
367.0610602,43992.8
372.1284892,43281
377.1881577,44155
382.2400784,44487
387.2842644,45382.6
392.3207284,46907
397.3494833,46161.4
402.370542,46118
407.3839172,45406
412.3896217,45039.8
