Ramanshift[cm-1],Intensity
-93.52472366,9167
-87.74731628,8259.4
-81.97888019,8185.4
-76.2193996,8234.2
-70.46885874,8205.6
-64.72724191,8154
-58.99453344,8126.8
-53.2707177,8246.8
-47.55577911,8425.6
-41.84970212,8211.8
-36.15247124,8607.4
-30.46407101,8756.4
-24.78448602,8395
-19.11370089,8528
-13.45170028,8399.8
-7.798468914,8090.6
-2.153991534,8076.6
3.481747071,8556
9.10876207,8035.2
14.72706859,8305.2
20.33668173,8035.8
25.93761654,8024.6
31.52988803,8458.2
37.11351116,8299.8
42.68850089,8173.4
48.25487209,8190
53.81263964,8060.4
59.36181834,7866.4
64.90242299,7847.4
70.43446832,8079.6
75.95796905,8185.4
81.47293984,7822.2
86.97939533,8046
92.47735012,8244
97.96681875,7875.6
103.4478158,8040.4
108.9203557,7927.4
114.3844529,7964
119.8401218,8021
125.2873769,8636.2
130.7262324,7910
136.1567027,7714.4
141.5788021,7780
146.9925448,8135.4
152.397945,7937.2
157.7950169,7954.4
163.1837747,7846
168.5642323,7997.6
173.936404,8263.4
179.3003038,7842
184.6559456,7912.4
190.0033435,8116.2
195.3425114,8207.6
200.6734632,7850.8
205.9962128,7879
211.310774,7677.4
216.6171607,7967
221.9153867,7675.2
227.2054656,7870.2
232.4874113,7810
237.7612375,7819.4
243.0269577,7871.6
248.2845856,7851
253.5341349,7689.6
258.7756191,7788
264.0090518,7894
269.2344464,7936
274.4518165,8019.6
279.6611755,7854.2
284.8625368,7731
290.0559139,7864.2
295.2413201,8459.4
300.4187688,9695.8
305.5882733,10543.2
310.7498468,11383.6
315.9035027,12251.4
321.0492541,12393.8
326.1871143,12507
331.3170964,12632.2
336.4392137,12727.8
341.5534792,12780.8
346.659906,12670.8
351.7585072,12881.4
356.8492959,12685.8
361.932285,12712.8
367.0074876,12876.2
372.0749167,12713.6
377.1345851,12996
382.1865058,12662.2
387.2306918,12586
392.2671558,12678.2
397.2959107,12470.8
402.3169694,12707.8
407.3303446,12597.4
412.3360492,12554.4
417.3340958,12230.4
422.3244971,12338
427.307266,12594.8
432.2824151,12757.6
437.2499569,12858.6
442.2099043,12864.2
447.1622697,12411
452.1070657,12463.8
457.044305,12564.6
461.9740001,12180.2
466.8961635,12442.6
471.8108076,12104.2
476.717945,12349.8
481.6175882,12289.6
486.5097495,12522.2
491.3944414,12381
496.2716763,12291.4
501.1414665,12388.6
506.0038244,12568.6
510.8587623,12244.2
515.7062925,12070
520.5464274,12234.8
525.3791792,12211.4
530.2045601,12308.4
535.0225824,11949.4
539.8332583,12172.6
544.6366,12272
549.4326196,12002.2
554.2213293,12586.6
559.0027413,11959.6
563.7768676,11825.8
568.5437204,12523.4
573.3033118,12231.4
578.0556537,12051.2
582.8007583,12301.8
587.5386375,12225.4
592.2693034,11972.6
596.9927679,12090.6
601.7090431,12336.4
606.4181409,12008
611.1200732,12017.6
615.814852,12023.4
620.5024891,12197.6
625.1829965,11916.4
629.8563859,12290
634.5226693,12477.6
639.1818586,11937.8
643.8339654,11978.4
648.4790017,11859.4
653.1169792,11756.6
657.7479097,11868.6
662.3718049,11560.2
666.9886767,11784.4
671.5985366,11777.4
676.2013965,11848.2
680.7972681,11821.8
685.386163,11712
689.9680928,11885.6
694.5430693,11670
699.1111041,11990.2
703.6722088,11742.4
708.226395,11844
712.7736744,11918.8
717.3140584,11835
721.8475588,11721.4
726.3741869,11324
730.8939545,11796
735.406873,11699
739.9129539,11957.6
744.4122087,11615.6
748.9046489,11590.8
753.3902861,11235.8
757.8691316,11219.8
762.341197,11593.8
766.8064936,11277.6
771.265033,12147
775.7168264,11468.6
780.1618854,11722.4
784.6002213,11203.6
789.0318455,11211.8
793.4567694,11199.4
797.8750043,11562.2
802.2865616,11070.4
806.6914527,11259.2
811.0896888,11178.8
815.4812812,11180.8
819.8662414,10952.4
824.2445805,11087.2
828.6163098,11358
832.9814407,11013
837.3399844,10928
841.6919522,11121.8
846.0373552,11008.8
850.3762048,10937.8
854.7085122,10913.2
859.0342885,11268
863.353545,10753
867.6662929,11113.6
871.9725434,11215.6
876.2723076,11528.8
880.5655967,11166.2
884.852422,11111.8
889.1327944,11504.4
893.4067253,10701.2
897.6742257,10694.8
901.9353067,10938
906.1899795,11166.6
910.4382551,10768.8
914.6801448,10767
918.9156596,10625.4
923.1448105,11107.2
927.3676087,10737
931.5840652,11252.2
935.7941911,10900.6
939.9979975,10911.6
944.1954954,11015.6
948.3866958,10509.8
952.5716099,11053.2
956.7502486,10825
960.9226229,11155.6
965.088744,10904
969.2486227,10841.2
973.4022701,10815.4
977.5496973,10686
981.6909151,10815.4
985.8259346,10765.2
989.9547668,10793.2
994.0774227,10507
998.1939132,10845
1002.304249,10278.6
1006.408442,10740
1010.506502,10561.2
1014.598441,10748.8
1018.684269,10974.8
1022.763997,10658
1026.837637,10616
1030.905199,10435
1034.966694,10829.4
1039.022133,10497.6
1043.071527,10348.6
1047.114887,10550.4
1051.152224,10441.6
1055.183549,10295
1059.208872,10397.8
1063.228205,10171
1067.241558,10106.8
1071.248943,10619.6
1075.250369,10355.8
1079.245849,10804.4
1083.235393,10445.6
1087.219012,10471.4
1091.196717,10548.4
1095.168518,10688.6
1099.134427,10460.8
1103.094454,10489.4
1107.04861,10394.6
1110.996907,10520.6
1114.939354,10479.2
1118.875963,10494.8
1122.806745,10595.6
1126.731711,10163.4
1130.650871,10026.2
1134.564236,10592.8
1138.471817,10428.2
1142.373625,10418
1146.269671,10438.6
1150.159966,10288.6
1154.04452,10517
1157.923344,10144
1161.79645,10064.8
1165.663848,10402.4
1169.525549,10177.6
1173.381563,10296.2
1177.231902,9769.8
1181.076576,9888
1184.915596,10203.8
1188.748974,10172.8
1192.576719,9955.8
1196.398844,9836
1200.215357,9927.2
1204.026272,9709.4
1207.831597,9534.8
1211.631345,9978.2
1215.425525,9671
1219.21415,10690.8
1222.997229,9742.8
1226.774773,9714.6
1230.546794,9904.2
1234.313302,9857.8
1238.074307,9708.6
1241.829822,9768.6
1245.579857,9863.6
1249.324421,9835.8
1253.063528,9414
1256.797186,9672.8
1260.525408,9720
1264.248204,9726.6
1267.965584,9635.2
1271.67756,9604.4
1275.384142,9374.4
1279.085342,9766.2
1282.781171,9851.6
1286.471638,9627.2
1290.156755,9565.2
1293.836533,9651.4
1297.510983,9960.2
1301.180115,9424.4
1304.843941,9616.4
1308.502471,9737.4
1312.155716,9725.6
1315.803688,9377.2
1319.446396,9444.2
1323.083853,9908.2
1326.716068,9562.6
1330.343053,9935.6
1333.964818,9600.2
1337.581375,9658.2
1341.192735,9521.8
1344.798907,9417
1348.399904,9309.4
1351.995736,9357.6
1355.586415,9322.4
1359.17195,9659
1362.752353,9457.6
1366.327635,9548.8
1369.897807,9564.6
1373.462879,9658.6
1377.022864,9648.2
1380.577771,9524.6
1384.127611,9346.2
1387.672397,9430.6
1391.212137,9205.8
1394.746845,9147.2
1398.27653,9241.4
1401.801203,9422.2
1405.320876,9393.4
1408.835559,9108
1412.345264,8921.6
1415.850001,9191.2
1419.349782,9571.2
1422.844618,9193.4
1426.334519,9184.8
1429.819496,9457.4
1433.299561,9057
1436.774725,9070.8
1440.244998,9299
1443.710393,9160.8
1447.170919,9039.4
1450.626588,9146
1454.07741,9364.4
1457.523398,9377.2
1460.964562,9330.8
1464.400914,9441.2
1467.832463,9117.6
1471.259222,9114
1474.681201,8907.4
1478.098412,9312.8
1481.510866,9148.8
1484.918574,9151.6
1488.321546,8894.2
1491.719795,9199.6
1495.113332,9512.8
1498.502166,9112.4
1501.886311,9146.4
1505.265776,8691.2
1508.640573,9133
1512.010714,9090
1515.376209,8951
1518.737069,8955.2
1522.093306,9091
1525.444932,8822.6
1528.791957,8786.6
1532.134392,9271
1535.472249,8970.6
1538.805539,8977.6
1542.134274,9323.6
1545.458464,8753.4
