Ramanshift[cm-1],Intensity,,,,,,,,
-93.47115107,14440,,,,,,,, 
-87.69374369,13114,,,,,,,,
-81.9253076,12977.6,,,,,,,,
-76.16582701,13121.4,,,,,,,,
-70.41528615,13229.8,,,,,,,,
-64.67366933,12864.2,,,,,,,,
-58.94096086,12904.4,,,,,,,,
-53.21714512,12987.2,,,,,,,,
-47.50220652,13287.6,,,,,,,,
-41.79612954,13289.2,,,,,,,,
-36.09889866,13547.6,,,,,,,,
-30.41049843,13733.2,,,,,,,,
-24.73091343,13410.4,,,,,,,,
-19.0601283,13450.2,,,,,,,,
-13.39812769,13207.8,,,,,,,,
-7.744896327,12953,,,,,,,,
-2.100418946,12693.6,,,,,,,,
3.535319659,13439,,,,,,,,
9.162334658,12826.6,,,,,,,,
14.78064118,13090,,,,,,,,
20.39025432,12817,,,,,,,,
25.99118913,12935,,,,,,,,
31.58346061,13279.8,,,,,,,,
37.16708375,13194.8,,,,,,,,
42.74207347,12826.4,,,,,,,,
48.30844468,12773,,,,,,,,
53.86621222,12675.2,,,,,,,,
59.41539093,12291.4,,,,,,,,
64.95599558,12340.2,,,,,,,,
70.48804091,12730.2,,,,,,,,
76.01154164,12905.8,,,,,,,,
81.52651243,12189,,,,,,,,
87.03296792,12783,,,,,,,,
92.5309227,13090.6,,,,,,,,
98.02039134,12403.8,,,,,,,,
103.5013884,12704.8,,,,,,,,
108.9739282,12460.6,,,,,,,,
114.4380255,12529.6,,,,,,,,
119.8936944,12660.2,,,,,,,,
125.3409495,13643.8,,,,,,,,
130.779805,12560.2,,,,,,,,
136.2102753,12182.8,,,,,,,,
141.6323747,12336.4,,,,,,,,
147.0461174,12889.4,,,,,,,,
152.4515176,12532.2,,,,,,,,
157.8485895,12352.8,,,,,,,,
163.2373472,12328.8,,,,,,,,
168.6178049,12619.8,,,,,,,,
173.9899766,12895.6,,,,,,,,
179.3538764,12340.8,,,,,,,,
184.7095182,12527.6,,,,,,,,
190.0569161,12709,,,,,,,,
195.396084,12836.6,,,,,,,,
200.7270358,12248,,,,,,,,
206.0497854,12338.2,,,,,,,,
211.3643466,12067.8,,,,,,,,
216.6707333,12438.8,,,,,,,,
221.9689593,12095.6,,,,,,,,
227.2590382,12267.8,,,,,,,,
232.5409839,12261.8,,,,,,,,
237.8148101,12084.6,,,,,,,,
243.0805303,12293,,,,,,,,
248.3381582,12258.6,,,,,,,,
253.5877075,12102.8,,,,,,,,
258.8291917,12220.8,,,,,,,,
264.0626244,12363.2,,,,,,,,
269.288019,12551.6,,,,,,,,
274.5053891,12573.8,,,,,,,,
279.7147481,12391.2,,,,,,,,
284.9161094,12053.4,,,,,,,,
290.1094865,12142,,,,,,,,
295.2948927,12452.2,,,,,,,,
300.4723414,13484.2,,,,,,,,
305.6418459,13579.8,,,,,,,,
310.8034194,13998.8,,,,,,,,
315.9570752,14935.6,,,,,,,,
321.1028267,15076.6,,,,,,,,
326.2406869,15082.2,,,,,,,,
331.370669,15171.6,,,,,,,,
336.4927863,15180.2,,,,,,,,
341.6070517,15191.8,,,,,,,,
346.7134786,14991,,,,,,,,
351.8120798,15310,,,,,,,,
356.9028684,14839.8,,,,,,,,
361.9858576,14972.2,,,,,,,,
