Ramanshift[cm-1],Intensity
-93.47115107,14571.4
-87.69374369,13203.4
-81.9253076,12870.6
-76.16582701,13144.8
-70.41528615,13191.2
-64.67366933,12829.6
-58.94096086,12884.8
-53.21714512,13082.4
-47.50220652,13285.6
-41.79612954,13281.4
-36.09889866,13836.2
-30.41049843,13775
-24.73091343,13403.4
-19.0601283,13430
-13.39812769,13282.8
-7.744896327,12973.6
-2.100418946,12761.6
3.535319659,13480
9.162334658,12779
14.78064118,13115.4
20.39025432,12874.8
25.99118913,12879
31.58346061,13263.2
37.16708375,13116.4
42.74207347,12778
48.30844468,12843.4
53.86621222,12682.4
59.41539093,12393.8
64.95599558,12348.8
70.48804091,12724.6
76.01154164,12946
81.52651243,12278.6
87.03296792,12766
92.5309227,13056.6
98.02039134,12441.2
103.5013884,12750.4
108.9739282,12503
114.4380255,12559.4
119.8936944,12755.8
125.3409495,13664.8
130.779805,12446.8
136.2102753,12177.8
141.6323747,12261
147.0461174,12916.2
152.4515176,12442.2
157.8485895,12393.8
163.2373472,12259.6
168.6178049,12599.4
173.9899766,12934.6
179.3538764,12397.6
184.7095182,12598.2
190.0569161,12715
195.396084,12874.2
200.7270358,12252.4
206.0497854,12290.2
211.3643466,12071.6
216.6707333,12475.2
221.9689593,12090.4
227.2590382,12243.2
232.5409839,12235.8
237.8148101,12212.8
243.0805303,12301.6
248.3381582,12299.8
253.5877075,12057.8
258.8291917,12240.2
264.0626244,12165.4
269.288019,12519.6
274.5053891,12650
279.7147481,12295.2
284.9161094,11989.4
290.1094865,12309.6
295.2948927,12607.4
300.4723414,13618
305.6418459,14001.8
310.8034194,14493.8
315.9570752,15509.2
321.1028267,15645.6
326.2406869,15690.8
331.370669,15750
336.4927863,15917.8
341.6070517,15902.8
346.7134786,15671.4
351.8120798,16043.2
356.9028684,15472.2
361.9858576,15557
367.0610602,16056.2
372.1284892,15670.8
377.1881577,16051.8
382.2400784,15999.4
387.2842644,16117.6
392.3207284,16582.4
397.3494833,15919.8
402.370542,16143.6
407.3839172,15695.6
412.3896217,15525.4
417.3876683,15205.8
422.3780697,15377.8
427.3608386,15521.6
432.3359876,15876
437.3035295,15930
442.2634769,16083.4
447.2158423,15257
452.1606383,15268
457.0978776,15688.2
462.0275727,14867.8
466.9497361,15422.6
471.8643802,14741.4
476.7715176,15315.2
481.6711608,15182.2
486.5633221,15567
491.448014,15377.4
496.3252488,15151.4
501.195039,15305.8
506.0573969,15623
510.9123349,15276.6
