Ramanshift[cm-1],Intensity
-93.47115107,14492.6
-87.69374369,13138.8
-81.9253076,12990.4
-76.16582701,12998.6
-70.41528615,13108.4
-64.67366933,12723.4
-58.94096086,12810.2
-53.21714512,12968.8
-47.50220652,13176.8
-41.79612954,13195.2
-36.09889866,13567.2
-30.41049843,13704.8
-24.73091343,13297.8
-19.0601283,13345
-13.39812769,13151.6
-7.744896327,12933
-2.100418946,12624.6
3.535319659,13369.6
9.162334658,12795.8
14.78064118,13085.2
20.39025432,12697.2
25.99118913,12823.8
31.58346061,13284.2
37.16708375,12998.4
42.74207347,12764.8
48.30844468,12853.2
53.86621222,12627.6
59.41539093,12171.4
64.95599558,12319.6
70.48804091,12697.6
76.01154164,12736.4
81.52651243,12191
87.03296792,12728.8
92.5309227,13019.6
98.02039134,12280.2
103.5013884,12668.8
108.9739282,12487.6
114.4380255,12533.8
119.8936944,12647
125.3409495,13565.8
130.779805,12465
136.2102753,12146.8
141.6323747,12252.2
147.0461174,12833.4
152.4515176,12403
157.8485895,12405.6
163.2373472,12192.4
168.6178049,12520.4
173.9899766,12845.4
179.3538764,12338.2
184.7095182,12401.4
190.0569161,12588.4
195.396084,12917
200.7270358,12248.8
206.0497854,12266
211.3643466,12059.2
216.6707333,12398
221.9689593,11987.8
227.2590382,12192
232.5409839,12199.4
237.8148101,12006
243.0805303,12244.6
248.3381582,12147.4
253.5877075,11972
258.8291917,12198.4
264.0626244,12274.4
269.288019,12558.4
274.5053891,12544.4
279.7147481,12264.2
284.9161094,12039.8
290.1094865,12101.2
295.2948927,12767.8
300.4723414,14095
305.6418459,14827.8
310.8034194,15909.6
315.9570752,17125.2
321.1028267,17699.6
326.2406869,17758.4
331.370669,18008
336.4927863,18144
341.6070517,18143.4
346.7134786,18036
351.8120798,18466.6
356.9028684,18069.4
361.9858576,18235
367.0610602,18708.2
372.1284892,18603.8
377.1881577,19511.2
382.2400784,20492
387.2842644,22018
392.3207284,23022
397.3494833,21696.6
402.370542,21202.2
407.3839172,19957.4
412.3896217,19094
417.3876683,18462.4
422.3780697,18296.8
427.3608386,18082
432.3359876,18437.4
437.3035295,18475.2
442.2634769,18595.6
447.2158423,17745.6
452.1606383,17656.4
457.0978776,17847.8
462.0275727,17247
466.9497361,17725
471.8643802,16996.8
476.7715176,17410
481.6711608,17490.8
486.5633221,17964
491.448014,17588.4
496.3252488,17582
501.195039,17516.4
506.0573969,17942.2
510.9123349,17425.8
515.7598651,16904.2
520.6,17411
525.4327518,17315.2
530.2581327,17221.2
535.076155,16725.6
539.8868309,17156.6
544.6901726,17202.4
549.4861922,16859.4
554.2749019,17689.8
559.0563139,16745.2
563.8304402,16409.8
568.597293,17640
