Ramanshift[cm-1],Intensity
-93.47115107,14569
-87.69374369,13215.8
-81.9253076,13002
-76.16582701,13150.2
-70.41528615,13194.8
-64.67366933,12959.4
-58.94096086,12826.2
-53.21714512,13095.4
-47.50220652,13164.6
-41.79612954,13354.6
-36.09889866,13663.6
-30.41049843,13746.4
-24.73091343,13423.8
-19.0601283,13532.8
-13.39812769,13223.2
-7.744896327,12952
-2.100418946,12812
3.535319659,13536.6
9.162334658,12787.2
14.78064118,13222.2
20.39025432,12854.4
25.99118913,12926.2
31.58346061,13396.8
37.16708375,13296.2
42.74207347,12842.8
48.30844468,12889.2
53.86621222,12637.6
59.41539093,12369.4
64.95599558,12313.6
70.48804091,12754.8
76.01154164,12951.6
81.52651243,12263.8
87.03296792,12784.8
92.5309227,12991
98.02039134,12470.4
103.5013884,12648.8
108.9739282,12504.2
114.4380255,12564.6
119.8936944,12759.2
125.3409495,13763.6
130.779805,12508
136.2102753,12257.2
141.6323747,12305.8
147.0461174,12914.8
152.4515176,12535.2
157.8485895,12502
163.2373472,12322
168.6178049,12652.4
173.9899766,12986.4
179.3538764,12413
184.7095182,12546.4
190.0569161,12703.4
195.396084,12952.8
200.7270358,12306
206.0497854,12396
211.3643466,12139.2
216.6707333,12579.2
221.9689593,12137.6
227.2590382,12327
232.5409839,12294
237.8148101,12211.2
243.0805303,12281.4
248.3381582,12393.4
253.5877075,12163.2
258.8291917,12381.8
264.0626244,12437.4
269.288019,12593.2
274.5053891,12742.6
279.7147481,12455
284.9161094,12372.2
290.1094865,13403.4
295.2948927,16215.8
300.4723414,22842.4
305.6418459,31341.4
310.8034194,39160.6
315.9570752,43706.6
321.1028267,45135.8
326.2406869,46060.6
331.370669,46944.2
336.4927863,47950
341.6070517,48832.8
346.7134786,49513.6
351.8120798,50295.8
356.9028684,50464.2
361.9858576,50327.2
367.0610602,50576.4
372.1284892,50232.8
377.1881577,50495
382.2400784,50785
387.2842644,51306.2
392.3207284,52327.4
397.3494833,52498
402.370542,53004.4
407.3839172,53355
412.3896217,52472.8
417.3876683,51861.2
422.3780697,51520.2
427.3608386,50970.2
432.3359876,51233.2
437.3035295,50967
442.2634769,50974
447.2158423,49753.4
452.1606383,49756.2
457.0978776,49367.8
462.0275727,48734.4
466.9497361,49030.2
471.8643802,48520.2
476.7715176,48893.6
481.6711608,48750.8
486.5633221,49180.8
491.448014,48864.6
496.3252488,48440.6
501.195039,48462.6
506.0573969,48823.8
510.9123349,48254.6
515.7598651,47691
520.6,47939
525.4327518,47607.4
