Ramanshift[cm-1],Intensity
-93.47115107,14486.6
-87.69374369,13134.2
-81.9253076,12923.8
-76.16582701,13022.2
-70.41528615,13186.2
-64.67366933,12765.2
-58.94096086,12841
-53.21714512,13076.6
-47.50220652,13171.2
-41.79612954,13155
-36.09889866,13651.4
-30.41049843,13691.4
-24.73091343,13356
-19.0601283,13365.2
-13.39812769,13212.8
-7.744896327,12960.2
-2.100418946,12809.2
3.535319659,13348.8
9.162334658,12758
14.78064118,13102
20.39025432,12704
25.99118913,12852.4
31.58346061,13263.4
37.16708375,13087.4
42.74207347,12744.4
48.30844468,12794.8
53.86621222,12680.4
59.41539093,12309.2
64.95599558,12256
70.48804091,12673.4
76.01154164,12832.8
81.52651243,12257
87.03296792,12754.6
92.5309227,13036.8
98.02039134,12343.8
103.5013884,12669.2
108.9739282,12580.2
114.4380255,12511.6
119.8936944,12674
125.3409495,13628.4
130.779805,12408.6
136.2102753,12154.8
141.6323747,12228.4
147.0461174,12807.8
152.4515176,12447
157.8485895,12439.2
163.2373472,12228.2
168.6178049,12686.2
173.9899766,12795.2
179.3538764,12452
184.7095182,12500
190.0569161,12630.8
195.396084,12919.4
200.7270358,12236.2
206.0497854,12327.2
211.3643466,12042.8
216.6707333,12442.8
221.9689593,12012.8
227.2590382,12162.8
232.5409839,12154.4
237.8148101,12123.4
243.0805303,12251.8
248.3381582,12234.2
253.5877075,12139.8
258.8291917,12250.8
264.0626244,12333
269.288019,12420.2
274.5053891,12616.8
279.7147481,12289.4
284.9161094,12062.8
290.1094865,12117.6
295.2948927,12415.4
300.4723414,13587
305.6418459,13861.4
310.8034194,14302.4
315.9570752,15242.6
321.1028267,15333.8
326.2406869,15475.2
331.370669,15598.6
336.4927863,15334
341.6070517,15516
346.7134786,15396.2
351.8120798,15719.6
356.9028684,15318.4
361.9858576,15394.6
367.0610602,15700
372.1284892,15363.6
377.1881577,15926
382.2400784,15871
387.2842644,16017.8
392.3207284,16520.2
397.3494833,15962.2
402.370542,16107.6
407.3839172,15495.2
412.3896217,15355.6
417.3876683,14937.8
422.3780697,15012.8
427.3608386,15192.2
432.3359876,15469
437.3035295,15642.8
442.2634769,15750
447.2158423,14996.8
452.1606383,15057.4
457.0978776,15149.4
462.0275727,14649.4
466.9497361,15179.6
471.8643802,14626.6
476.7715176,15176.4
481.6711608,14999
486.5633221,15444.8
491.448014,15101
496.3252488,14914.4
501.195039,14931.8
506.0573969,15372.2
510.9123349,15044.4
515.7598651,14499.8
520.6,14971
525.4327518,15070.8
530.2581327,15038.6
535.076155,14573.4
539.8868309,14917
544.6901726,15098.4
549.4861922,14832.6
554.2749019,15655.4
559.0563139,14735.2
563.8304402,14647
568.597293,15601.4
573.3568844,15316
578.1092263,14658.4
582.8543308,15246.2
587.5922101,15186.4
592.322876,14749.6
597.0463405,14910.4
601.7626157,15217.4
606.4717135,14660.2
611.1736458,14716
615.8684246,14848.8
620.5560617,15210.8
625.2365691,14911.2
629.9099585,15291.6
634.5762419,15445.4
639.2354312,14931
643.887538,15104.6
648.5325743,14895.2
653.1705518,14706.4
657.8014823,14953.6
662.4253775,14373.6
667.0422493,14675.4
671.6521092,14766
676.2549691,14965.8
680.8508407,14854.8
685.4397355,14667.2
690.0216654,14806
694.5966419,14515.8
699.1646767,15101.4
703.7257814,14862.4
708.2799676,14931
712.827247,15096.4
717.367631,14910.2
721.9011314,14909
726.4277595,14200.4
730.9475271,14953
735.4604456,14769.8
739.9665264,15305.8
744.4657813,14776.6
748.9582215,14825
753.4438587,14374.6
757.9227042,14275.8
762.3947696,14815.6
766.8600662,14357.2
771.3186056,15864.6
775.770399,14760.6
780.215458,15085
784.6537939,14351.4
789.0854181,14200.2
793.510342,14243
797.9285769,15021.4
802.3401342,14410
806.7450253,14605
811.1432614,14548.8
815.5348538,14357.4
819.9198139,14140.6
824.2981531,14383.2
828.6698824,14583.6
833.0350133,14406.4
837.393557,14080.6
841.7455248,14474.4
846.0909278,14315.8
850.4297774,14253.4
854.7620848,14384.4
859.0878611,14529.4
863.4071176,13876
867.7198655,14327.4
872.026116,14713.6
876.3258802,15147.4
880.6191693,14591.6
884.9059946,14644.2
889.186367,15103.4
893.4602979,13958.8
897.7277982,14015.6
901.9888793,14405.4
906.2435521,14730.8
910.4918277,14143
914.7337174,14100.4
918.9692321,13969.2
923.1983831,14606.4
927.4211813,14167.4
931.6376378,14889.6
935.8477637,14383.6
940.0515701,14546
944.249068,14589.2
948.4402684,13757.6
952.6251825,14669
956.8038212,14177.6
960.9761955,14931.4
965.1423166,14310.8
969.3021953,14379.4
973.4558427,14380.4
977.6032699,14190.4
981.7444877,14292.8
985.8795072,14336.2
990.0083394,14477.2
994.1309953,13995.6
998.2474857,14400.4
1002.357822,13584.4
1006.462014,14215
1010.560075,13934.8
1014.652013,14428.2
1018.737841,14747.4
1022.81757,14174.6
1026.891209,14126.4
1030.958771,13997
1035.020266,14395.8
1039.075705,14084.6
1043.1251,13903.2
1047.16846,14182.6
1051.205797,14011
1055.237121,13804
1059.262444,13793
1063.281777,13488.4
1067.295131,13665.6
1071.302515,14853
1075.303942,14523.4
1079.299422,15386.6
1083.288966,14771.4
1087.272585,14470
1091.250289,14305.6
1095.222091,14298.2
1099.187999,13974.2
1103.148026,14010.2
1107.102183,13939.4
1111.050479,14204.2
1114.992927,13975.8
1118.929536,13842.4
1122.860318,14263.6
1126.785283,13724.2
1130.704443,13616.6
1134.617808,14353.2
1138.52539,14239
1142.427198,14185.8
1146.323244,14354
1150.213538,13881.8
1154.098093,14355.8
1157.976917,13792.4
1161.850023,13734.4
1165.717421,14271.4
1169.579121,13935.2
1173.435135,14357.2
1177.285474,13486.6
1181.130148,13739.6
1184.969169,14123
1188.802547,14170.4
1192.630292,13694.4
1196.452416,13339.8
1200.26893,13537
1204.079844,13332.6
1207.88517,12947.6
1211.684917,13678.4
1215.479098,13260.6
1219.267722,14758
1223.050801,13299.6
1226.828346,13271.4
1230.600366,13660
1234.366874,13666.4
1238.12788,13387.4
1241.883395,13456.4
1245.633429,13830.6
1249.377994,13700
1253.1171,12924.2
1256.850759,13446.2
1260.578981,13369.6
1264.301776,13378.4
1268.019157,13364.2
1271.731133,12994.2
1275.437715,12946.2
1279.138915,13541.6
1282.834743,13722.2
1286.52521,13278.4
1290.210328,13064.4
1293.890106,13203.4
1297.564555,13844.6
1301.233688,13078.4
1304.897514,13543.8
1308.556044,13618
1312.209289,13598.4
1315.857261,13015.4
1319.499969,13175
