Name,Blanck_AABC_750_5_5_H.csv
Date,2024/09/24 09:33:50
Tag,Blanck_AABC_750_5_5_H
Comment,
Peak raman shift[cm-1],367.460430263363
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.0717810017468,9770.6,9764.6,9790.6,9776,9883.8
-87.2943736183934,8939.2,8916.6,8873.4,8953,8929
-81.5259375301212,8834.4,8854.4,8861.4,8874,8863.8
-75.7664569369663,8827,8782.6,8893,8846.8,8818.8
-70.0159160827679,8826.4,8758.2,8849.6,8904.8,8813.8
-64.2742992549138,8695.2,8653.2,8680.6,8676.4,8731.8
-58.5415907840652,8681.2,8713.6,8641.2,8707.2,8717.6
-52.8177750439081,8896.2,8836,8899.6,8869.4,8942.4
-47.1028364508657,8941.2,8962.6,8962.8,9066.4,9044.8
-41.3967594638507,8832.6,8920.8,8900.8,8922.8,8890.4
-35.6995285840094,9259.8,9212,9252.6,9263.6,9308.8
-30.011128354452,9367.2,9359,9412.6,9323.2,9430.8
-24.3315433599928,8987.2,8990.8,8994.6,9017.8,9029.4
-18.6607582269044,9095.6,9038,9125.4,9119.6,9126.4
-12.9987576226486,8961.2,8923.4,8943.8,8920.8,8929.4
-7.34552625562901,8716,8717.2,8692.8,8769.6,8787.4
-1.70104887494017,8530.6,8685.8,8601.2,8624.6,8661.4
3.93468972989831,9138.6,9145.6,9063,9140.6,9135.6
9.56170472917074,8627.8,8636.6,8675.2,8625.2,8628.6
15.1800112532492,8899,8970.6,8962,9006,9017
20.789624392808,8672.4,8627.6,8647.4,8656.6,8740
26.3905591990952,8648,8651.4,8596.8,8667,8735.2
31.9828306841609,8972.2,9050,9005.2,9052.8,9068
37.5664538211277,8853.4,8905.4,8909.2,8892.4,8832
43.1414435444094,8667.6,8727.2,8663,8718.4,8778.8
48.707814749976,8673.8,8696.4,8674.8,8733,8715.4
54.2655822955712,8648,8723.2,8635.2,8643,8647
59.8147610009928,8375.4,8337.8,8380.2,8338.4,8340.8
65.3553656482836,8375.8,8440,8397.6,8417,8401.4
70.8874109820154,8577.8,8612.2,8592.4,8691.2,8588
76.4109117094995,8725.2,8709,8759,8784.8,8773.2
81.9258825010365,8305.6,8285,8330.4,8299.4,8351.2
87.4323379901434,8665,8665.2,8639,8615.4,8707.6
92.9302927737954,8849,8798.8,8845.2,8883,8805
98.4197614126588,8381.2,8373.6,8425.6,8409.8,8413
103.900758431324,8563.4,8554.6,8632.8,8583.8,8619.6
109.373298318535,8477.4,8463.2,8503.2,8475.8,8583.4
114.837395527416,8451.8,8492.2,8473,8532.4,8494.4
120.293064475718,8602.8,8648.4,8615.6,8651,8655
125.740319546027,9314.4,9248,9254.6,9263.4,9276.2
131.179175086001,8450,8401.8,8478.6,8450,8505.6
136.609645408596,8290,8261.2,8325,8307.6,8330.8
142.031744792306,8306.8,8330.2,8324,8316.2,8360
147.445487481353,8807.4,8852.4,8795,8784.6,8826.4
152.850887685945,8521.6,8454.4,8525,8496.2,8421.8
158.247959582483,8433.8,8540.4,8389.8,8493.4,8619.4
163.636717313781,8353,8381.2,8409.2,8397,8420.2
169.0171749893,8582.4,8682.6,8627.8,8563,8659.2
174.389346685344,8758.8,8775,8765.6,8830.8,8789.8
179.753246445307,8361,8459.2,8416.6,8432.4,8473.4
185.108888279872,8484,8480.6,8496.8,8550,8536
190.45628616724,8663.6,8725.2,8727,8687.6,8704.6
195.795454053328,8754,8879,8857.2,8854.6,8855.4
201.126405852006,8389.6,8376.2,8323.6,8450.8,8414.2
206.449155445294,8423.8,8367.8,8359.6,8430.8,8471.2
211.763716683585,8149.8,8307,8207.2,8270.8,8265.2
217.070103385848,8568.6,8512,8519.4,8534.6,8546
222.368329339857,8256.6,8258.4,8228.6,8257.2,8309.8
227.658408302386,8416.4,8466.4,8422.8,8396,8447.4
232.940353999416,8324.2,8370,8452.6,8410.4,8453.6
238.214180126357,8316.4,8313.2,8300.6,8319.4,8311.4
243.479900348244,8447.4,8389.6,8424.8,8392.2,8413.6
248.737528299955,8409.2,8370.4,8352.6,8398.4,8372
253.987077586404,8221.8,8243,8291.2,8280.6,8270.6
259.228561782757,8335.2,8302.6,8378.4,8378,8337
264.461994434632,8337.6,8452.4,8501.6,8500.6,8443.4
269.687389058303,8470,8496,8562.8,8539,8499.6
274.904759140898,8613.8,8663.8,8659.4,8613.8,8626.4
280.114118140609,8412.2,8401,8432.8,8443.4,8477.6
285.315479486882,8277.6,8276.4,8256,8320.4,8322.8
290.508856580635,8501.2,8512,8481.2,8519.6,8474.2
295.694262794428,9146.2,9171.8,9174.4,9139.2,9128.8
300.871711472695,10812.8,10741.4,10677,10692.6,10784
306.041215931915,12269.4,12084.8,12133,12086.4,11991
311.202789460825,13628.4,13395.4,13262.8,13267.8,13181.8
316.356445320602,14666.2,14451.2,14457.6,14311.6,14344.6
321.50219674507,14853.2,14617.4,14584.2,14376.2,14457.6
326.640056940887,14983.6,14749.2,14773.8,14618.4,14569.2
331.77003908774,15180.8,14910.2,14793.4,14820.4,14679.2
336.892156338545,15272.2,15109.6,15027.2,14857.8,14868.4
342.006421819618,15316.2,15175.8,15012.4,14949,15030.6
347.112848630895,15293,15033.8,14962.2,14853,14776.8
352.211449846098,15464.8,15280.8,15274.2,15179.6,15088.6
357.30223851293,15316.4,15035.6,15076.8,15033.4,14839.2
362.385227653273,15393.2,15116,15170.4,15189.6,15047.2
367.460430263363,15539.8,15329.6,15358.8,15323.8,15192.6
372.527859313999,15335,15057.6,15077.2,14890.4,15011.4
377.587527750689,15588,15324.2,15258.2,15188.2,15120.2
382.639448493879,15251.4,15016.2,15002.6,14920,14890.2
387.683634439109,15159.4,14936.4,14816,14781.4,14623.6
392.720098457212,15296.6,15047,15011,14852,14831.4
397.748853394487,14991.2,14870.8,14728,14612.2,14594.2
402.769912072892,15314,15070.8,14980,14932.4,14866.4
407.783287290213,15161.6,15007.4,14833,14865.4,14601.4
412.788991820256,15086.4,14874.4,14805.6,14612.6,14542
417.787038413018,14760.6,14548.2,14569.2,14441.4,14424.8
422.777439794885,15009.6,14777.6,14741.6,14698.6,14533.6
427.760208668778,15053.2,14825,14798.8,14720.6,14587.4
432.735357714368,15274.4,15082,14968.6,14947,14886.4
437.702899588221,15416.2,15091.8,15170.4,14962.4,14944.6
442.662846924004,15364.6,15273,15118.6,15028.2,15003.6
447.61521233263,14864.2,14539.6,14508.8,14533,14445.2
452.560008402461,14812,14547,14631,14554.8,14414.4
457.497247699468,14944,14791.2,14755.6,14645,14525.2
462.426942767412,14612,14335.4,14324.8,14209.4,14290.6
467.349106127998,14879.8,14674.8,14699,14648.2,14497.8
472.263750281083,14457.8,14212.4,13986.6,14081.8,14047.4
477.170887704815,14765,14564,14554.2,14443.2,14298.4
482.070530855814,14806.4,14614.6,14576.6,14395.4,14384
486.962692169353,14925,14763.4,14644.4,14642.6,14577.8
491.847384059511,14803,14570.4,14583.6,14347,14373.4
496.724618919356,14660.4,14504.4,14535.2,14471.8,14428.4
501.594409121108,14720.6,14412,14498.6,14413.2,14343
506.456767016305,15004.6,14801.6,14729.2,14661,14631.8
511.311704935973,14685,14462.2,14455.6,14525.2,14386
516.159235190791,14377.2,14124,14072,13992.6,13974
