dataset_manifest_row,lineage_group_id,artifact_sha256,relation,artifact_sample_identity,master_folder_context,evidence_method,evidence_file,confidence,consent_status,licence_status,status,role,record_group
15,lg-9b0eca101b04617907b6,80c7d55ffc0081c30a06f78fca567b76ff8b84cd66cd303ced36d6cf68334c16,mixed_human_sweat_publication_summary,mixed_human_and_artificial_sweat_summary,not_applicable,paper-data map and publication-snapshot scope,docs/PAPER_DATA_MAP.md,high_for_content_scope_only,public_sharing_not_evidenced,no_open_licence_pending_human_data_governance,publication_snapshot,manuscript_supporting_table,proof_of_concept
16,lg-9b27829d38390f839500,85dc95bb9360f0e1d7b0f96a39288513d9738f111d0f5e901b766dca9281aee0,mixed_human_sweat_publication_summary,mixed_human_and_artificial_sweat_summary,not_applicable,paper-data map and publication-snapshot scope,docs/PAPER_DATA_MAP.md,high_for_content_scope_only,public_sharing_not_evidenced,no_open_licence_pending_human_data_governance,publication_snapshot,manuscript_supporting_table,proof_of_concept
17,lg-2bd4b411a86a6780ad85,50c6e67d9b7b6deb7f2b629f9f1a726f4cf62530bc380b411cddd8a637f63075,mixed_human_sweat_publication_summary,mixed_human_and_artificial_sweat_summary,not_applicable,paper-data map and publication-snapshot scope,docs/PAPER_DATA_MAP.md,high_for_content_scope_only,public_sharing_not_evidenced,no_open_licence_pending_human_data_governance,publication_snapshot,manuscript_supporting_table,proof_of_concept
61,lg-37227d3e469e240c17d5,a38c7dc73a6b22bcd46b111aebbcdab031b8f24672c0781315bbfece57ac2a38,exact_copy_used_as_shared_blank,shared_blank_identity_unresolved,test_hs_master_folder,zero-difference intensity match to an independently inventoried master column,metadata/provenance/raw_to_master_best_matches.csv,high_for_numerical_origin_not_sample_identity,pending_sample_identity_resolution,no_open_licence_pending_sample_identity_resolution,provenance_conflict,raw_spectrum,blind_samples
62,lg-1cf4e0962c949877fde3,c66c4b328e0d0d83d87a9b1125af20bab94dcddb4ce9821dbf839945e7daa38b,exact_copy_used_as_shared_blank,shared_blank_identity_unresolved,test_hs_master_folder,zero-difference intensity match to an independently inventoried master column,metadata/provenance/raw_to_master_best_matches.csv,high_for_numerical_origin_not_sample_identity,pending_sample_identity_resolution,no_open_licence_pending_sample_identity_resolution,provenance_conflict,raw_spectrum,blind_samples
63,lg-df799a9a2066baeccc35,76a14f9dafb26fb0673d3ed97d43af65f9f460876be909bb13c4481496212c2c,exact_copy_used_as_shared_blank,shared_blank_identity_unresolved,test_hs_master_folder,zero-difference intensity match to an independently inventoried master column,metadata/provenance/raw_to_master_best_matches.csv,high_for_numerical_origin_not_sample_identity,pending_sample_identity_resolution,no_open_licence_pending_sample_identity_resolution,provenance_conflict,raw_spectrum,blind_samples
64,lg-9d5b03ecd234e9e001ca,f9974723926b812ec93abdbb0bc9d97f8e008a29159f6e1c2dd3d151eb7aade7,exact_copy_used_as_shared_blank,shared_blank_identity_unresolved,test_hs_master_folder,zero-difference intensity match to an independently inventoried master column,metadata/provenance/raw_to_master_best_matches.csv,high_for_numerical_origin_not_sample_identity,pending_sample_identity_resolution,no_open_licence_pending_sample_identity_resolution,provenance_conflict,raw_spectrum,blind_samples
65,lg-5448038c370539c0ed90,57df591066c9087137600fa7ddfb65e6530b39e57d048c415c347cbac9479cfb,exact_copy_used_as_shared_blank,shared_blank_identity_unresolved,test_hs_master_folder,zero-difference intensity match to an independently inventoried master column,metadata/provenance/raw_to_master_best_matches.csv,high_for_numerical_origin_not_sample_identity,pending_sample_identity_resolution,no_open_licence_pending_sample_identity_resolution,provenance_conflict,raw_spectrum,blind_samples
66,lg-82d77e4537cafb997a08,a800d484fc6d1f53b3309e152cf3e47a3989280e9e6cefdcc7afe1e952a61290,exact_copy_used_as_shared_blank,shared_blank_identity_unresolved,test_hs_master_folder,zero-difference intensity match to an independently inventoried master column,metadata/provenance/raw_to_master_best_matches.csv,high_for_numerical_origin_not_sample_identity,pending_sample_identity_resolution,no_open_licence_pending_sample_identity_resolution,provenance_conflict,raw_spectrum,blind_samples
67,lg-0d717f707a9b8e808f0b,e4ff10fb73cff6bf03f88e1a880bb34960881aa745e85b9b25860f12e1d2ce13,exact_copy_used_as_shared_blank,shared_blank_identity_unresolved,test_hs_master_folder,zero-difference intensity match to an independently inventoried master column,metadata/provenance/raw_to_master_best_matches.csv,high_for_numerical_origin_not_sample_identity,pending_sample_identity_resolution,no_open_licence_pending_sample_identity_resolution,provenance_conflict,raw_spectrum,blind_samples
