lineage,file,source_sha256,manifest_intensity_selector,source_intensity_column,record_id,sample_type,spectrum_points,positive_frequency_max_index,filter_fft_peak_index,normalized_cutoff,percentile,order,lock_basis
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc1.csv,a59b10eb466eebe3a6ffeb5afec1a8d8220afeb12e8b945d5d805ae41ca1248f,1,Intensity,row00002__4ATP_100fM_rep1_acc1__Intensity,4atp,512,255,92,0.36078431372549019,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc2.csv,ca77004fa0109ed9eb736707c9e969baf77623a6f6302cc624737d38dec44f42,1,Intensity,row00003__4ATP_100fM_rep1_acc2__Intensity,4atp,512,255,218,0.8549019607843138,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc3.csv,124d106c8e42d727fae2e6153512f2a0ab465b8c893d84290f0c69d32a8a7212,1,Intensity,row00004__4ATP_100fM_rep1_acc3__Intensity,4atp,512,255,201,0.78823529411764703,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc4.csv,18f5bdae45b3ee190923dcc725a77371727e09c4c0c60959894806cfbce444d3,1,Intensity,row00005__4ATP_100fM_rep1_acc4__Intensity,4atp,512,255,209,0.81960784313725499,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc5.csv,04316f4b9810f9373c406a8bb5709b96cebb489640f026c02e135a9089de6798,1,Intensity,row00006__4ATP_100fM_rep1_acc5__Intensity,4atp,512,255,142,0.55686274509803924,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc1.csv,0555ab2a24aba3a98c42ff5348e8f665001e0b470f30491c13e0e703371dd813,1,Intensity,row00007__4ATP_100fM_rep2_acc1__Intensity,4atp,512,255,200,0.78431372549019607,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc2.csv,8736bda26c88e4b7a2f728b8e3a3738ea488bdc73442009431489adefdc37a5e,1,Intensity,row00008__4ATP_100fM_rep2_acc2__Intensity,4atp,512,255,86,0.33725490196078434,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc3.csv,25ad8ae273738ecadbc952a87347720f699103e1833ac92d522d627a65ce985a,1,Intensity,row00009__4ATP_100fM_rep2_acc3__Intensity,4atp,512,255,114,0.44705882352941179,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc4.csv,4f556556b7cf9a0c8fd20fb09588fdb010537c60b9f3b55b88114d61a7396dd5,1,Intensity,row00010__4ATP_100fM_rep2_acc4__Intensity,4atp,512,255,100,0.39215686274509803,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc5.csv,e06d0a3b99cb50b8860c83ac17b0c1efacfa8698cc5908ef54b4b933dbba93cc,1,Intensity,row00011__4ATP_100fM_rep2_acc5__Intensity,4atp,512,255,73,0.28627450980392155,10,3,canonical Windows release first committed at 542aa21
