lineage,record_id,source_file,source_path,source_sha256,source_intensity_column,source_intensity_column_index,sample_type,substrate,spectrum_points,baseline_lambda,percentile,butterworth_order,positive_frequency_max_index,filter_fft_peak_index,normalized_cutoff,tie_candidate_count,tie_candidate_fft_peak_indices,numpy_argmin_fft_peak_index,forensic_override,lock_basis
optimisation_750_5_5_M_historical_computational_replay,M750-CH-001,AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,025b0a85bb64c66212a6d191a83fa3f60e3f090bdaa91ac94dca8f991e4130ef,intensity_1,1,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,109,0.5069767441860465,1,109,109,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-002,AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,025b0a85bb64c66212a6d191a83fa3f60e3f090bdaa91ac94dca8f991e4130ef,intensity_2,2,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,161,0.7488372093023257,1,161,161,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-003,AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,025b0a85bb64c66212a6d191a83fa3f60e3f090bdaa91ac94dca8f991e4130ef,intensity_3,3,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,83,0.386046511627907,1,83,83,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-004,AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,025b0a85bb64c66212a6d191a83fa3f60e3f090bdaa91ac94dca8f991e4130ef,intensity_4,4,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,147,0.6837209302325582,1,147,147,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-005,AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S1.csv,025b0a85bb64c66212a6d191a83fa3f60e3f090bdaa91ac94dca8f991e4130ef,intensity_5,5,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,77,0.3581395348837209,1,77,77,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-006,AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,ac412b9bbd25900a733afe2dab16362579be8ffe3eb02ac551c3af4a53eaf917,intensity_1,1,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,90,0.4186046511627907,1,90,90,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-007,AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,ac412b9bbd25900a733afe2dab16362579be8ffe3eb02ac551c3af4a53eaf917,intensity_2,2,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,152,0.7069767441860465,2,152;182,152,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-008,AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,ac412b9bbd25900a733afe2dab16362579be8ffe3eb02ac551c3af4a53eaf917,intensity_3,3,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,171,0.7953488372093024,1,171,171,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-009,AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,ac412b9bbd25900a733afe2dab16362579be8ffe3eb02ac551c3af4a53eaf917,intensity_4,4,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,137,0.6372093023255815,1,137,137,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-010,AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S2.csv,ac412b9bbd25900a733afe2dab16362579be8ffe3eb02ac551c3af4a53eaf917,intensity_5,5,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,214,0.9953488372093025,1,214,214,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-011,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,ad501d8387fc682644866403f278ed0e23799bbbc82b1160124a9cff0755f65b,intensity_1,1,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,63,0.2930232558139535,1,63,63,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-012,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,ad501d8387fc682644866403f278ed0e23799bbbc82b1160124a9cff0755f65b,intensity_2,2,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,171,0.7953488372093024,1,171,171,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-013,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,ad501d8387fc682644866403f278ed0e23799bbbc82b1160124a9cff0755f65b,intensity_3,3,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,109,0.5069767441860465,1,109,109,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-014,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,ad501d8387fc682644866403f278ed0e23799bbbc82b1160124a9cff0755f65b,intensity_4,4,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,206,0.958139534883721,1,206,206,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-015,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-10M_750_5_5_M_S3.csv,ad501d8387fc682644866403f278ed0e23799bbbc82b1160124a9cff0755f65b,intensity_5,5,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,89,0.413953488372093,1,89,89,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-016,AAB_4 ATP_10^-11M_750_5_5_M_S1.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-11M_750_5_5_M_S1.csv,ba1d0968960773210c650c194bd31e561e0af747e37c06a841f711ba9fbcc63e,intensity_1,1,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,208,0.9674418604651164,1,208,208,false,recovered_closest_percentile_rule
optimisation_750_5_5_M_historical_computational_replay,M750-CH-017,AAB_4 ATP_10^-11M_750_5_5_M_S1.csv,data/quarantine/computational_lineage_sources/4atp/optimisation/750_5_5_M/samples/AAB_4 ATP_10^-11M_750_5_5_M_S1.csv,ba1d0968960773210c650c194bd31e561e0af747e37c06a841f711ba9fbcc63e,intensity_2,2,AAB_4ATP_sample,AAB,432,3000.0,10.0,3,215,177,0.8232558139534883,1,177,177,false,recovered_closest_percentile_rule
