manifest_order,prepared_file,prepared_sha256,sample_type,concentration_M,concentration_label,prepared_replicate,prepared_accumulation,source_collection,source_master_path,source_master_column_index,source_master_column_name,source_scan_id,source_date,source_setting,source_replicate,intensity_max_abs_difference,axis_max_abs_difference,axis_match_1e-5,concentration_agrees,expected_calibration_date,expected_calibration_setting,date_matches_expected,setting_matches_expected,lineage_class,scientific_status,source_reuse_count,source_scan_first_prepared_file,source_scan_is_reused,statistical_independence_status
1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc1.csv,5ad54a2af6392fce33aba752d1a2c08a2b2915429cce880e0b5a932efaa6dc8e,sample,1e-13,100fM,1,1,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,1,1,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#1,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc1.csv,False,no_exact_reuse_detected_within_prepared_set
2,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc2.csv,6171daed55693de32cfe323e0282b1df0ede4504f714fb2e29517699ec302a76,sample,1e-13,100fM,1,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,2,2,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#2,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc2.csv,False,no_exact_reuse_detected_within_prepared_set
3,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc3.csv,7c17780469d833d0ff7fddf75c409d3d6f8bf015baee3c76bd9c4fd7b312fc70,sample,1e-13,100fM,1,3,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,3,3,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#3,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc3.csv,False,no_exact_reuse_detected_within_prepared_set
4,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc4.csv,1c23c07733b4abda46ecdf50a3b02a59ccfe70e04a5fa694da8f6f355e38fa77,sample,1e-13,100fM,1,4,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,4,4,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#4,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc4.csv,False,no_exact_reuse_detected_within_prepared_set
5,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc5.csv,9a0e5119cfb68312b0be2ca32c1bfc4922367b2598a185c613d8bf68fb76603d,sample,1e-13,100fM,1,5,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,5,5,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#5,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc5.csv,False,no_exact_reuse_detected_within_prepared_set
6,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc1.csv,0cf6fe6f6e53e3ada291209c666a20f8dbd7636dd95b5a4f847bc9493cccd9c4,sample,1e-13,100fM,2,1,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,1,1,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#1,03-07-24,750_5_5_L,2,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc1.csv,False,no_exact_reuse_detected_within_prepared_set
7,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc2.csv,07c4d0c3da8941c05348e0c5f8953362c5f8835eb7319f9915c7f350ed156343,sample,1e-13,100fM,2,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,2,2,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#2,03-07-24,750_5_5_L,2,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc2.csv,False,no_exact_reuse_detected_within_prepared_set
8,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc3.csv,e61410aacc2b4614fe262e108b36c4cda2cc275f441bd7b9548f3dd276f132f8,sample,1e-13,100fM,2,3,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,3,3,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#3,03-07-24,750_5_5_L,2,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc3.csv,False,no_exact_reuse_detected_within_prepared_set
9,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc4.csv,84ce4c923774ec586dcc72eb45e9ae23b40bcc34f1c4a482928cbe70f95978df,sample,1e-13,100fM,2,4,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,4,4,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#4,03-07-24,750_5_5_L,2,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc4.csv,False,no_exact_reuse_detected_within_prepared_set
10,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc5.csv,8a41deeb4218980387556270c370461641783da844f3852a76f9994c76a36d9a,sample,1e-13,100fM,2,5,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,5,5,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#5,03-07-24,750_5_5_L,2,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc5.csv,False,no_exact_reuse_detected_within_prepared_set
