duplicate_group,sha256,copies,source,relative_path
1,0009556cb931733ee136a7dc9db6f856357376dcf60e53c300d802eb87f0a80a,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-9M_750_5_5_H_S3.csv
1,0009556cb931733ee136a7dc9db6f856357376dcf60e53c300d802eb87f0a80a,2,master_portable,Test 4-ATP/Elegidos/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-9M_750_5_5_H_S3.csv
2,005c5910a1d39d435e6c0bd45387f05e42f66b58f4a894212ed2c3443883adae,2,master_portable,Test AS   Glu/24-07-24/Sustrato GoAuAgBC/Sudor artificial/GAABC_AS_750_5_5_H_S2.1.csv
2,005c5910a1d39d435e6c0bd45387f05e42f66b58f4a894212ed2c3443883adae,2,master_portable,Test AS   Glu/Elegidos/24-07-24/Sustrato GoAuAgBC/Sudor artificial/GAABC_AS_750_5_5_H_S2.1.csv
3,00690ca821b3554b0cdd287395cff01036b15167cdb1f6b305c3b5103253108f,3,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_100pM_rep3_acc5.csv
3,00690ca821b3554b0cdd287395cff01036b15167cdb1f6b305c3b5103253108f,3,curated,Raman_spectra_data/Stability/03_07_24/4ATP_100pM_rep2_acc5.csv
3,00690ca821b3554b0cdd287395cff01036b15167cdb1f6b305c3b5103253108f,3,curated,Raman_spectra_data/Stability/19_05_24/4ATP_10pM_rep2_acc5.csv
4,01c278631d7390049c5d5a967aca96a6df14d391c64ea4c9d67a2fc458a4c54f,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-14M_750_5_5_M_S3.csv
4,01c278631d7390049c5d5a967aca96a6df14d391c64ea4c9d67a2fc458a4c54f,2,master_portable,Test 4-ATP/Elegidos/24-09-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-14M_750_5_5_M_S3.csv
5,01d7e6e5daa4f0dc9338d470eccb969f043d292264ccc5548bbdeb6763aa8d05,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_10pM_rep2_acc1.csv
5,01d7e6e5daa4f0dc9338d470eccb969f043d292264ccc5548bbdeb6763aa8d05,2,curated,Raman_spectra_data/Optimisation/750_5_5_H/4ATP_10pM_rep2_acc1.csv
6,01f1ef8a18901aa9c35353dff759e98a44f48326f8406e7f078a0a4efc1bbebf,2,curated,Raman_spectra_data/Blind samples/Processed spectra/blank_rep2_acc2_blank_subtracted_processed.csv
6,01f1ef8a18901aa9c35353dff759e98a44f48326f8406e7f078a0a4efc1bbebf,2,curated,Raman_spectra_data/Calibration curve/Processed spectra/blank_rep2_acc2_blank_subtracted_processed.csv
7,01fb497d13df9a94634138f8df128c9459016342470696f81b21fc5cd969e1ce,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S1.csv
7,01fb497d13df9a94634138f8df128c9459016342470696f81b21fc5cd969e1ce,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S1.csv
8,025b0a85bb64c66212a6d191a83fa3f60e3f090bdaa91ac94dca8f991e4130ef,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-10M_750_5_5_M_S1.csv
8,025b0a85bb64c66212a6d191a83fa3f60e3f090bdaa91ac94dca8f991e4130ef,2,master_portable,Test 4-ATP/Elegidos/24-09-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-10M_750_5_5_M_S1.csv
9,02d5b887cbe31246085eb9549d93275e49087e16d22fe3a956c22fdfc123b501,2,master_portable,Precision y exactitud/10-09-24/Elegidos/Sustrato GOAAG/GOAAB_4 ATP_A_750_5_5_L_S3.csv
9,02d5b887cbe31246085eb9549d93275e49087e16d22fe3a956c22fdfc123b501,2,master_portable,Precision y exactitud/10-09-24/Sustrato GOAAG/GOAAB_4 ATP_A_750_5_5_L_S3.csv
10,02f7e4ffba93a42f9c9d0a282efdbd4b0ac06682f5b82cc30672b1439f2cbd0a,2,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_1mM_rep2_acc5.csv
10,02f7e4ffba93a42f9c9d0a282efdbd4b0ac06682f5b82cc30672b1439f2cbd0a,2,curated,Raman_spectra_data/Stability/03_07_24/4ATP_1mM_rep3_acc5.csv
11,038b58a1ab735ed3f43f068019ec759d94d1f02005af6cbe4a5b57982ab7c752,3,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_100pM_rep1_acc3.csv
11,038b58a1ab735ed3f43f068019ec759d94d1f02005af6cbe4a5b57982ab7c752,3,curated,Raman_spectra_data/Stability/03_07_24/4ATP_100pM_rep3_acc3.csv
11,038b58a1ab735ed3f43f068019ec759d94d1f02005af6cbe4a5b57982ab7c752,3,curated,Raman_spectra_data/Stability/19_05_24/4ATP_10pM_rep3_acc3.csv
12,03e3db6ce40b757c2eb5a7a53c5dc79831a8dc3f44c30f979b699bed308e85cf,2,curated,Raman_spectra_data/Blind samples/Processed spectra/blank_rep2_acc5_blank_subtracted_processed.csv
12,03e3db6ce40b757c2eb5a7a53c5dc79831a8dc3f44c30f979b699bed308e85cf,2,curated,Raman_spectra_data/Calibration curve/Processed spectra/blank_rep2_acc5_blank_subtracted_processed.csv
13,040d89e4b2067106109773960b6fec4de310dc84dc63cb435ae811336ac79631,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-10M_750_5_5_H_S3.csv
13,040d89e4b2067106109773960b6fec4de310dc84dc63cb435ae811336ac79631,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-10M_750_5_5_H_S3.csv
14,04837085f07746be3a64e3d55960acb589fa41438f5529a10e58bb82659a7040,3,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_100pM_rep2_acc4.csv
14,04837085f07746be3a64e3d55960acb589fa41438f5529a10e58bb82659a7040,3,curated,Raman_spectra_data/Stability/03_07_24/4ATP_100pM_rep1_acc4.csv
14,04837085f07746be3a64e3d55960acb589fa41438f5529a10e58bb82659a7040,3,curated,Raman_spectra_data/Stability/19_05_24/4ATP_10pM_rep1_acc4.csv
