dataset_manifest_row,artifact_sha256,artifact_stage,instrument,evidence_scope,observed_outer_label,outer_label_namespace,observed_embedded_or_internal_label,embedded_or_internal_namespace,observed_master_label,confirmed_acquisition_label,confirmed_publication_label,confirmed_session,resolution_status,evidence
1704,1d47a9469ef2bbc658ac1d421ded7b77d0d69887bb0f765cd42d19ab7f7da2d3,raw,portable_raman,complete_portable_raw_human_mismatch_set,V1S1,publication,V2S2,acquisition_metadata_error,V2S1,V2S1,V1S1,S1,resolved_embedded_session_metadata_error,author_confirmation:aa_hs_session_metadata_correction
1705,cc31fcce8367a5f906fa6ff44d22f5804b8f6fa62ed3b552f86e47d51bcee5ad,raw,portable_raman,complete_portable_raw_human_mismatch_set,V1S1,publication,V2S2,acquisition_metadata_error,V2S1,V2S1,V1S1,S1,resolved_embedded_session_metadata_error,author_confirmation:aa_hs_session_metadata_correction
1709,7a60f8d11887ae5ce984241b71d7b3a5bd1afbf22523075055f1bf467e1a923e,raw,portable_raman,complete_portable_raw_human_mismatch_set,P1S1,publication,P2S1,acquisition,P2S1,P2S1,V1S1,S1,resolved_dual_label_namespace,author_confirmation:vp_numeric_crosswalk_confirmed+publication_renumbering_confirmed
1710,8ba033e1f1f1aa9405bd5c7274a37b17273106bff0b457edeb3b8dd7a7e92f3b,raw,portable_raman,complete_portable_raw_human_mismatch_set,P1S3,publication,P2S3,acquisition,P2S3,P2S3,V1S3,S3,resolved_dual_label_namespace,author_confirmation:vp_numeric_crosswalk_confirmed+publication_renumbering_confirmed
1711,ebd7953cfbf97ff1b912b7a3975b657ba4dfe60776318756f2d82dd5845867f5,raw,portable_raman,complete_portable_raw_human_mismatch_set,P2S1,publication,P3S1,acquisition,P3S1,P3S1,V2S1,S1,resolved_dual_label_namespace,author_confirmation:vp_numeric_crosswalk_confirmed+publication_renumbering_confirmed
1712,c7d20b47d5806f6bd47e9647ee9d8c81df101f30fa20c44a4d4e18b2b239ea23,raw,portable_raman,complete_portable_raw_human_mismatch_set,P3S3,publication,P4S3,acquisition,P4S3,P4S3,V3S3,S3,resolved_dual_label_namespace,author_confirmation:vp_numeric_crosswalk_confirmed+publication_renumbering_confirmed
1713,851393cd641dd56d0e2c8e3a9008b605938435508da84ab6ced4db9780b92fd2,processed,portable_raman,distributed_apparent_v1_p1_resolution,V1S1,publication,V2S1,acquisition,,V2S1,V1S1,S1,resolved_processed_header_namespace,author_confirmation:publication_renumbering_confirmed+processed_column_headers
1714,a1863fc6e5d753cdde11cc77b57474df7094ec759677f5e613dc1370048d1ed7,processed,portable_raman,distributed_apparent_v1_p1_resolution,V1S1,publication,V2S1,acquisition,,V2S1,V1S1,S1,resolved_processed_header_namespace,author_confirmation:publication_renumbering_confirmed+processed_column_headers
1718,a4bf90ea85967bfd66314baccc78b098bfdc41b865b8c0e7e858338eaf19ca55,processed,portable_raman,distributed_apparent_v1_p1_resolution,P1S3,publication,P2S3,acquisition,,P2S3,V1S3,S3,resolved_processed_header_namespace,author_confirmation:vp_numeric_crosswalk_confirmed+publication_renumbering_confirmed+processed_column_headers
1722,00529b75d88f186e99abce4f7d2f6f55d5387f3226f15846b3bb309b7f6ee787,processed,portable_raman,distributed_apparent_v1_p1_resolution,V1,publication,V2S1|P2S1|P2S3,acquisition,,V2|P2,V1,S1|S3,resolved_dual_label_namespace_aggregate,author_confirmation:vp_numeric_crosswalk_confirmed+publication_renumbering_confirmed+processed_column_headers
1694,8519380fab798c509beec7806fb42e3561f99fae77fa1a7cf4279aa5075d9300,processed,benchtop_raman,resolved_byte_identical_pair,V2S1,publication,V3S1,acquisition,,V3S1,V2S1,S1,resolved_dual_label_namespace_duplicate,author_confirmation:publication_renumbering_confirmed+metadata/provenance/duplicate_content_groups.csv
1700,8519380fab798c509beec7806fb42e3561f99fae77fa1a7cf4279aa5075d9300,processed,benchtop_raman,resolved_byte_identical_pair,V3S1,acquisition,V3S1,acquisition,,V3S1,V2S1,S1,resolved_dual_label_namespace_duplicate,author_confirmation:publication_renumbering_confirmed+metadata/provenance/duplicate_content_groups.csv
1678,fa0f92c24c37b481d5990283c08f4e338c207941dcdd22389d9d193af2e311de,raw,benchtop_raman,resolved_benchtop_composite,mixed_V1_and_V2,mixed_historical_filename,,not_available,V2S1|V2S2|V2S3,V2,V1,S1|S2|S3,resolved_exact_column_assembly,author_confirmation:publication_renumbering_confirmed+exact_columns:dataset_manifest_rows_1679_1680_1682_1683_1684
1693,2c25129297bf8fd9ee4769d15be65244a8f4806ef7a837128c38160a82b79e00,processed,benchtop_raman,resolved_benchtop_composite,V1S1|V1S2|V1S3,publication,V2S1|V2S2|V2S3,acquisition,,V2,V1,S1|S2|S3,resolved_dual_label_namespace_composite,author_confirmation:publication_renumbering_confirmed+processed_column_headers
