curated_path,curated_column_index,curated_column_name,master_source,master_path,master_column_index,master_column_name,points,axis_max_abs_difference,intensity_max_abs_difference,name_token_similarity,axis_match_1e-5,preferred_original_tree,path_length,curated_group,master_date,master_setting,curated_concentration_M,master_concentration_M,concentration_agrees
Raman_spectra_data/Analytical Enhancement/Original spectra/AAB_4-ATP^-15M_S1_C1_M1_I2.csv,1,#Intensity2,master_benchtop,24-10-21/Measures/4-ATP/AAB/AAB_4-ATP^-15M_S1_C1_M1.csv,2,#Intensity2,2000,4.992500635125907e-07,0.0,0.4,True,True,55,Analytical Enhancement,24-10-21,unknown,,,False
Raman_spectra_data/Analytical Enhancement/Original spectra/AAB_4-ATP^-15M_S1_C1_M1_I3.csv,1,#Intensity3,master_benchtop,24-10-21/Measures/4-ATP/AAB/AAB_4-ATP^-15M_S1_C1_M1.csv,2,#Intensity2,2000,4.992500635125907e-07,0.0,0.4,True,True,55,Analytical Enhancement,24-10-21,unknown,,,False
Raman_spectra_data/Analytical Enhancement/Original spectra/AAB_4-ATP^10-15M_C2_M3_I1.csv,1,#Intensity,master_benchtop,24-10-23/Measures/Spectra/4-ATP/AAB/AAB_4-ATP^10-15M_C2_M3.csv,1,#Intensity,2000,0.0,0.0,0.4285714285714285,True,True,62,Analytical Enhancement,24-10-23,unknown,1e-15,1e-15,True
Raman_spectra_data/Analytical Enhancement/Original spectra/Al_4-ATP-10^-2M_C1_M1_I1.csv,1,#Intensity,master_benchtop,24-10-30/4-ATP/Al/Al_4-ATP-10^-2M_C1_M1.csv,1,#Intensity,2000,0.0,0.0,0.4615384615384615,True,True,43,Analytical Enhancement,24-10-30,unknown,0.01,0.01,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,1,1,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,1,1,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,2,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,2,2,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,3,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,3,3,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,4,4,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,4,4,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,5,5,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S1.csv,5,5,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,1,1,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,1,1,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,2,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,2,2,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,3,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,3,3,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,4,4,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,4,4,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,5,5,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S2.csv,5,5,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,1,1,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,1,1,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,2,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,2,2,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,3,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,3,3,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,4,4,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,4,4,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,5,5,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-10M_750_5_5_L_S3.csv,5,5,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-10,1e-10,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-11M_750_5_5_L_S1.csv,1,1,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-11M_750_5_5_L_S1.csv,1,1,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-11,1e-11,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-11M_750_5_5_L_S1.csv,2,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-11M_750_5_5_L_S1.csv,2,2,512,0.0,0.0,0.5333333333333333,True,True,70,Blind samples,24-09-24,750_5_5_L,1e-11,1e-11,True
